Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
COC1=C[C@@H]2[C@H](N(C)CC[C@@]23CNC1=O)[C@H](N)c4c3c(OCO5)c5cc4,+ +,2-10,219.0,Low
CO[C@H]1[C@H](N)C[C@]23[C@@H]([C@@H](NCC3)Cc4c2c(O)c(OC)cc4)C1,+ +,2-11,204.0,Low
COc1ccc2nccc([C@H](N)[C@H]3N4C[C@H](C=C)[C@H](C3)CC4)c2c1,+,2-12,167.0,Low
N[C@@H]1[C@H]2OC[C@H](N)[C@H]2OC1,+ +,2-13,20.0,Low
O[C@H]1[C@H]2OC[C@H](N)[C@H]2OC1,+,2-14,0.0,Low
COc1c(O)c2c(C=C[C@]3(CCNC)C2=CC(C(OC)=C3)=O)cc1,+,2-15,525.0,High
OCCN[C@H]1c2c(C)cccc2[C@@H]3[C@@]14CC([C@@](CC3)(O)C4)=C,+,2-16,497.0,High
Oc1c(O)cccc1CN[C@H]2c3c(C)cccc3[C@@H]4[C@@]25CC([C@@](CC4)(O)C5)=C,+,2-17,493.0,Low
COc1ccc2nccc([C@@H]3SC(N4[C@H]3C[C@@H]([C@@H](C=C)CNC)CC4)=O)c2c1,+,2-18,390.0,High
O=C(CC[C@H]1[C@@H](C=C)CNCC1)c(ccn2)c3c2ccc(OC)c3,+,2-19,201.0,Low
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](NC)[C@H]3OC2)=O)cc1,+,2-20,176.0,Low
O=C(NC1CC1)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)[C@H]5O[C@@]35[C@H]6[C@]27CC([C@](CC6)(CNC(C)(C)C)C7)=O,+,2-21,175.0,Low
COc1c(O)c2c(C([C@@H]3NCC[C@]42[C@@H]3C=C(OC)C(C4)=O)=O)cc1,+,2-22,154.0,Low
O=C1[C@]2(CO)C[C@]3([C@@H](NCCO)c4c(C)cccc4[C@H]3CC2)C1,+,2-23,118.0,Low
O=C(NC1CC1)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)[C@H]5O[C@@]35[C@H]6[C@]27CC([C@](CC6)(CNC8CC8)C7)=O,+,2-24,113.0,Low
O=C1[C@]2(C)C[C@]3([C@@H](NCCO)c4c(C)cccc4[C@H]3CC2)C1,+,2-25,98.0,Low
O=C(NC1CCC1)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]5[C@]26CC([C@](CC5)(CNCc7occc7)C6)=O,+,2-26,67.0,Low
O=C(OC)[C@H](NC[C@@]12C(C[C@@]3([C@@H](C(OC)=O)c4c(C)cccc4[C@H]3CC2)C1)=O)CO,+,2-27,54.0,Low
O=C(OC)[C@H](NC[C@@]12C(C[C@@]3([C@@H](C(OC)=O)c4c(C)cccc4[C@H]3CC2)C1)=O)C,+,2-28,16.0,Low
COc1c(O[C@H]2[C@]34CCN5C)c4c(C[C@H]5[C@H]3C=C(OC)C2=O)cc1,+,2-29,407.0,High
COc1ccc2nccc([C@@H](O)[C@H]3N4C[C@H](C=C)[C@H](C3)CC4)c2c1,+,2-30,261.0,Low
COc1c(O)c2c(C[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)C(C4)=O)cc1,+,2-32,218.0,Low
COC1=C[C@@H]2[C@@H](N(C)CC[C@@]23CC1=O)C=C4C3=C(O)C(C=C4)=O,+,2-33,213.0,Low
COc1c(O[C@H]2[C@]34[C@@H]([C@@H](N(C)CC4)C5)CCOC(NC2)=O)c3c5cc1,+,2-34,209.0,Low
COc1c(O)c2c(C[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(C4)=N/O)cc1,+,2-35,204.0,Low
COC(C(C[C@](CCN(C)C)1c2c(OCO3)c3ccc24)=O)=CC1=CC4=O,+,2-36,139.0,Low
COc1c(O)c2c(C=CC([C@]32C[C@](O)4N(C)CC3)=CC4=O)cc1,+,2-37,134.0,Low
COc1c(O)c2c(C([C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(C4)=N/O)=O)cc1,+,2-38,107.0,Low
O=C(NCCCN(C)C)CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O,+,2-39,72.0,Low
CO[C@H]1[C@H]2N(C)CC[C@@]3([C@@H]2C=C(OC)C(C3)=O)C(C(C(OC)=C4)=O)=C1C4=O,+,2-40,3.0,Low
COc1c(O)c([C@@]2(CCN(C)C)C(C=C3)=Cc(c(C2)n4)nc5c4cccc5)c3cc1,+,2-41,1.0,Low
O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@]14CC([C@](CC3)(C)C4)=O,-,2-42,138.0,Low
O=C(O)[C@H]1[C@@H]2[C@@]([C@@H](O)C=CC2=C3[C@@]14CC([C@@](CC3)(O)C4)=C)(C(O)=O)C,- -,2-43,104.0,Low
O=C(O)CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O,-,2-44,103.0,Low
O=C(O)CO[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,-,2-45,89.0,Low
O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@]14CC([C@](CC3)(CO)C4)=O,-,2-46,84.0,Low
O=C(O[C@@H]1[C@@]2(C)C(O[C@]3([C@@H]2[C@H](C(O)=O)[C@@]45[C@H]3CC[C@@](C5)(O)C(C4)=C)C=C1)=O)C,-,2-47,81.0,Low
O=C(NCc1occc1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,-,2-48,72.0,Low
O=C(O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]4[C@@]15CC([C@@](CC4)(O)C5)=C,-,2-49,70.0,Low
