No.	NAME	IDDE	rGes	Yindex	IC1	IC3	TIC1	SIC0	CIC3	BIC1	BIC5
451	2-96	3.78418371977919	0.9	0.780962914330517	3.52928301694497	4.61499730265925	123.524905593074	0.347540757310792	0.514285714285714	0.654502088848891	0.908832178104254
452	4-3	4.10660313706447	0.952380952380952	0.977146881871236	3.31286180312055	4.96927448988345	155.704504746666	0.222716450075679	0.585314361794191	0.57566056710494	0.878276225375743
453	3-39	3.68418371977919	0.8	0.745444605700991	3.29982445407392	4.57661764490867	125.393329254809	0.324174279972112	0.671309868534919	0.60085810676168	0.856131105642453
454	2-7	4.31044305771902	1	0.646786059102925	3.89097240859544	5.35981149221741	206.221537655558	0.271344807382631	0.368108962345793	0.649720700305	0.894989763621415
455	2-30	4.25162916738782	1	0.644568942871813	3.68402904954117	5.31358969100984	180.517423427517	0.249293474417989	0.301120153105373	0.627563912213382	0.905154951153856
456	2-54	4.39274741044879	0.923076923076923	0.961982527162752	3.5896617192458	5.27756901109275	172.303762523798	0.259657805840891	0.307393489628401	0.620902676380488	0.912859478151245
457	Ciprofloxacin	3.88684218813101	0.833333333333333	0.705351019835019	3.80039828377882	4.630412660874	159.61672791871	0.319776102373736	0.761904761904763	0.669977664696413	0.816302089797917
458	4-55	3.68418371977919	0.95	0.931149258045694	2.71703875543769	4.85862361216384	141.28601528276	0.187948532659176	0.841816105977255	0.467861667127969	0.8366328005388
459	2-24	4.71848843747471	0.939393939393939	0.550625318677838	3.37708035697315	5.48750188447719	222.887303560228	0.247809949732364	0.556892234881266	0.540512089762042	0.878291541102197
460	2-12	4.25162916738782	1	0.644568942871813	3.71178901109217	5.30875843973145	185.589450554608	0.243762155179588	0.335097750043272	0.629669849031814	0.900580586693554
461	2-1	4.16385618977472	0.76	0.513506553482508	3.30144365121215	4.65830254067796	148.564964304547	0.29954081533027	0.833550555651711	0.568493521667248	0.843292704932675
