No.	NAME	SpMax2_Bh(m)	SpMax2_Bh(v)	SpMax1_Bh(e)	SpMax5_Bh(e)	SpMax3_Bh(p)	SpMax4_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(v)	SpMin5_Bh(v)	SpMin1_Bh(p)	SpMin7_Bh(p)	SpMin1_Bh(i)	SpMin2_Bh(i)	SpMin3_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)
594	2-18	3.93144378888772	3.81636277761693	4.10423753867775	3.43640421427657	3.59096639529574	3.56532489328168	5.0131163140566	4.71611333512612	4.65668213769216	4.31128196967996	4.22697384202621	4.12221528039448	3.9243447969644	2.07052075150505	1.87894926691687	1.6768775669756	1.65116166972484	2.12792397665141	1.39048732631019	2.02553812974084	1.84756116720402	1.5644119719878	1.51020975346958	1.28122588584092	1.11959371491565	0.934529210572726	0.781315408861503
595	2-54	3.77565005777052	3.7468245948511	4.14722041880213	3.30966908070304	3.33492744703813	3.47475252977773	7.60502711854096	6.99909964346148	6.999	6.49411564770328	6.44685106781774	6.4006701373787	4.65946318452351	2.00413777037062	1.84373565414205	1.56806837515197	1.52308792588662	2.03736251568531	1.23571579408972	1.89912202301607	1.82049553020496	1.64688189798256	1.48605902861429	1.42859302252292	1.12620266623677	0.849775047601956	0.713874116951812
596	4-27	3.7291453408563	3.74288710393821	3.9991640276421	2.85403292340882	3.16301883616107	2.92543198099093	4.68774734982945	4.43432115569745	3.67422186320598	3.67422186320598	3.62854693265095	3.45777732488594	2.36457886597356	1.96053084137592	1.63437456357734	1.10684050065042	1.10684050065042	2.07775105235415	0.88670750339159	1.95170086847846	1.79353150315288	1.25511383128906	1.24148599419411	1.0095496294717	0.648267849541416	0.217551799172362	0.217551799172361
597	4-35	3.65874907842608	3.63892491702089	4.0317239183674	3.32564957103555	3.53049447338152	3.62387959360136	6.44761285241107	6.43591405342528	4.59559259108571	4.55338862816569	4.17082493785557	3.94001725202443	3.78546156432953	1.99546703159972	1.91270509435919	1.78386243487372	1.58092165112246	2.10935623070815	1.39422389057534	1.97954348108842	1.7198004040393	1.6085095304838	1.54498420574973	1.33170311870384	1.22124458670783	1.05572275603784	0.816912086839383
598	2-8	3.83848483182043	3.75609935800182	4.07933552810174	3.00006390961924	3.52441711594611	3.45582774442489	6.999	5.10818838899641	4.8455064969107	4.47038398255362	4.42504351230677	4.26582451660027	4.09345652980633	1.86090074007116	1.7139054855048	1.53582680366792	1.46078018608994	2.02282320073874	1.15639604840605	1.95688168633133	1.57836897998583	1.53666369484715	1.2166112983298	1.13713393035762	1.03113378863762	0.646195503236119	0.45340753634011
599	2-96	3.82109813346896	3.7381853096432	4.07952645925917	3.04296985046291	3.50839589615581	3.34129780267926	6.999	6.44964979488717	5.09363389965518	4.76600684403637	4.49910781833582	4.30008028435248	4.12366276103436	1.73591942245017	1.70700357808001	1.50999565117908	1.4412930358459	2.02472808897377	0.93255431018085	1.95760770299625	1.56207705323557	1.48048856466427	1.1905692936994	1.12256782905894	0.996250733163813	0.641540990766088	0.474794815605714
600	2-41	3.93667950058992	3.90517078095616	4.14470263504718	3.38756568422914	3.62121665156634	3.69558203960153	5.06514378280839	4.79327096031302	4.57381747161866	4.37205766415608	4.32504749471118	4.14775539775649	4.06611733468162	2.03707842476077	1.9513835659912	1.77784141319612	1.56157030610833	2.17833610850513	1.40960844551384	2.0695930532797	1.92940169386392	1.67386574103372	1.47722902601237	1.1788606044621	1.11783718146783	0.949885909372432	0.740018930496937
601	2-30	3.90219478935045	3.87240578959108	4.11619090521395	3.27644701165178	3.43919847940189	3.49974516376333	5.00591361723492	4.71984044412469	4.65367705794107	4.32137687224095	4.12342558229877	3.87919149519624	3.47797546049342	2.08814447725827	1.73328780172408	1.6396472616964	1.51148724164098	2.1932745288346	1.37535518147048	2.03601003707604	1.9266480220784	1.50080128061597	1.61710235262262	1.25715887432005	0.937634053985061	0.853923224460235	0.778981132917952
602	3-41	3.84394084895341	3.75631085469275	4.07518162550981	3.2554393989335	3.51339826423167	3.51397084640176	7.42991045754731	6.99899999999999	4.81367377975209	4.71168316620363	4.32072332110917	4.14736760325201	3.94946070952956	1.82076393257494	1.71450188461744	1.59973972901749	1.50959139339804	2.01226028839393	1.06232042872336	1.95524975210229	1.58735492931311	1.5443742973476	1.21458769119488	1.13525170191269	1.02992606434138	0.706222126558525	0.641583967368816
603	2-7	3.93128431255298	3.8134740342746	4.10358195646091	3.33238468861734	3.58135708691342	3.54100287831308	5.01319998964519	4.73788476972628	4.65668611655712	4.50340510605313	4.28389133428101	4.12249310972582	3.92431657684694	2.06698715876371	1.83629126887671	1.66622706962227	1.59869018195965	2.12765382090117	1.39018166232088	2.02552049219246	1.84414587325062	1.54694188522008	1.50463554690183	1.27567364009747	1.05339041878279	0.923513935015127	0.683751755143054
604	2-71	3.82002120000485	3.77905084414234	4.16295173346149	3.36633957162463	3.41641543766961	3.48522208328452	7.42688588163365	6.45795330501894	6.44883256461002	6.4449267241646	4.67512329986297	4.55673346576078	4.20064971039082	1.99428238207227	1.84714981552049	1.77557536491461	1.60159951719408	1.99234948564195	1.32288063068809	1.86323688969028	1.82170374228343	1.64802745466263	1.48827920082083	1.4213374424888	1.12825485313072	1.0007267857855	0.845207757902948
605	2-13	3.34273519905292	3.26776385742156	3.96754950233463	2.59039251216268	2.5789384797752	3.06574077944387	4.51389763585772	4.28930944724423	4.26288708780611	3.06701322812222	2.88239843832093	2.65624316188396	1.94936979741969	1.84299192759959	1.4291851087416	1.33564029229765	1.23208341945101	1.9003396844801	0.196351906888411	1.58166197520103	1.52588626748708	1.12071105086493	1.22713527111434	1.07044530365039	0.649142517090611	0.253297961913535	0.199806229889534
