No.	NAME	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_1	P_VSA_m_2	P_VSA_m_3	P_VSA_m_4	P_VSA_e_2	P_VSA_e_4	P_VSA_i_1	P_VSA_i_4	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_ppp_L	P_VSA_ppp_P	P_VSA_ppp_D	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
2373	3-48	10.1381269568	71.1120855812116	62.6146618732444	20.5566127398266	0	0	247.193141928397	61.289741952442	0	18.9633312186901	61.1933324866536	0	0	247.193141928397	80.1566637053437	103.973085113363	0	80.1566637053437	0	0	0	32.019659617429	48.1370040879147	0	56.9487984912006	0	42.6833431609212	37.9854672725105	0	53.2570715615929	53.6832310485276	50.2898540648355	0	0	28.4287424202904	25.9855243317102	5.13347733228232	0	0	0	7.19133047612651
2374	2-57	41.8297298231991	18.9524949468603	31.8596250671182	6.3711499014801	0	0	367.984497289119	25.1449270324178	0	50.5080074827604	13.0858479361806	18.9524949468603	0	341.361957901119	82.5463503658012	51.7674664204169	0	82.5463503658012	0	0	0	28.2930383713806	54.2533119944206	0	75.8316523311007	0	0	25.3236448483404	0	40.5308352835404	51.7674664204169	0	0	0	59.9734186843607	15.8582336467401	0	0	0	0	0
2375	2-80	25.9050469529202	104.319181268703	64.6725150170885	31.556500627433	0	0	235.422039931806	119.37403782641	0	18.9633312186901	61.4724206120619	18.9524949468603	0	282.506447918168	99.3882467776123	157.656316161891	0	99.3882467776123	0	0	0	34.0775127612732	49.5438140202189	0	63.2394710138907	0	85.3666863218424	25.3236448483404	0	38.6473467558804	107.366462097055	50.2898540648355	0	0	37.9049898937205	25.3344811201702	0	0	0	0	14.382660952253
2376	2-27	12.243831298785	89.1228362642419	94.9509193817886	31.556500627433	0	0	317.819753907939	97.4345568724661	0	39.0797862437054	79.2677203685144	0	0	317.819753907939	118.34750661222	140.117900033387	0	100.33675592919	0	0	18.0107506830303	41.3166944355405	59.020061493649	18.0107506830303	56.9487984912006	0	60.6940938439515	37.9854672725105	0	53.2570715615929	82.6938696191643	50.2898540648355	25.1449270324178	0	28.4287424202904	25.9855243317102	5.13347733228232	0	0	0	14.382660952253
2377	2-47	52.5275863409193	61.6358381077815	96.5321400842068	25.1853507259529	0	0	214.960171333444	168.061168852008	0	27.7885354805802	40.0498539338138	18.9524949468603	0	258.964243924987	86.7908843612542	166.740439421386	0	86.7908843612542	0	0	0	34.4210608944936	36.6029034706404	0	65.6935253743007	0	42.6833431609212	0	0	50.4674152181333	116.450585356551	50.2898540648355	0	0	15.7669199961202	41.1014011162904	0	0	0	0	14.382660952253
2378	3-52	10.1381269568	28.4287424202904	62.6146618732444	20.5566127398266	0	0	258.964243924987	61.289741952442	0	27.7885354805802	61.1933324866536	0	0	258.964243924987	88.9818679672338	61.289741952442	0	88.9818679672338	0	0	0	32.019659617429	56.9622083498048	0	65.7740027530907	0	0	37.9854672725105	0	53.2570715615929	10.9998878876064	50.2898540648355	0	0	37.2539466821805	25.9855243317102	5.13347733228232	0	0	0	7.19133047612651
2379	3-49	28.1488776398303	71.1120855812116	60.1279813321852	9.55672485222013	0	0	247.193141928397	50.2898540648355	0	45.7992861636105	47.8235945398601	0	0	247.193141928397	93.6228807034706	92.9731972257567	0	75.6121300204403	0	0	18.0107506830303	29.5329790763698	46.0791509440706	18.0107506830303	65.7740027530907	0	60.6940938439515	37.9854672725105	0	53.2570715615929	60.6940938439515	50.2898540648355	0	0	28.4287424202904	25.9855243317102	5.13347733228232	0	4.70464993506731	0	0
2380	2-40	7.17476782038501	18.9524949468603	134.321732946088	9.49546379547515	0	0	235.422039931806	110.748087087024	0	10.2990817143801	62.817130980205	29.4393511360287	0	270.735345921577	102.555563830614	108.434444760073	0	99.4312499366187	0	0	3.12431389399505	39.4332059078805	63.1223579227332	0	30.3927083267404	0	0	126.645714131609	0	61.5100147487358	32.9996636628193	78.5590949912483	0	0	0	22.5128604192902	0	20.7538108537331	5.13347733228232	0	0
2381	2-80	25.9050469529202	104.319181268703	64.6725150170885	31.556500627433	0	0	235.422039931806	119.37403782641	0	18.9633312186901	61.4724206120619	18.9524949468603	0	282.506447918168	99.3882467776123	157.656316161891	0	99.3882467776123	0	0	0	34.0775127612732	49.5438140202189	0	63.2394710138907	0	85.3666863218424	25.3236448483404	0	38.6473467558804	107.366462097055	50.2898540648355	0	0	37.9049898937205	25.3344811201702	0	0	0	0	14.382660952253
2382	4-51	81.882048586416	52.1595906343513	94.5220919845736	28.370925676693	0	0	270.735345921577	203.374474841779	0	92.5907413759661	41.2253807849206	9.47624747343013	0	376.67526389089	143.292369634317	140.117900033387	0	92.3844314792211	0	0	50.9079381550958	40.6656512240005	35.9518602591004	18.0107506830303	73.2971205919007	32.8971874720655	93.591281316017	0	0	49.2458061738432	115.59105709123	50.2898540648355	25.1449270324178	0	36.6029034706404	36.6942171212603	0	0	4.70464993506731	0	14.382660952253
