No.	NAME	G2u	G3u	E3u	L1m	G1m	G2m	G3m	E1m	E2m	E3m	G2v	G3v	E1v	E2v	E3v	P1e	G2e	G3e	E1e	E2e	G2p	G3p	E2p	E3p	L1i	G2i	G3i	L2s	P2s	G2s	G3s	E1s	E2s	E3s	Am	Gu	Gm	Dm	Dv	De	Ds
2282	3-46	0.18644788079913	0.196105222203421	0.377924569646791	6.84737986063627	0.168364457317961	0.159572475390038	0.201140519815175	0.480899323447633	0.18449016564131	0.230256540097564	0.163979741833038	0.201140519815175	0.451263137328458	0.271210275153709	0.2203498243684	0.594380895768402	0.149870541631947	0.18644788079913	0.517358021505557	0.412425821252078	0.159572475390038	0.196105222203421	0.318542681828279	0.227906801227786	7.11357897751075	0.159572475390038	0.18644788079913	2.95601211359911	0.228002517056605	0.159572475390038	0.159572475390038	0.700362398406852	0.30135405913947	0.607547875812873	25.7642432643842	0.191214467323741	0.175483379023889	0.298548676395502	0.314274412283523	0.441117873756946	0.536421444453065
2283	Chloramphenicol	0.2	0.2	0.425557160559744	9.83165028371566	0.166666666666667	0.166666666666667	0.166666666666667	0.82354598132814	0.752871763202817	0.138251862027814	0.183908045977011	0.166666666666667	0.530364581781639	0.45262147712671	0.254143234984498	0.679952878005587	0.166666666666667	0.175824175824176	0.54149888302315	0.463443705003738	0.166666666666667	0.166666666666667	0.489462764191254	0.291133620454828	7.96379376725404	0.166666666666667	0.183908045977011	2.92470489985822	0.194767408055325	0.166666666666667	0.166666666666667	0.979935624236306	0.424738685824159	0.348611638730316	42.7970708543962	0.188207205776206	0.166666666666667	0.57155653551959	0.412376431297616	0.485412958586965	0.584428649596927
2284	2-84	0.185767569779033	0.178347827682273	0.444126021052214	10.1017517538033	0.143322327750093	0.157598343023786	0.150840571479897	0.305748632655781	0.276524239475761	0.280226372693421	0.150840571479897	0.164340230237433	0.315451291037807	0.317314222719366	0.289954333659339	0.6070037008218	0.157598343023786	0.193543769260586	0.383416651156785	0.39578112130198	0.160958401952476	0.171227219212499	0.339817381855161	0.297350769287453	11.7336793131415	0.178347827682273	0.160958401952476	5.65201487457832	0.304665558026991	0.143322327750093	0.150840571479897	0.356305659110038	0.389829247412796	0.545896200775355	68.803771192476	0.170969495785863	0.150473915892909	0.287499748274988	0.307573282472171	0.411691451359761	0.430677035766063
2285	2-82	0.147463051990239	0.229257906935823	0.408605086843758	6.40586412086623	0.156316903017325	0.15218086321462	0.184911469880167	0.475613452872701	0.246845798259809	0.430023284890615	0.147463051990239	0.156316903017325	0.396631058403757	0.393392165346144	0.31395046872083	0.465126707552612	0.15218086321462	0.160330449351379	0.384436257341909	0.473427676827552	0.147463051990239	0.164314525870714	0.374661851666465	0.26416114874406	7.1186582062208	0.147463051990239	0.164314525870714	5.42297459199195	0.358182418277966	0.156316903017325	0.164314525870714	0.635019868630518	0.234345172622131	0.794988114653653	49.2517486764294	0.17710378099763	0.163848805169827	0.384160845341042	0.367991230823577	0.440628724350461	0.554784385302101
2286	2-69	0.173995418619253	0.188046903542351	0.427812988041892	12.6264245719172	0.169467420854284	0.150514997831991	0.188046903542351	1.2747152629068	0.123503304006049	0.164956392164094	0.150514997831991	0.155809304527773	0.4504312514446	0.20896385771737	0.29028237533241	0.577872050577003	0.160453178962979	0.188046903542351	0.455697472473038	0.314415743691509	0.150514997831991	0.160453178962979	0.228736254399261	0.244360892448634	7.87392096571997	0.169467420854284	0.160453178962979	3.94091088001248	0.285043377982316	0.160453178962979	0.160453178962979	0.474351808629942	0.324226750564303	0.523601743068715	47.3170293536989	0.173800401443414	0.168646524030428	0.521058319692315	0.316559161498127	0.413381797159109	0.440726767420987
2287	3-7	0.211308526876373	0.191283078253614	0.447066622102223	20.659184277963	0.159098807869294	0.172574712033847	0.172574712033847	0.907633201993113	0.496146520753249	0.0878973174342883	0.159098807869294	0.172574712033847	0.527209397999677	0.441090614763412	0.220129239567062	0.813168523710006	0.172574712033847	0.172574712033847	0.489406775754467	0.476070955627481	0.191283078253614	0.166268842102	0.449199026575871	0.250578210810183	15.7194257450618	0.184967835871049	0.166268842102	2.71911445168183	0.14387491410643	0.172574712033847	0.159098807869294	0.477021747998871	0.552166063889844	0.314370392198368	72.2138024798139	0.185960269393746	0.167960469549192	0.497225680060217	0.39614308411005	0.468887943921614	0.447852734695694
2288	2-85	0.187740505974889	0.16729003769739	0.438914082332639	7.04839400843694	0.155563136688654	0.16338294362394	0.171236336847215	0.222710383421376	0.380959501043697	0.276528379252544	0.151516313389833	0.155563136688654	0.276899027562227	0.409422611122896	0.282572847815052	0.539131804828872	0.146899935650445	0.171236336847215	0.362618819976861	0.493068969425945	0.15948843691743	0.146899935650445	0.421420836304008	0.293188667471038	8.93359106139899	0.171236336847215	0.16729003769739	6.31061805331992	0.381458968012755	0.16338294362394	0.146899935650445	0.336668093376486	0.591866613663505	0.57502417784262	54.1618005719809	0.175202916186903	0.163268766686896	0.293399421239206	0.322964828833392	0.433673092357815	0.50118629496087
2289	3-31	0.192951316239015	0.219811326625184	0.445835548677763	6.27030781340954	0.169467420854284	0.155809304527773	0.188046903542351	0.347393549542493	0.192871542741576	0.271716042530202	0.150514997831991	0.173995418619253	0.381682374238949	0.220854893292268	0.272935087956335	0.557416330471394	0.178586538130555	0.173995418619253	0.497086647756804	0.336416203531794	0.150514997831991	0.150514997831991	0.248963338713241	0.268257002021621	7.58021009790377	0.178586538130555	0.169467420854284	4.0344885518886	0.298414321264569	0.178586538130555	0.160453178962979	0.517794237505145	0.316433208596586	0.532230642719215	32.6458240651388	0.18550652774964	0.170601141152474	0.270660378271424	0.291824118495851	0.434047842986674	0.455486029606982
2290	2-22	0.178483027281038	0.201396522476321	0.403427362252507	5.17171333482624	0.167560109227301	0.155611391402494	0.173019650876961	0.21740127837146	0.476399223222933	0.221816063246842	0.178483027281038	0.167560109227301	0.263772691079695	0.287309547239365	0.3147106525163	0.532222885505486	0.167560109227301	0.201396522476321	0.387920896825811	0.377034957124368	0.155611391402494	0.167560109227301	0.268629691580867	0.30304073112642	7.33111860364471	0.167560109227301	0.189657924780623	3.9719368129146	0.316981825632257	0.155611391402494	0.167560109227301	0.294918824818252	0.879709874243178	0.340559335796594	32.2511152506354	0.185815499904245	0.165235167124885	0.305205521613745	0.288597630278453	0.399835712799287	0.505062678286008
2291	2-87	0.166160058022052	0.196763212226276	0.385955662687755	14.13445167252	0.144284792698786	0.159132200918605	0.15209996634983	0.450148023583763	0.236827539636722	0.124362475103038	0.18858776213631	0.18465124152819	0.446883745932006	0.304022957816538	0.188757709086342	0.799408673273597	0.159132200918605	0.159132200918605	0.516605650286664	0.452341393918025	0.15209996634983	0.166160058022052	0.34592131156498	0.231776400659262	15.2683334704704	0.166160058022052	0.18858776213631	2.4107022142391	0.13102214050528	0.15209996634983	0.144284792698786	0.486486789808921	0.475242534422298	0.292436862994603	37.2805529321458	0.178292861525216	0.151717583127891	0.270446012774508	0.313221470944962	0.445758216218955	0.418055395741941
2292	2-52	0.222645442949848	0.158179590939782	0.343876848627332	6.16543614286638	0.158179590939782	0.189333442947361	0.183232655433118	0.333909323616314	0.4072437889873	0.104453488075641	0.171240638681063	0.195576297223921	0.379794374164846	0.341545088720259	0.162065128090178	0.644976907012623	0.171240638681063	0.183232655433118	0.500438605373134	0.468150258258299	0.171240638681063	0.195576297223921	0.324309928844643	0.200803170864997	7.7780300054611	0.171240638681063	0.158179590939782	3.69796997602019	0.305383792965489	0.183232655433118	0.171240638681063	0.473176803180023	0.716137587114071	0.25989853221089	23.1633642824414	0.190265549353988	0.176384418915344	0.281868866893085	0.294468196991761	0.431155097720604	0.483070974168328
2293	2-82	0.172355309712695	0.172355309712695	0.409257638743088	6.35386548785942	0.164314525870714	0.156316903017325	0.156316903017325	0.4041581698252	0.231047514140809	0.407268172321417	0.147463051990239	0.184911469880167	0.385510951397555	0.422473302995677	0.304347116384051	0.503104613441039	0.164314525870714	0.172355309712695	0.458944562993575	0.512789562376334	0.156316903017325	0.156316903017325	0.426527356145071	0.262211895961577	7.7616254460793	0.164314525870714	0.164314525870714	5.42046168988892	0.355102196358244	0.156316903017325	0.164314525870714	0.616901272633519	0.24265705476071	0.766623935613276	49.9617554687626	0.177823290546402	0.158938562490852	0.347491285429142	0.370777123592428	0.476957648107635	0.542060754335835
2294	2-66	0.180805288609697	0.214541644280263	0.459119946891077	16.1314375713693	0.159132200918605	0.159132200918605	0.159132200918605	0.742268608124081	0.244378160782052	0.359301671914211	0.144284792698786	0.173352985973941	0.458067215232912	0.310286513168931	0.294490533164213	0.618739981370939	0.159132200918605	0.18465124152819	0.413839389159497	0.424623797902898	0.15209996634983	0.173352985973941	0.332670940639915	0.271236968171115	11.787914986604	0.159132200918605	0.18465124152819	5.38368490266357	0.239790556880057	0.159132200918605	0.15209996634983	0.631553745704984	0.384147762247964	0.782655557350005	100.561219930658	0.18477531476984	0.159132200918605	0.448649480273448	0.354281420522019	0.444401112571072	0.599452355100985
2295	2-97	0.188046903542351	0.169467420854284	0.462853115980213	17.4737111184244	0.160453178962979	0.160453178962979	0.178586538130555	0.372449212749598	0.310579786324899	0.163957868070955	0.169467420854284	0.169467420854284	0.448343995814436	0.333305776463905	0.260387277556389	0.812908581491621	0.160453178962979	0.150514997831991	0.482562997318814	0.466452200121482	0.192951316239015	0.169467420854284	0.332781818877336	0.295236037019674	21.3789695169615	0.160453178962979	0.208542039649544	3.49000745117828	0.143069102794312	0.150514997831991	0.169467420854284	0.446648535785962	0.556179853047842	0.347650283677405	70.0775648934261	0.178539250941559	0.166283231868818	0.282328955715151	0.347345683278243	0.469341894827883	0.450159557503736
2296	2-57	0.18644788079913	0.191212215535456	0.408436606919372	11.0249549698458	0.149870541631947	0.177246816847943	0.201140519815175	0.460006831359694	0.308641744770253	0.165196211839803	0.149870541631947	0.18644788079913	0.447575787798188	0.324913841227961	0.231868789086391	0.764227292106709	0.159572475390038	0.177246816847943	0.540037007746392	0.467327363984861	0.168364457317961	0.159572475390038	0.340281258351675	0.248175281996023	12.2282403516006	0.159572475390038	0.172776472123993	2.39946825976052	0.140786456610995	0.159572475390038	0.163979741833038	0.672452363677724	0.532122359198794	0.423794042909044	31.8201412772367	0.178515948758514	0.17482280997842	0.311281595989917	0.334786139370846	0.479553029457099	0.542789588595187
2297	3-7	0.211308526876373	0.191283078253614	0.34923708026368	21.1110425691821	0.166268842102	0.159098807869294	0.184967835871049	0.899704274028402	0.494703491342709	0.0863064260466319	0.172574712033847	0.197753083912867	0.52491607341627	0.346452058245446	0.188785600089957	0.84588431827626	0.166268842102	0.184967835871049	0.484581506300125	0.404830243085017	0.172574712033847	0.172574712033847	0.343147944623077	0.201874138444596	16.0213605245	0.159098807869294	0.197753083912867	2.17830235284703	0.11505918980483	0.166268842102	0.159098807869294	0.483950173678289	0.668992184223388	0.309745043729814	57.772412493773	0.185960269393746	0.16976884906264	0.493571397139248	0.353384577250558	0.41495973842528	0.487562467210497
2298	2-83	0.153462927024278	0.215745947832689	0.512301280479131	9.5796366821566	0.159465427867531	0.165566173025818	0.168677732098493	0.363442867497465	0.363119822659143	0.350353972697041	0.153462927024278	0.178339204267206	0.41649594927156	0.330084134660834	0.353778431084083	0.577338209761418	0.153462927024278	0.156458120682709	0.484435218337543	0.419806368487095	0.178339204267206	0.165566173025818	0.323987324864767	0.355861951419616	11.2934851047411	0.159465427867531	0.178339204267206	6.97452447356147	0.358508783143711	0.150460563618977	0.153462927024278	0.457229102127267	0.545525998521212	0.636439075257796	80.0500620509727	0.169628852325215	0.164525026227175	0.358972220951216	0.366786171672159	0.478330864541877	0.546398058635425
2299	3-11	0.157894061547739	0.235102802151013	0.387752350006218	5.70851815351129	0.148634337571835	0.166271160669609	0.183433493500299	0.37215598165849	0.284066799872812	0.105621114325635	0.16209579520057	0.16209579520057	0.374294280072078	0.346730567206231	0.187092174552172	0.479969064018881	0.148634337571835	0.166271160669609	0.522764262482536	0.436015968352847	0.157894061547739	0.179029629705554	0.379083369280454	0.234872450093717	6.44262066890403	0.174713075351333	0.183433493500299	5.27221419152272	0.392876828707048	0.166271160669609	0.170467217180828	0.574840552867706	0.382958709982358	0.304068622753508	32.813566134135	0.189539943295522	0.16550263241936	0.253947965285646	0.302705673943494	0.442871231008731	0.420622628534524
