No.	NAME	SpMaxA_EA(ed)	SpDiam_EA(ed)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMaxA_EA(dm)	SpAD_EA(dm)	SpMAD_EA(dm)	SpMAD_EA(ri)	SpMax_AEA(dm)	SpMaxA_AEA(dm)	SpMAD_AEA(dm)	Chi0_EA(dm)	SM04_EA(bo)	SM11_EA(bo)	SM03_EA(dm)	SM04_EA(dm)	SM08_AEA(dm)	SM13_AEA(dm)	SM12_AEA(ri)	SM13_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_EA(dm)	Eig13_EA(dm)	Eig14_EA(dm)	Eig15_EA(dm)	Eig12_EA(ri)	Eig02_AEA(ed)	Eig02_AEA(dm)	Eig03_AEA(dm)	Eig07_AEA(dm)	Eig13_AEA(dm)
2427	2-69	0.581917248084685	27.658494256123	6.59464553020388	1.73549159670865	0.0791594688004248	17.9070835920915	0.577647857809402	1.54914478586652	4.42361575053412	0.142697282275294	1.73661168356544	23.3190241837611	6.92853781816466	16.116110582012	3.19870577007881	4.81244121213799	-0.0120543791579761	12.3733400960566	3.79061028145379	3.39409332346002	2.44279252384717	2.17836884220768	0.827668943564992	0.764722171772206	0.286045781840519	0	0	0	0	0	0	0	0	0.20744527204064	8.01923359698131	4.13321082261696	3.84886003997844	2.72213732088686	0.947092355101431
2428	3-19	0.651993425201847	24.9067596907577	7.25239462232898	1.83332917179105	0.0996489715510689	7.97486005889679	0.318994402355872	1.5474061852809	4.15331424026112	0.166132569610445	1.64405669324029	18.4406017361592	6.87858390168185	16.1566354417942	2.24295397748674	3.97597010170851	-0.721463801298237	8.47540644040447	3.71998909640845	3.19822977276029	1.02332790443728	0.472877836234392	0	0	0	0	0	0	0	0	0	0	0	-0.369358922256068	7.38658515296974	3.8113931128508	3.41000271066029	1.81067084262826	-0.104850707078682
2429	3-46	0.67437537020907	24.662970554172	5.92011955985793	1.60286543767435	0.0907653684253199	5.15673768441536	0.214864070183973	1.55213520403824	4.15530443681125	0.173137684867136	1.63829473709726	12.7655113502161	6.3818160174061	15.2479093370066	2.03582397652411	3.36118457077561	-0.764325164125909	7.76912213266724	3.42933117539356	2.71396082684007	0.4	0	0	0	0	0	0	0	0	0	0	0	0	-0.401953081410506	7.52914674212841	3.62042484945858	2.75099144919553	1.36710440777377	-0.342966502947152
2430	4-29	0.589441621883787	17.1414651282949	5.03514645062314	1.46233000592625	0.0505882352941176	3.32	0.195294117647059	1.39311985378303	3.22573684147005	0.189749225968826	1.47632675776891	11.5728106919862	5.32300997913841	12.3037844844955	0.324977857195478	0.937980330660469	-1.66239633021218	3.1899714523379	2.4988937745976	1.88158264166394	0.8	0	0	0	0	0	0	0	0	0	0	0	-0.4	-0.999999999999999	5.69962814827532	2.69345308313457	2.24366706905108	1	-1.2365230031308
2431	2-32	0.588081753085587	24.6587429828385	7.32093742820009	1.7905401737826	0.0473147242153224	7.59499510762741	0.281296115097312	1.47635464059826	4.01101187443204	0.148555995349335	1.6031232872757	21.9853222324287	6.93171591642698	16.2617716760254	0.324977857195478	2.19451876882474	-0.279913555691076	8.31767775472686	3.63472408169571	3.20424931021598	0.86	0.86	0.8	0	0	0	0	0	0	0	0	0	0	-0.0355906550338063	6.57701753379719	3.56372506139026	3.14166283665087	2.05731779404818	0.436975287197354
2432	2-32	0.588081753085587	24.6587429828385	7.32093742820009	1.7905401737826	0.0473147242153224	7.59499510762741	0.281296115097312	1.47635464059826	4.01101187443204	0.148555995349335	1.6031232872757	21.9853222324287	6.93171591642698	16.2617716760254	0.324977857195478	2.19451876882474	-0.279913555691076	8.31767775472686	3.63472408169571	3.20424931021598	0.86	0.86	0.8	0	0	0	0	0	0	0	0	0	0	-0.0355906550338063	6.57701753379719	3.56372506139026	3.14166283665087	2.05731779404818	0.436975287197354
2433	2-80	0.556658217362628	25.7739567368984	6.93902549188681	1.75925061792613	0.0814264174615722	15.8514533751697	0.528381779172324	1.53653634634857	4.28453674618589	0.14281789153953	1.68513173262801	27.1649229888006	6.95559260839629	16.1930664721793	2.88156867980791	4.55877343467965	-0.165545999533878	8.6425529395835	3.75028464310375	3.46912830023191	2.44279252384717	1.02332790443728	0.764722171772206	0.68	0.286045781840519	0.286045781840519	0	0	0	0	0	0	0	0.227255925961146	7.98769448919416	4.07360300143794	3.77944975061974	2.28232196152585	0.649753663668147
2434	2-46	0.65391281030946	24.9330215315884	7.25208761560027	1.84277057144434	0.0958998000780418	9.63602051215337	0.385440820486135	1.57744291868511	4.21287621153506	0.168515048461402	1.66682971412919	16.9562440011087	6.87858390168186	16.1685503046542	2.77755636305529	4.24778687693231	-0.763123016379652	8.30228245579179	3.744758328829	3.20276161454145	2.17836884220768	0.242146411917964	0	0	0	0	0	0	0	0	0	0	0	-0.376363891870852	7.54032942891047	3.91560982449798	3.3936558503631	1.82089226634255	0.092609930450248
2435	4-44	0.339320283186599	18.2063326701798	6.44832226228805	1.6417174680153	0.077306290485391	17.2512864271662	0.539102700848942	1.37809994856876	3.96637919413533	0.123949349816729	1.51246575013063	21.401837312646	6.58098581782231	14.3847122284985	3.09752322589435	4.77652290307812	0.356285143290336	6.93762264361254	3.41621403367671	3.10295777492989	2.47181559281617	1.98430282055951	0.684933391289339	0.511529852172174	0.282631274338383	0.216628986874994	0	0	0	0	0	0	0	0.720830568109901	6.11182625064399	3.81220895755685	3.68694355260254	1.92401520550578	1.11487723019097
2436	4-57	0.529883745102291	26.3526803460995	5.95131976237784	1.61783827018622	0.106875019229058	16.1870332681744	0.505844789630448	1.49124458939212	4.30833714975894	0.134635535929967	1.69955573449289	17.7566479519289	6.67834211465433	15.4580642400949	2.77755636305529	5.77294897372679	0.200091985004227	7.35293985839066	3.465449567975	3.30549702160139	2.21789143823531	2.17836884220768	0.27725573831434	0	0	0	0	0	0	0	0	0	0	0.557301612877758	7.7103852485009	4.10751188633653	3.65705913373382	2.34566616262205	0.935125468806414
2437	3-30	0.59781299172388	27.5369465151026	6.71348597231718	1.77959630692653	0.0817981177604389	10.1393251051753	0.337977503505843	1.56810074030845	4.39631166457872	0.146543722152624	1.66046173442074	21.6795460276255	6.9167150203536	16.0456970938449	2.24295397748674	3.94877944783576	-0.329731158145252	11.9862972367743	3.76922679213104	3.34969261082598	1.02332790443728	0.827668943564992	0.764722171772206	0	0	0	0	0	0	0	0	0	0	0.287535546927873	7.99802515461635	3.97924785623361	3.6514256907283	1.97561664209628	0.415884707682108
2438	4-57	0.529883745102291	26.3526803460995	5.95131976237784	1.61783827018622	0.106875019229058	16.1870332681744	0.505844789630448	1.49124458939212	4.30833714975894	0.134635535929967	1.69955573449289	17.7566479519289	6.67834211465433	15.4580642400949	2.77755636305529	5.77294897372679	0.200091985004227	7.35293985839066	3.465449567975	3.30549702160139	2.21789143823531	2.17836884220768	0.27725573831434	0	0	0	0	0	0	0	0	0	0	0.557301612877758	7.7103852485009	4.10751188633653	3.65705913373382	2.34566616262205	0.935125468806414
