No.	NAME	SRW07	piPC10	piID	PCD
2098	2-51	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2099	4-49	0	5.73187377669764	7.70984269316988	2.0330888909016
2100	2-67	4.84418708645859	5.99146454710798	8.21365270303	0.606768171810368
2101	2-47	6.19644412779452	6.93634273583405	9.08227970190866	0.594721315622117
2102	2-49	6.13772705408623	6.80128303447162	8.94650502599868	0.646224836146018
2103	3-10	5.73334127689775	6.79381640754944	8.89661800838978	1.33966743637688
2104	2-48	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2105	2-66	6.13772705408623	7.19321613636121	10.4138690151772	1.37135575384449
2106	3-19	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2107	3-2	5.41610040220442	7.07741893651551	9.82303748651282	2.19063635991137
2108	4-3a	5.73334127689775	6.69045400329216	8.73148266077682	1.34315480119972
2109	4-20	0	4.30575285731789	6.71432221743346	1.03756841516518
2110	2-84	6.13772705408623	6.96602418710611	9.33811774191801	0.645795464289321
2111	3-49	5.73334127689775	6.90950374951625	9.04502710076312	1.4020234652024
2112	3-35	5.41610040220442	5.68209056378721	8.18331010006374	1.35676487650715
2113	2-64	6.13772705408623	6.93731408122368	9.20743615882879	0.721320922983416
2114	2-50	6.27852142416584	6.55819780281227	8.75778365633417	0.552565229938756
2115	4-63	0	6.82832306200456	8.62288326213983	2.32946398329335
2116	2-83	6.91671502035361	7.028201432058	9.6035979369766	0.172356526238989
2117	2-68	6.13772705408623	7.0343879299155	9.41458648618593	0.594330120279608
2118	3-43	5.41610040220442	5.405207961038	7.92031028082636	1.33413862597168
2119	3-44	5.41610040220442	5.31351381342932	7.76816325360862	1.07607951110199
2120	4-28	0	4.61635737537866	7.01279074181602	1.08054555436801
2121	3-9	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
2122	4-6	5.73334127689775	6.76539935013123	8.81246668845054	1.33316705066771
2123	4-31	0	6.45449506810732	8.53927683959237	2.51341086576706
2124	4-51	6.53233429222235	7.22766249872866	9.70235008148453	0.634726011709944
2125	3-52	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2126	3-15	5.73334127689775	6.58046575193558	8.63019816361952	1.24187030404241
2127	3-6	5.41610040220442	5.48505623596845	7.96030181390216	1.03372478067944
2128	4-59	5.68697535633982	6.07073772800249	8.28045768658256	0.146870268921594
2129	2-27	5.73334127689775	7.12949784938072	9.50431743309616	1.39719996234577
2130	3-15	5.73334127689775	6.58046575193558	8.63019816361952	1.24187030404241
2131	2-69	6.19644412779452	6.81673588059497	8.92038906008036	0.522204655246323
2132	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2133	3-10	5.73334127689775	6.79381640754944	8.89661800838978	1.33966743637688
2134	2-76	5.73334127689775	6.84174901456953	8.96952598198891	1.49362001262151
2135	3-12	5.73334127689775	6.85600135220399	9.03854694937192	1.40614582277047
2136	2-87	6.75110146893676	6.60934924316738	9.17066355482328	0.053096582999455
2137	2-33	0	7.12205988162914	9.42391831842069	1.69991366174463
2138	4-49	0	5.73187377669764	7.70984269316988	2.0330888909016
2139	4-47	0	3.61091791264422	6.59714570188665	0.514926791510205
2140	2-88	5.82008293035236	6.58340922215876	9.10386812746567	0.462512293429008
2141	4-55a	5.41610040220442	2.63905732961526	5.77144112313002	0.10848064299407
2142	2-29	4.94875989037817	7.76020058280754	10.2193242257805	1.74420381078615
2143	4-9	5.73334127689775	6.92565659011782	9.02270346369737	1.38161921452246
2144	2-93	6.19644412779452	6.92755790627832	9.12205545710861	0.625473219596499
2145	3-26	4.84418708645859	7.47385557731897	10.536818015428	2.45348940664162
2146	2-80	5.73334127689775	6.93925394604151	9.02002696525268	1.05309346684784
2147	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2148	3-52	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2149	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2150	2-35	0	7.31192788550321	9.65270177913546	1.75466208837084
2151	2-73	2.70805020110221	5.99645208861902	8.2553088117856	1.01824978566086
2152	2-86	4.84418708645859	5.44673737166631	7.9402277651457	0.317563813822106
2153	3-53	5.73334127689775	6.84174901456953	8.96990759462491	1.41295702261201
2154	2-23	5.73334127689775	6.85310107991854	8.97339498069822	1.3303913451375
2155	2-48	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2156	3-40	5.41610040220442	5.31104848090177	7.73668911963804	1.01767596525278
2157	4-41	5.41610040220442	2.99573227355399	5.87773578177964	0.100083458556982
2158	2-51	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2159	2-27	5.73334127689775	7.12949784938072	9.50431743309616	1.39719996234577
2160	2-50	6.27852142416584	6.55819780281227	8.75778365633417	0.552565229938756
2161	2-85	6.19644412779452	6.83410873881384	9.05040633405986	0.553824096547745
2162	4-41	5.41610040220442	2.99573227355399	5.87773578177964	0.100083458556982
2163	2-79	6.3297209055227	7.16780918431644	10.9278369692336	1.50456501101967
2164	3-35	5.41610040220442	5.68209056378721	8.18331010006374	1.35676487650715
2165	2-69	6.19644412779452	6.81673588059497	8.92038906008036	0.522204655246323
2166	3-54	5.73334127689775	6.8326275562903	8.87039523681791	1.3967581283217
2167	2-27	5.73334127689775	7.12949784938072	9.50431743309616	1.39719996234577
2168	2-28	5.73334127689775	7.11171601087957	9.45689766969941	1.40523811285745
2169	2-35	0	7.31192788550321	9.65270177913546	1.75466208837084
2170	3-43	5.41610040220442	5.405207961038	7.92031028082636	1.33413862597168
2171	2-48	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2172	3-48	5.73334127689775	6.93731408122368	9.04502710076312	1.4020234652024
2173	2-66	6.13772705408623	7.19321613636121	10.4138690151772	1.37135575384449
2174	3-46	5.73334127689775	5.33271879326537	7.57712193087668	0.097822293093845
