No.	NAME	qpmax	qnmax	Qpos	Qneg	Qtot	Qmean	Q2	RPCG	RNCG	PCWTE1
1196	2-97	0.298463106155396	-0.398392677307129	3.12799444794655	-3.1279943883419	6.25598883628845	0.125119776725769	1.3137234756723	0.0954167633997334	0.127363616377301	42.0021880964969
1197	3-5	0.348310321569443	-0.36519467830658	2.93267381936312	-1.93267388269305	4.86534770205617	0.118667017123321	0.947510035824962	0.118768858394584	0.188958251869014	32.3941670881919
1198	2-56	0.221505343914032	-0.847526788711548	2.09248648863286	-4.0924864448607	6.18497293349355	0.106637464370579	2.28849852939311	0.105857478706471	0.207093364909214	20.0658733697292
1199	2-14	0.345274806022644	-0.386850446462631	2.47178925573826	-1.47178921103477	3.94357846677303	0.179253566671502	1.06302427407354	0.13968618288193	0.262843648779466	23.836937338689
1200	3-2	0.2984619140625	-0.369123011827469	2.51838159840554	-2.51838161423802	5.03676321264356	0.102791085972318	0.936319831540459	0.118513379486042	0.146571516302605	34.9920674940477
1201	2-20	0.346789300441742	-0.365195542573929	2.94219414144754	-1.94219417497516	4.8843883164227	0.128536534642703	1.04462213313673	0.11786757901405	0.188032456939379	32.9634440528481
1202	2-93	0.409310698509216	-0.452481120824814	2.85207548225299	-2.85207551624626	5.70415099849924	0.105632425898134	1.36349368156698	0.143513276929783	0.158649768650005	42.2798762548532
1203	4-57	0.344953954219818	-0.460167169570923	3.51469801878557	-2.51469798665494	6.0293960054405	0.08613422864915	1.3227362812213	0.0981461145100056	0.182991027953635	48.3742508599129
1204	4-52	0.348423063755035	-0.503084182739258	3.16838248167187	-2.16838254965842	5.33676503133029	0.116016631115876	1.31450138520449	0.109968750859644	0.232008961157941	30.6504919665683
1205	2-4	0.345166921615601	-0.360411256551743	3.24299329379573	-1.24299319181591	4.48598648561165	0.093458051783576	1.06643980509398	0.106434670178304	0.289954328732252	42.4126814214611
1206	3-44	0.218212842941284	-0.369168758392334	2.04690183605999	-2.04690185375512	4.0938036898151	0.104969325379874	0.815897728243726	0.10660640344205	0.180354889862003	27.9370572596425
1207	2-76	0.210603043437004	-0.384266704320908	1.17747342446819	-1.17747340723872	2.35494683170691	0.0560701626596884	0.308460595102588	0.178860124619903	0.326348520449431	17.4887175642125
1208	2-94	0.300647526979446	-0.386852353811264	2.20822319015861	-2.20822319202125	4.41644638217986	0.126184182347996	0.891600170638412	0.136149066959963	0.17518716188157	26.7972059041098
1209	4-4	0.344948947429657	-0.388289988040924	2.29876546002924	-1.29876541718841	3.59753087721765	0.0782071929829924	0.763333306949789	0.150058348025322	0.298968530345921	30.6397810726521
1210	3-30	0.317129373550415	-0.452799946069717	2.21164867747575	-2.21164867753396	4.42329735500971	0.0902713745920349	0.986340289524179	0.143390483660528	0.204734120147238	32.4626974966934
1211	4-47	0.345212697982788	-0.461655765771866	3.3078505564481	-2.30785054340959	5.61570109985769	0.110111786271719	1.38554696875508	0.104361636685749	0.200037115527344	39.6910737053624
1212	2-84	0.316927671432495	-0.464866787195206	3.25495485961437	-3.25495482515544	6.50990968476981	0.103331899758251	1.55053035348647	0.0973677624119318	0.142818199381003	47.2708198856208
1213	2-47	0.318234175443649	-0.847371578216553	2.32623961288482	-3.3262395998463	5.65247921273112	0.110832925739826	1.86320305947083	0.136801975893189	0.254753619749975	21.8941640825869
1214	2-39	0.347967982292175	-0.35575208067894	3.13368339464068	-2.13368343934417	5.26736683398485	0.0798085883937099	0.961354847022449	0.111041205658262	0.166731425158499	45.435499592435
1215	4-2	0.348422795534134	-0.503090739250183	4.19019315997139	-2.19019313901663	6.38038629898801	0.125105613705647	1.6973182011825	0.0831519651319638	0.229701541059555	40.1925039655411
1216	3-21	0.316924035549164	-0.452809542417526	2.16495488956571	-2.16495489503723	4.32990978460293	0.0865981956920586	0.926962880305013	0.146388285999224	0.209154261576309	30.3221170883468
