No.	NAME	DBI	HNar	PJI2	ICR	MeanTD	MaxDD	GMTIV	S2K	PW2	PW5	MAXDN	MAXDP	TIE	Psi_i_1d	Psi_i_1s	Psi_e_0d	LOC
2384	4-20	2.64575131106459	1.92	0.8	2.25	3.73333333333333	13	3724	5.43769321632214	0.563690476190476	0.0881134175371976	1.00064814814815	1.87324404761905	19.933843146663	-0.000167992355127976	0.000016543008615749	0.000486151233702221	0.625
2385	4-63	2.73861278752583	2.05128205128205	1	2.1332062193465	3.84210526315789	12	7203	5.31759820724393	0.56625	0.112628250132153	1.87125	2.86194444444444	25.5764870709079	6.98585094211774E-6	4.33926238369673E-7	0.0000382214869669016	0.432192809488736
2386	2-32	3.08220700148449	1.88235294117647	1	2.39207956392571	4.02536231884058	17	12630	5.49837760669046	0.599652777777778	0.132216090914363	1.6461824452003	5.61238764487276	49.377479185043	-2.64542799642885E-7	1.94938508250313E-8	2.84411457606851E-6	0.961252480472185
2387	3-6	4	1.76923076923077	1	2.64446278436685	4.77075098814229	17	15692	6.09936287339061	0.617650103519669	0.0885672319058335	4.7546767526455	5.41389668367347	53.6177863935136	-1.00726292791249E-6	4.57960629926514E-8	-5.38578072007442E-6	0.899074810614312
2388	2-28	4.69041575982343	1.8125	1	2.68234016996203	4.99753694581281	20	23172	7.12341686160342	0.600561029009305	0.121882617779842	2.00779743945328	6.35125669249181	80.7820993661246	9.75527602855016E-9	7.97694237414964E-10	-1.07054176132355E-7	1.69718036112105
2389	2-10	3	1.98726114649681	0.8	2.26098118101722	4.06153846153846	21	16487	5.69769781810987	0.603754578754579	0.131989268414064	1.84310704837491	5.47753031305115	45.8010912345807	3.71093143380803E-8	2.22632981014395E-9	7.71058222138641E-7	0.777024550340252
2390	3-52	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8754	4.29255393928061	0.614123376623376	0.142189801549771	1.83611111111111	5.65529903628118	47.8771178473276	-9.39565042050927E-7	1.42590969774272E-7	0.0000103696137755815	1.09390056703007
2391	3-5	3.60555127546399	1.82068965517241	1	2.64242396177198	4.64935064935065	17	14653	6.18919619270828	0.605194805194805	0.0915412893421824	4.74115102985639	5.34956412194507	48.6984540418496	1.94880788906663E-6	7.94780106862248E-8	0.0000103061572901103	0.891199129819285
2392	2-74	4.35889894354067	1.89473684210526	0.833333333333333	2.37106352891325	5.20265151515152	25	36376	6.86634048001503	0.624098124098124	0.123392568852171	2.44351114365499	6.9212641723356	93.5676726693572	1.78101617403067E-10	2.34043337540552E-11	-7.5611943129725E-9	0.627383893953467
2393	4-49	2.44948974278318	2	1	2.12661447181018	3.63333333333333	12	3403	5.47639191128812	0.537574404761905	0.110700079724888	0.847314814814815	0.976493764172336	17.9664942151453	-0.000168829765040086	0.000015659583228069	0.00048798010406464	1
2394	3-49	3.74165738677394	1.86486486486487	1	2.15272173810133	3.85375494071146	18	10765	4.74925442982033	0.607229123533471	0.140404570891393	1.8301917989418	5.74081585411943	53.5968808940651	4.91722914863556E-7	6.82913237695761E-8	-5.43012666244762E-6	1.17836596217723
2395	2-83	4.74341649025257	1.96153846153846	1	2.47663472447068	5.10516934046346	26	32131	6.7744563928595	0.620802563449622	0.131143473871028	2.49591856418493	7.09689082577475	103.880742898361	4.50421834886446E-11	1.76161989360709E-11	3.84515006178708E-9	0.740880227225758
2396	3-19	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8750	4.30466051065125	0.614123376623376	0.142189801549771	2.04293745275888	5.64403486394558	47.481693888473	-9.45028024232199E-7	1.30103013519229E-7	0.0000103866881475974	1.09390056703007
