No.	NAME	SPAM	MEcc	SPH	PJI3	L/Bw	HOMA	DISPm	QXXm	DISPv	DISPe	DISPp	DISPi	DISPs	QYYs
694	4-17	0.41728889433918	0.999643938190156	0.903935569929327	0.70326582143679	2.48	0.803907876128082	1.79187516089663	30.9584784858294	3.35769393311036	0.0248875036516984	0.266001499698935	0.522062450857187	0.0284641096181589	227.069670962021
695	Tetracycline	0.363303152407931	0.998958476518358	0.853112932560292	0.877440123907904	2.95	0.0820356881520119	9.20565081597387	178.423874324483	8.17805184406877	0.362442778091933	0.429476652773896	0.728980138325068	0.936670409447337	1674.51319880508
696	2-13	0.393129732212708	0.992353454138313	0.590598984069	0.831550654208319	3.01	0	1.09755808292823	16.9020184147912	1.43693050533398	0.0206026579357813	0.0931687368685604	0.172156394450484	0.0286740695520291	173.031029286983
697	3-49	0.343891019576471	0.986412718898386	0.711677446304933	0.719431981137599	1.76	0.880286390270183	2.53028380854944	123.606427753581	2.64682985226457	0.160157569012314	0.268694641624505	0.39741728080002	0.443288998244183	709.140854631749
698	4-44	0.351851089399621	0.985434995089864	0.648581215907068	0.946044578878239	2.18	0.883477929778532	4.89839890219029	294.922541239411	4.17218377541252	0.232315992731091	0.340837367300118	0.530606052152259	0.552231508857901	1751.77218110437
699	2-99	0.342574230408594	0.973150282357411	0.615311150280097	0.793735685045222	3.27	0	4.85069086822516	101.440309248451	2.70687512889453	0.217263733980526	0.0977174140573978	0.189463900855539	0.613486781805677	888.97424678655
700	3-24	0.340999340020784	0.973914244185477	0.538382394614613	0.9600879478052	1.94	0.859093086632238	10.3685729223071	255.865706333576	9.26707763411459	0.175790065363179	0.606690892040956	0.633558156632694	0.444136680842745	1241.01924032015
701	2-75	0.310301888539304	0.975964356979147	0.650904807908656	0.763329711412206	1.41	0	4.10026414905108	238.144479612846	3.51817558887152	0.135423699159627	0.178569382051398	0.262824579654162	0.325231026460518	1061.16522737045
702	2-64	0.336152096382976	0.970902824332851	0.629236763596977	0.707999682406057	1.34	0	2.45135072690533	203.349176239615	1.18633389526812	0.12882771991281	0.0665984713535956	0.184569896529354	0.326320127002374	885.012493698915
703	3-37	0.426792528072653	0.9935804427648	0.762333522896501	0.906444938377814	3.75	0.879767287876905	4.90219721157733	76.4921795823765	2.86988502025882	0.262880324239206	0.323825475908641	0.410807523785092	0.368116640400495	697.403652230935
704	3-29	0.343334790132692	0.982515885323668	0.55694515113048	0.751822169056823	3.16	0	2.82720636124071	94.0383466184873	2.07554841801874	0.11319421824235	0.110420789430578	0.137336698710714	0.265487764440345	846.850662279838
705	2-44	0.353810255629247	0.997761295277742	0.694888957315802	0.956771933378448	2.98	0	6.85273582665888	100.002315865099	3.94498987869339	0.287569927426192	0.0722043811799154	0.0905908186603769	0.891887271468028	1025.2790318983
