No.	NAME	Eta_betaS_A	Eta_betaP_A	Eta_beta	Eta_F_A	Eta_FL_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_5	Eta_D_epsiA	Eta_D_epsiB	Eta_psi1	Eta_D_beta
2412	2-79	0.666666666666667	0.333333333333333	36	0.841304713416356	0.170355534223123	0.139442231075697	0.358565737051793	0.0896414342629482	0	0.0351851843297482	0.817094017094017	0.150995024875622	0.0390902629708602	0.540365984930033	-12
2413	3-25	0.65	0.433333333333333	32.5	0.83157560315123	0.198719416990058	0.192743764172336	0.333333333333333	0.0272108843537415	0	0.00999999977648258	0.8	0.0990783410138252	0.0336021505376348	0.6125	-6.5
2414	3-46	0.619047619047619	0.0714285714285714	14.5	0.309663274909985	0.0684030917540309	0.165562913907285	0.298013245033113	0.0993377483443709	0	0.0206349212676287	0.730555555555555	0.0552459580323357	0	0.605210420841684	-11.5
2415	4-41	0.7	0.1	12	0.55277180892788	0.17986428463981	0.187817258883249	0.380710659898477	0	0	0.0622222237288952	0.868518518518518	0.19057264316079	0	0.445701357466063	-9
2416	3-52	0.613636363636364	0.409090909090909	22.5	0.688486158153139	0.169737756840359	0.206349206349206	0.333333333333333	0.0952380952380952	0	0.0227272734045982	0.804545454545454	0.10560606060606	0.0302727272727272	0.593220338983051	-4.5
2417	4-20	0.625	0.375	16	0.589414646780113	0.202800026922124	0.117903930131004	0.248908296943231	0	0	0.022916667163372	0.719298245614035	0.0761848805327066	0.0300439974858579	0.597911227154047	-4
2418	2-22	0.65625	0.479166666666667	27.25	0.92684062666171	0.22238192777734	0.180722891566265	0.406626506024096	0.0451807228915663	0	0.0388888902962208	0.832051282051282	0.176250880902043	0.0504635962912295	0.526148969889065	-4.25
2419	4-51	0.65	0.185714285714286	29.25	0.737973541992431	0.122632073794333	0.229038854805726	0.398773006134969	0.0920245398773006	0	0.0342857129871845	0.797435897435897	0.125871015567086	0.0145727699530518	0.545150501672241	-16.25
2420	2-42	0.607142857142857	0.428571428571429	21.75	0.68090312587174	0.167015422543921	0.2	0.35	0.1	0	0.0238095242530108	0.809523809523809	0.1175	0.0348913043478259	0.588235294117647	-3.75
2421	2-48	0.640625	0.28125	29.5	0.846856267627879	0.161044831247718	0.203619909502262	0.339366515837104	0.101809954751131	0	0.039583332836628	0.81574074074074	0.162318007662835	0.0364052287581702	0.523076923076923	-11.5
2422	4-59	0.637931034482759	0.103448275862069	21.5	0.568331180792561	0.0999202676183241	0.291044776119403	0.261194029850746	0.149253731343284	0	0.0379310362040997	0.803030303030303	0.112174738841405	0	0.529644268774704	-15.5
2423	2-57	0.568181818181818	0.204545454545455	17	0.405653149822599	0.0923894716933443	0.25	0.28125	0.09375	0	0.0151515156030655	0.769696969696969	0.0583520840030001	0.0147355912061795	0.62992125984252	-8
2424	3-19	0.613636363636364	0.386363636363636	22	0.705948208660415	0.172708746477665	0.206349206349206	0.333333333333333	0.0952380952380952	0	0.0227272734045982	0.782608695652174	0.10560606060606	0.0388111888111887	0.593220338983051	-5
2425	3-10	0.613636363636364	0.318181818181818	20.5	0.596374521738038	0.152326194595805	0.217391304347826	0.316770186335404	0.093167701863354	0	0.0121212117373943	0.715277777777778	0.0526666666666666	0.0274942528735632	0.647887323943662	-6.5
2426	3-19	0.613636363636364	0.386363636363636	22	0.705948208660415	0.172708746477665	0.206349206349206	0.333333333333333	0.0952380952380952	0	0.0227272734045982	0.782608695652174	0.10560606060606	0.0388111888111887	0.593220338983051	-5
2427	2-69	0.648148148148148	0.203703703703704	23	0.579071064167917	0.105619075422657	0.291448516579407	0.256544502617801	0.146596858638743	0.00529100513085723	0	0.841326530612244	0.155197651663405	0.0116593406593406	0.586609336609337	-12
