No.	NAME	TDB04u	TDB05u	TDB06u	TDB07u	TDB09u	TDB10u	TDB04m	TDB06m	TDB07m	TDB09m	TDB10m	TDB04v	TDB10v	TDB05e	TDB06e	TDB07e	TDB08e	TDB01p	TDB03p	TDB05p	TDB01i	TDB03i	TDB04i	TDB05i	TDB06i	TDB07i	TDB01s	TDB04s	TDB06s	TDB07s	TDB08s	TDB09s	TDB10s	TDB01r	TDB02r	TDB03r	TDB05r	TDB06r	TDB07r	TDB08r	TDB09r
842	2-81	3.92138923799641	4.86772590413691	5.8049168751871	6.6021204181903	8.28116834816873	9.20327376282805	1.64573312369764	2.46761797806609	2.10447823691512	1.05257302819931	0.272833065545064	1.62860068564358	0.918709629762924	5.07801719749574	6.02698900583108	6.80281046715538	7.72536479785883	0.892870721644416	1.60022301343101	2.00414380773693	1.47154325349528	3.77776405598665	4.89595264612228	6.20234942430371	7.31519108302326	8.50736267890123	3.69556025342836	12.6400690365065	21.2508378597234	20.0494989201117	24.429871434157	28.1222241253	17.4307026364248	1.00551923081138	1.53971782888774	1.89496656346798	2.50240031429522	3.04927309481163	3.05765350755393	3.09372755841307	2.59053703914725
843	2-13	3.72704206024402	4.88250761517071	5.746748676782	6.89544936660739	0	0	0.608741283832254	0.167492492171594	0.0487702032346344	0	0	0.81984974142972	0	4.73041853721244	5.38365071683685	6.11617560224684	0	0.673720188662297	1.02516137706566	1.39904262223339	1.5340059734334	3.95080978042206	5.15591168204923	6.6499485465174	8.52030703716667	10.055618365517	3.39572968084646	7.77157207869198	8.53367724137057	6.89544936660739	0	0	0	0.848774461066091	1.19739278299977	1.3754658106028	1.71060482925599	1.25530369920489	1.14728148364911	0	0
844	2-78	3.90130109855379	4.70064271221255	5.6514509744926	6.66971892170217	8.56162852382103	9.52965712273246	1.30950921597641	1.35397360717278	1.63665706124714	1.83953146241802	2.71913729803247	1.58023109578218	2.35876952852499	4.58593368397946	5.53056089289976	6.57272190135116	7.25830729615151	0.891370387881233	1.64902707456304	1.85322142332826	1.43231585463163	3.71530302399369	4.78456166025617	5.9865484541362	7.3629147241941	8.73432972038889	3.59740484055826	9.48797699757927	14.803459814493	20.7722077771494	21.1356967347707	27.9622778561508	58.2615840129721	0.95359898054638	1.43249014786901	1.80534457231392	2.11073818165304	2.34356789504718	2.81614150476523	2.92588272473979	3.2455508513198
845	2-71	3.90801851426265	4.83708255006202	5.77444889385849	6.55820448670905	8.08521224182741	8.58479628926972	1.45482934444191	2.22264813913576	1.87641927445442	1.33029316415127	0.395134211920818	1.58282188376684	1.04993234501603	4.89446048780376	5.93681746868012	6.74287498805221	7.53388064518093	0.870184197470404	1.6154901230093	2.05098824289703	1.45872299312687	3.73802987333252	4.86537646851576	6.09455786521012	7.30082213659187	8.55959103267158	3.85617257997719	11.651658557516	20.6487782134279	20.0693011302032	27.6103213773098	32.1604244955546	22.1010590966188	0.974078925939457	1.53031684597814	1.86779575919865	2.46179074100288	2.91691493514525	2.86940948804077	2.89041966057037	2.49217523692965
846	2-5	3.92259113944772	4.783937503815	5.73515989636821	6.83744616210138	8.77170999995505	0	1.12255583179215	0.981931497307137	0.920254882780741	0.0620406382047821	0	1.4694423056144	0	4.58219136851636	5.45545622430922	6.38762359386348	7.96662363874378	0.901459190606755	1.70653908624934	1.8226176768008	1.43474177128745	3.69765206025663	4.85592314507158	6.13522891369097	7.46705239777246	9.19071456107769	3.2743077462605	8.53619418577027	11.6077542232154	13.6198739851265	20.6168842128455	8.77170999995505	0	0.95100365793842	1.48784879633984	1.86103862146512	2.03797416486944	2.20794784525676	2.15768353963164	2.54947257864508	1.45945824961362
847	2-98	4.04343265226824	4.75184280804504	5.25386757905032	5.7051571647093	7.69384342953841	8.56914746513293	2.88833222959117	3.2148340115463	3.20380039744358	3.90692182592063	4.96847680655278	1.82892423502373	3.26451517602533	5.53157557041031	5.67783996634525	6.24157566639491	6.77070146385717	0.95513329036319	1.67808183386252	1.91039125580151	1.49778389772868	3.87724482708278	5.0909010867631	6.23578783252807	6.42542483349496	7.25648004203687	4.42945694174608	19.8397636631376	19.2925222672054	25.2035410588405	17.4857421536595	42.2977186942383	28.6812284647791	1.11865660104186	1.66782707833366	2.05412969822945	2.63247950474951	3.26864515385306	3.22216119675867	3.39767364672218	3.95006012051875
848	2-90	3.91846780704577	4.83108890313912	5.74531804034276	6.56175087680383	8.25989755873771	9.09877430483731	1.46037977227102	2.25830805408399	1.83565552920546	0.44406850507484	0.0643539018909964	1.59418720934985	0.631268957808918	4.87488606568984	5.87348661157447	6.64237712031457	7.4371026412219	0.899190539178634	1.62707627254261	2.07491622156268	1.45471929615491	3.75088417549472	4.86706875483778	6.07903454373814	7.22747248374168	8.44780929422073	3.59963663994441	11.3979036400581	20.1278931220043	17.9580863569441	22.9516735877455	19.1395716166223	9.09877430483731	0.989144451326419	1.52853815174142	1.86819020976677	2.46927244792512	2.95730364707792	2.9593999935942	2.96459104692043	2.29847058882418
849	Chloramphenicol	3.87188315528782	4.68198219897639	5.40799445730458	6.27669635038568	7.88185102640829	8.97255445093218	2.05774185794072	4.03988180616941	4.32456664554513	6.36807632421118	14.5142484286166	1.65275188642086	4.91984255171582	5.09198906343234	6.04378152256548	7.07263097288554	8.40176949959707	0.892561106369183	1.46910505434014	2.02987997650755	1.5371286341891	3.9233604539812	4.95846047423351	6.03741634245873	7.10576337359239	8.28205619720046	5.65079382094158	17.753578109281	29.5519082622232	38.3816433349695	42.7150375213976	70.9510246513855	153.890432230312	1.06218976984201	1.69525693388703	1.93617999769188	2.61430526491832	3.14943528134221	3.68630568978909	4.49798967847487	4.88792102903454
850	2-53	3.91927372206575	4.7900625217318	5.66895228432907	6.35638876233092	7.32572960127532	7.14301564402943	1.53778810672435	2.18984167871975	1.98224838229966	2.12953018796238	2.77316386591966	1.61653898182671	2.88548542858081	4.89650456868699	5.86166876261894	6.57199367699962	7.06404749462859	0.88189833675926	1.65824584087243	1.97466890976938	1.45258516967314	3.72612414464217	4.86004362801566	6.0733705708591	7.20782915786376	8.26150178987342	4.03985592334013	12.6022538678031	21.6690928012906	21.7744629680113	26.1032839514566	21.96721889539	21.091609574788	0.989205971697321	1.55383669033078	1.90979850842837	2.41853764715782	2.8505756071818	2.89620948619378	3.06025523060721	3.24211942385727
851	4-35	3.79933556224586	4.72389405907693	5.59314561638367	6.46907536949694	8.3994967097294	9.45170411395704	1.06874954820785	1.17455811535726	1.41986480376647	1.90270658144262	1.83549544686222	1.29296088005977	2.55401290291705	4.63832375252592	5.40426493422101	6.28358271245204	7.15437256517128	0.793722752868807	1.30508129164299	1.76254209641286	1.43293101256704	3.73607053623634	4.80502245099887	6.05657790418996	7.27038616791776	8.44927793090744	3.23042171277985	9.14638051082419	12.0081688598895	14.7317098796502	16.1396797981759	19.9344384155248	21.4093934494205	0.862517959077037	1.26210041904326	1.46053873868144	2.02675338555888	2.22056848980135	2.5760598118411	2.95794906797813	3.32025196475607
