No.	NAME	SpPosA_A	VE1sign_A	J_D	TI1_L	TI2_L	SM4_L	AVS_X	ChiA_X	SpDiam_X	SpMAD_X	SM3_X	SM5_X	VE1_X	VE2_X	VE3_X	VE1sign_X	SpMAD_H2	VE1_H2	ChiA_Dt	J_Dt	H_D/Dt	ChiA_D/Dt	J_D/Dt	SpMaxA_D/Dt	Ho_D/Dt	Chi_Dz(Z)	J_Dz(Z)	SpDiam_Dz(Z)	ChiA_Dz(m)	SM1_Dz(m)	J_Dz(v)	SM1_Dz(v)	Chi_Dz(p)	AVS_B(m)	SpPosA_B(m)	SpMaxA_B(m)	SpMAD_B(m)	SM5_B(m)	VE2_B(m)	VE1sign_B(m)	AVS_B(v)	SpPosA_B(v)	SpMax_B(v)	VE1_B(v)	VE1sign_B(v)	AVS_B(e)	ChiA_B(e)	SpPosA_B(e)	VR2_B(e)	ChiA_B(p)	SpMAD_B(p)	SM3_B(p)	VE1sign_B(i)	ChiA_B(s)	SpMaxA_B(s)	SpDiam_B(s)	SpMAD_B(s)	SM4_B(s)	VE1_B(s)	VE2sign_B(s)
56	4-60	0.662721505675967	0.0734010548534774	1.775510228554	69.1419908677499	1.32584148874922	8.13651825211529	0.971078172037589	0.995025193067338	1.97862682335324	0.607988565551716	0	0.045256591588117	4.48561387799447	0.195026690347586	1.49919033952898	0.0436921194266694	1.29383801298822	3.8784765716072	0.0037699780648403	0.509701034366408	1005.49484126984	0.147363136068823	19.9234959965049	0.336788974928764	8.77730421187232	0.393155358317968	2.04440786325343	100.921330172208	0.0151199924007352	0.709905964374929	1.80763192309217	-1.04218302070139	0.312068634307098	3.49045821702377	1.32474557407322	0.170874365232208	1.42909417989942	7.69511374549528	0.167037467185687	0.0794500513247741	3.37440604311072	1.2448434324502	3.88945343506088	3.89196160146637	0.0775334923344409	3.48925386919768	0.275350494522341	1.32387145194368	1.10468696433828	0.290211754452325	1.43106125980856	5.22167178356743	0.0773406831076432	0.225147213852846	0.272449622122289	7.51051499805263	1.63342538067313	8.155182124834	3.83700059543909	0.00355638942229664
57	2-99	0.621437798883419	0.115988040445998	1.80801886406375	72.5445921180625	1.65555977257444	8.37724123098879	0.923057706689043	0.99407726586931	1.97412166504906	0.55111944757591	0	0.0796865188897179	3.82644982647941	0.159435409436642	1.39871045545806	0.0188522928384416	1.25462859794175	3.63649305961212	0.00369908165120098	0.539326104745103	1100.27380952381	0.134050359377658	19.5445423972625	0.357899915547738	9.36433963990773	0.357724707912593	1.931713422728	119.196381260217	0.0132484470832079	0.871209680433529	1.82759936718109	-1.19821626721354	0.319224289142637	3.51711588454247	1.35819966372704	0.160621923292725	1.38873924392735	7.79856253113329	0.154218616373093	0.128976494404531	3.37147005120913	1.24091033303205	3.82801059848834	3.72370951421306	0.041106234771219	3.5158242178758	0.262812132609205	1.35711146804098	1.10083023813701	0.277598903710044	1.41032663991302	5.28861333852008	0.113439672492672	0.211611343468348	0.317020483884507	8.70364104598568	2.14705123138924	9.35881866667251	3.41097794404633	0.00723877398536451
58	2-11	0.650198958930786	0.216471459368143	1.70505609594968	68.8057532387138	1.68487618843239	8.13300021858361	0.965436584559462	0.995110183023554	2	0.587415025322945	0	0	4.71474949138073	0.204989108320901	1.54895483136565	0.277350098112615	1.30837514378649	4.05670727530464	0.0035231164305693	0.47632534141297	1083.7	0.157092323692153	21.238882163179	0.31956869423074	7.48966273116513	0.376227151351754	1.95638118702912	108.046510831463	0.0144690856687344	0.709905964374891	1.7676483495381	-1.04218302070138	0.308358000877304	3.49045821702377	1.32241209036598	0.168729067527675	1.40399376828494	7.68965059142861	0.171650796722499	0.176298098853939	3.37440604311072	1.2436481535667	3.8526767154232	4.00507389360958	0.188735196041841	3.48925386919768	0.274752427430644	1.32150845411289	1.1045557345821	0.289252652729145	1.41656990737057	5.22715463661781	0.173118211616709	0.225021305778944	0.274462134911294	7.57034570273143	1.62127756902489	8.16251712306862	3.93764685188616	0.00618776281002512
59	2-4	0.647084978923803	0.290542348700021	1.77214415344869	50.7878280375357	1.28749263881847	8.12946976478423	0.951662107137598	0.995090853922586	1.95487651841638	0.569347983653722	0	0.0796865188897252	3.58251385091856	0.179125692545928	1.10837575633325	0.151237934296865	1.29542566834003	3.372788311236	0.0044697905823335	0.472903843610885	854.711904761905	0.182930135811224	19.3540083688274	0.305704523915405	6.42911240215409	0.418887463178912	1.92688233062299	85.9684746529906	0.0182124517235657	0.251225535441148	1.88814928109023	-0.493720155863063	0.405583508631759	3.50819694957733	1.30843429329902	0.193664832204488	1.40289657368262	7.57164994037606	0.158165533131747	0.130967420449154	3.46734694957733	1.27644160839227	3.87116779359933	3.17724302074084	0.12447810033852	3.50754694957733	0.269542673892328	1.30789245131192	1.12367427166941	0.273912970283358	1.41007472728043	5.18216605881946	0.132504226785046	0.228357572366066	0.227446283953126	5.59083055193264	1.46749007104781	7.29981804384297	3.36417465440056	0.0132773312864104
60	4-11	0.636487712648046	0.0757668409705566	1.83308945960044	36.298226595934	1.68033396516465	7.88645727097769	0.94990271636349	0.995133198245013	1.9808402657707	0.580949694043771	0	0.0598981415810696	3.7617849420492	0.197988681160484	1.09324853100879	0.197300427776547	1.26521640403841	3.714577372551	0.00523962660417184	0.577668833109946	668.010714285714	0.163232837982587	17.9964203875802	0.361835331791511	6.98259896518728	0.48641521574981	2.5536798826865	69.7438930022005	0.0231592561159978	0.637105789676316	2.24543976704106	-0.922749826934888	0.381535788212832	3.66393960378546	1.39264667187566	0.214458726815914	1.50473273676624	7.80720864641098	0.192603197265668	0.0224538320827942	3.54495539325915	1.30972925173896	4.01557916221926	3.67546043594553	0.100611570564817	3.66282381431178	0.258483297508549	1.39183770527879	1.07492495489297	0.270876753118354	1.51075185073959	5.1834273319328	0.0360323966815143	0.204152337293026	0.391211807849173	8.56975768712204	1.78485374364992	8.53653784588392	3.54778414792012	0.00271622366813481
61	4-54	0.629018216504639	0.244641232915429	1.79036308489132	68.7736368048043	2.72161689586098	8.18952211074809	0.946029568658795	0.995539820507321	2	0.582547439828488	0	0	4.89199218428127	0.195679687371251	1.72371438627947	0.119523556569088	1.25763818036599	3.98534154026178	0.00360351913903051	0.656741363088311	991.835847485848	0.105058176834155	19.1468527280247	0.46684690005693	11.6184598417445	0.288711760455221	1.94880438307274	155.170269972107	0.0106929122205681	0.428530381039103	1.84608010974577	-0.711674485173842	0.26445554908476	3.35585924916077	1.29291922822509	0.149695566614189	1.3684594267223	7.6844793363747	0.170920485013999	0.220813296030171	3.29848324916077	1.25070522541586	3.72894178427226	4.35605139150151	0.180554489648279	3.35514324916077	0.281536677091793	1.29236497280759	1.05574769141316	0.287657123117932	1.37428972962872	5.32083443567931	0.219434191319364	0.234643161234286	0.297088022837186	8.64917484794372	1.55103272534382	8.41542289108583	3.92904905269446	0.00964880723708111
62	2-15	0.643294842390598	0.0440161040170937	1.88510772723519	59.7168680888028	1.84898922593375	8.0774471493312	0.963167431557591	0.995169622174755	2	0.610199093168781	0	0	4.80934844486759	0.20038951853615	1.63700698447864	0.142184707271968	1.2748910825208	4.06866610675114	0.00378123683891914	0.639029025777335	978.951587301587	0.117062860610528	19.7836234431793	0.405311092330722	10.4466790902752	0.3560308480818	2.3142005125317	115.050896214943	0.0136923306373965	0.760992727455031	2.0838666558566	-1.0699384280835	0.289668671050454	3.5419144707044	1.35482265175274	0.164426824363901	1.49830845468633	7.86792500017739	0.171610701958793	0.0275017329473585	3.42199363737106	1.27418899411721	3.9204071303255	4.2125981047829	0.0463382363241261	3.5408269707044	0.270244913491975	1.35400231623265	1.05831730875775	0.285251902037847	1.50844800942259	5.34832393068029	0.0312208400939738	0.211648332126472	0.30948596192281	8.59882163898287	1.81637363147347	8.81936013092436	3.91424870030458	0.00173778783277026
63	4-48	0.674324687921544	0.0410400334043193	1.18070664103241	228.62635235427	3.03259883541952	8.40312823512826	0.975609134503123	0.997441019020292	1.99446269751147	0.585723207777472	0	0.0885533973414434	4.98302795567404	0.160742837279808	2.1622293033065	0.117777184587649	1.30855666332587	3.49654107773197	0.00253525834694657	0.469384973948965	1395.85027472528	0.0793707694335157	14.694931026548	0.438930269752873	12.231639083772	0.303594064688764	1.56134090411365	188.26759891445	0.00843302909721242	0.674677664276295	1.43262116468236	-1.09694423156747	0.266592348074114	3.74189671624707	1.37301744761442	0.128085532311709	1.58137175709044	8.23564586673825	0.150137210116401	0.0013496243941282	3.65609349044061	1.31143537932047	3.91338541815373	4.59687980115382	0.0559945799102172	3.74069026463416	0.260836397388438	1.37208384605319	1.14216399782571	0.2689080219826	1.58974423891076	5.70800460784579	0.00893525911773175	0.210305375828052	0.239657027530044	8.509064479478	1.75451384792348	8.72177635797397	4.80758917242497	0.00297138793868543
64	4-35	0.610308711099097	0.120167431084782	1.88565307188484	40.4860518321664	4.49266823657405	7.89319886954461	0.949384578745261	0.996263983288432	2	0.57994003963863	0	0	4.70314271087182	0.204484465690079	1.54649276123479	0.0845509893628908	1.24514430037646	3.72089313397741	0.00512438183638563	0.983881312586042	563.648529248529	0.0827316055380492	15.8844682633055	0.610959696742913	12.5112496778456	0.247278205619169	1.97822564495335	165.721296085894	0.0103029911221171	0.637105789676308	1.91599720075078	-0.922749826934876	0.231525405380882	3.28165018055128	1.30597605785025	0.158366740598513	1.33129273224464	7.49237598168436	0.156634028397277	0.135063680930683	3.18335887620345	1.23103552791635	3.63397811372617	3.6389345167741	0.15315679050114	3.28072844142084	0.289755760184119	1.3052397756688	1.01903454175821	0.301695339827527	1.34683942816664	5.17617868004434	0.138010356512536	0.235671828488063	0.273188370151905	7.3285073066269	1.78489017256949	8.65877508382161	3.58911453319235	0.00298440355447557
65	2-26	0.652205821880417	0.0978520119428702	1.21176078268663	351.532957572609	3.19624772361203	8.69165057315339	0.96017295999948	0.996240056903681	1.97877363787143	0.56407116974348	0	0.29085988821286	3.15097154900588	0.0875269874723855	1.7944001345759	0.220416782411765	1.28062597858502	4.30505413629961	0.00196835158427851	0.434021524333412	2099.31182151182	0.0755802533146877	16.6654458558886	0.410835625534763	14.9609845704229	0.249481333078661	1.30977699866297	268.059019114502	0.00593979547182073	1.02317009350131	1.17408975455646	-1.39436173219765	0.207150334994634	3.61287104069392	1.36528755890544	0.108450351689328	1.44384113368198	8.25643798653599	0.109437644681543	0.0406413961230483	3.48727659624948	1.27466107947118	3.86172385982977	4.13924632297865	0.124016385570768	3.61169326291614	0.266386693089837	1.36439630840624	1.15049545948945	0.278584379545755	1.45399808743697	5.715017757876	0.0288018840766806	0.219461304924594	0.206487418714983	8.53018645449164	1.90317642224255	9.47575854622877	3.839194344725	0.001432058935179
66	4-60	0.662721505675967	0.0734010548534774	1.775510228554	69.1419908677499	1.32584148874922	8.13651825211529	0.971078172037589	0.995025193067338	1.97862682335324	0.607988565551716	0	0.045256591588117	4.48561387799447	0.195026690347586	1.49919033952898	0.0436921194266694	1.29383801298822	3.8784765716072	0.0037699780648403	0.509701034366408	1005.49484126984	0.147363136068823	19.9234959965049	0.336788974928764	8.77730421187232	0.393155358317968	2.04440786325343	100.921330172208	0.0151199924007352	0.709905964374929	1.80763192309217	-1.04218302070139	0.312068634307098	3.49045821702377	1.32474557407322	0.170874365232208	1.42909417989942	7.69511374549528	0.167037467185687	0.0794500513247741	3.37440604311072	1.2448434324502	3.88945343506088	3.89196160146637	0.0775334923344409	3.48925386919768	0.275350494522341	1.32387145194368	1.10468696433828	0.290211754452325	1.43106125980856	5.22167178356743	0.0773406831076432	0.225147213852846	0.272449622122289	7.51051499805263	1.63342538067313	8.155182124834	3.83700059543909	0.00355638942229664
67	4-11	0.636487712648046	0.0757668409705566	1.83308945960044	36.298226595934	1.68033396516465	7.88645727097769	0.94990271636349	0.995133198245013	1.9808402657707	0.580949694043771	0	0.0598981415810696	3.7617849420492	0.197988681160484	1.09324853100879	0.197300427776547	1.26521640403841	3.714577372551	0.00523962660417184	0.577668833109946	668.010714285714	0.163232837982587	17.9964203875802	0.361835331791511	6.98259896518728	0.48641521574981	2.5536798826865	69.7438930022005	0.0231592561159978	0.637105789676316	2.24543976704106	-0.922749826934888	0.381535788212832	3.66393960378546	1.39264667187566	0.214458726815914	1.50473273676624	7.80720864641098	0.192603197265668	0.0224538320827942	3.54495539325915	1.30972925173896	4.01557916221926	3.67546043594553	0.100611570564817	3.66282381431178	0.258483297508549	1.39183770527879	1.07492495489297	0.270876753118354	1.51075185073959	5.1834273319328	0.0360323966815143	0.204152337293026	0.391211807849173	8.56975768712204	1.78485374364992	8.53653784588392	3.54778414792012	0.00271622366813481
68	4-28a	0.610033853824332	0.0756198326536997	2.77087141797629	0	2.90707190596276	7.79688034278352	0.949691531775708	0.996174866027315	2	0.615593797286181	0	0	4.69636213419132	0.204189658008318	1.54505162886232	0.0721595855210919	1.21348212578919	3.87323951628844	0.0073566003395409	1.94582078980857	376.634271284271	0.0609814423321907	16.1295914968644	0.741319139628045	16.08179766667	0.274932430287531	3.16172294830661	134.066451675367	0.01195195094725	0.841308531540466	2.52156748098823	-1.24524909563778	0.184937382240032	3.26121222734866	1.32147088248643	0.158208549961028	1.35671907000603	7.57483672603222	0.160464765885321	0.0408495991411548	3.10963831430518	1.2079023944384	3.56118866992777	3.87151699683154	0.0413052849366514	3.25944266213127	0.29183036720201	1.32008069721938	0.976396197041306	0.30956769070034	1.36611501449383	5.11367682381167	0.0405076126430995	0.228903353165389	0.3231102580134	8.30028915756172	1.78717831472425	8.97319210382878	3.39555482583894	0.00349126987351527
69	3-33	0.6323010816614	0.0269850932628675	1.8850469008471	65.8264480121611	2.06712713654213	8.1318247850072	0.953108098107813	0.995552842817346	2	0.591293861491844	0	0	4.89878108836651	0.195951243534661	1.72522008147474	0.232357407652853	1.26385159625683	4.10903293963558	0.00361119241114904	0.658139816931912	1026.33650793651	0.108657253350129	19.8027844230609	0.422458862199507	11.2560806471779	0.339714930353777	2.293075779888	125.103172756156	0.012581020434616	0.760992727455026	2.05228351847277	-1.06993842808351	0.274789713425971	3.53007789187622	1.35263513040849	0.157864330326925	1.47303838923512	7.90773401070041	0.165337691288978	0.034189400571791	3.41495389187622	1.27611242283245	3.92069089525214	4.23137292774339	0.0538020929716134	3.52903389187622	0.268838625250605	1.35186051891446	1.05597899510197	0.283198537710337	1.48410991869978	5.38067421887376	0.0374711284684993	0.211608122324768	0.297106547406036	8.59965308390985	1.78831114363194	8.82736462924299	3.94643596613083	0.00128442303990868
70	2-99	0.621437798883419	0.115988040445998	1.80801886406375	72.5445921180625	1.65555977257444	8.37724123098879	0.923057706689043	0.99407726586931	1.97412166504906	0.55111944757591	0	0.0796865188897179	3.82644982647941	0.159435409436642	1.39871045545806	0.0188522928384416	1.25462859794175	3.63649305961212	0.00369908165120098	0.539326104745103	1100.27380952381	0.134050359377658	19.5445423972625	0.357899915547738	9.36433963990773	0.357724707912593	1.931713422728	119.196381260217	0.0132484470832079	0.871209680433529	1.82759936718109	-1.19821626721354	0.319224289142637	3.51711588454247	1.35819966372704	0.160621923292725	1.38873924392735	7.79856253113329	0.154218616373093	0.128976494404531	3.37147005120913	1.24091033303205	3.82801059848834	3.72370951421306	0.041106234771219	3.5158242178758	0.262812132609205	1.35711146804098	1.10083023813701	0.277598903710044	1.41032663991302	5.28861333852008	0.113439672492672	0.211611343468348	0.317020483884507	8.70364104598568	2.14705123138924	9.35881866667251	3.41097794404633	0.00723877398536451
71	4-53	0.685066669932797	0.0210473384385339	1.30077476678175	103.030923546634	3.76391933925231	7.97349996402463	0.985902594845375	0.997920696045773	2	0.617432614410062	0	0	4.86520002193457	0.202716667580607	1.64904168006757	0.0131151555762806	1.32188979204737	4.37283292972975	0.00427619277371743	0.623468906408002	705.41206016206	0.0899247828673042	13.111033342053	0.499939052439661	9.9092563298483	0.318483849553877	1.71981278759094	144.277232360004	0.0117953954433117	0.451839658618058	1.43402981052132	-0.82277094835348	0.241751161707801	3.62522196427981	1.33355623042162	0.162670579352354	1.57691458956067	7.87973501639856	0.157587552364412	0.0140983083597163	3.55713863094648	1.29051291875563	3.88588975535865	4.06705020727755	0.0330668909299562	3.62413863094648	0.271994094616111	1.33278183066695	1.10181657508189	0.279216594518463	1.58051199146745	5.41630481319846	0.0212938889046474	0.221230473208247	0.205416380365302	5.97136917053643	1.62320617130553	7.79696667704914	3.57154613592738	0.00150230885746553
