No.	NAME	X2A	X0Av	X2Av
99	2-3	0.249432733105048	0.628830281428369	0.193467441727868
100	2-26	0.251146062205832	0.578695154210584	0.18632762398801
101	4-43	0.298010863199907	0.560290780102107	0.162164653194369
102	4-11	0.268412082029843	0.609818536366178	0.156054347941742
103	3-39	0.279326767735149	0.604172954498859	0.210568192410777
104	4-36	0.294758469897938	0.526159793715024	0.150570484969114
105	2-15	0.266809399075242	0.594057517732873	0.162970692454743
106	3-33	0.274193143974452	0.605104956543681	0.175546372684979
107	4-4	0.249432733105048	0.647342455828523	0.203910404241073
108	4-53	0.277123450407631	0.58961155768037	0.179526569185788
109	2-8	0.283917403600004	0.593817615439532	0.206155186655502
110	4-15	0.323054297733569	0.709708988162088	0.252969224450115
111	4-54	0.27371035842334	0.678074155436175	0.231472343892715
112	2-11	0.255094076160319	0.629150107768901	0.199022058536817
113	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
114	4-54	0.27371035842334	0.678074155436175	0.231472343892715
