No.	NAME	SsCH3	SssCH2	SdssC	SaasC	SssssC	SsNH2	SdsN	SsssNH+	SssssN+	SaaNH	SdO	SssS	SaaS	NssCH2	NsssCH	NdssC	NssNH	NsNH3+	NssNH2+	NssssN+	NssO	minssCH2	minsssCH	mindssC	minaasC	minaaaC	minsssN	minaasN	MaxsCH3	MaxdCH2	MaxssCH2	MaxdsCH	MaxaaCH	MaxsssCH	MaxdssC	MaxssssC	MaxsOH	MaxdO	MaxssO
1256	2-59	1.35106023580997	3.18126916356151	-0.498562151482876	0	-3.66473297933728	0	0	0	0	0	25.8831677210025	0	0	8	5	4	1	0	0	0	0	0.0143984627635874	-1.61483310892717	-1.50475680692898	0	0	0	0	1.35106023580997	4.06643856559306	0.577867601515915	1.52473890172077	0	-0.188850177416646	0.67755388112035	-0.720103969828672	11.148560468762	13.5408489229025	0
1257	4-50	2.23050228304296	12.6560484450352	0	0	0	0	0	0	0	0	24.2864493159296	0	0	13	4	0	0	1	0	0	3	0.0884823790627363	-0.50937893612972	0	0	0	0	0	2.23050228304296	0	1.34461246011719	0	0	0.0585894870556398	0	0	0	12.1432246579648	5.57568893386422
1258	2-78	4.18622123540774	4.46907050474511	2.59641886704432	0	-0.234867842970521	0	0	0	0	0	24.6175816852733	0	0	6	3	4	1	0	0	0	0	0.470792312295289	-0.0531547619047625	0.0423023809437051	0	0	0	0	2.1564347915092	0	0.967237811791383	1.85545201877047	0	0.32188775510204	1.21290393780969	-0.234867842970521	0	12.8381990898211	0
1259	4-3a	4.43227229780801	5.08599348072562	0.517508503401361	4.47483985260771	0.152924225245654	0	0	0	0	0	12.5920077475435	0	0	5	2	1	0	1	0	0	0	0.79412037037037	0.495162037037037	0.517508503401361	1.4036824452003	0	0	0	2.22761385109599	0	1.18967592592593	0	2.31534344293273	0.600625	0.517508503401361	0.194722222222222	0	12.5920077475435	0
1260	2-55	1.86601217617483	0.934407680312713	-4.29984717942758	2.59309965333955	-1.65123350497606	0	0	0	0	0	47.5991224385294	0	0	6	3	4	0	0	1	0	0	-0.715596650123166	-1.35518004115226	-1.5268944703685	0.751429325811541	0	0	0	1.86601217617483	0	0.621317003653313	0	1.93611039229997	-0.0601556069958853	-0.0800859788359785	-0.776014778596624	0	13.1988246409675	0
1261	3-52	5.61730560279667	3.31066680839002	0.172557634164777	3.57238614890401	-0.481803193499622	0	0	0	0	0	25.2993339002268	0	0	4	2	2	0	0	0	0	1	0.529814814814815	-0.273356481481482	-0.169444444444445	1.13731481481482	0	0	0	2.08778391912321	0	1.00613851095994	0	2.15589899848828	0.325023148148148	0.342002078609222	-0.237381897203326	0	12.6552990362812	5.15832057823129
1262	4-12	7.26576388888889	2.86592592592593	0	0	0.646435185185185	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	1.37962962962963	0.742384259259259	0	0	0	0	0	2.4387037037037	0	1.4862962962963	0	0	0.991851851851852	0	0.646435185185185	0	0	0
1263	2-21	8.24906084851296	5.33485971838741	-0.20184826592993	0	-2.78933104602161	0	0	0	0	0	40.9848227602374	0	0	7	7	3	1	0	1	0	2	0.373633314436886	-0.991214168544164	-0.415651372820835	0	0	0	0	2.15937696903065	0	0.969486501294988	0	0	0.179715536671254	0.268894794028723	0.0118334475535957	11.2205881223204	13.9881456286218	6.4692188681028
1264	3-36	3.29097681085287	0.384783821127165	-0.181022894653205	1.06337672982771	0	0	0	0	0	0	35.8502188912309	0	0	2	4	1	1	0	0	0	3	0.107648258377425	-0.717535903250189	-0.181022894653205	0.099961026077098	0	0	0	1.8761838407848	0	0.27713556274974	0	1.7113843035939	-0.284093563096089	-0.181022894653205	0	0	12.3442362423364	5.57471471613337
1265	4-52	3.76858491853532	3.25349867724868	0.380355436927858	2.79159486016629	-0.338912037037037	6.01985032438902	0	1.46597618522718	0	0	12.2137166162761	0	0	4	2	2	0	0	0	0	1	0.472648573318216	0.19588529856387	0.0381119562022343	0.214261148904006	0	0	0	2.20348592214664	0	1.00915367535903	1.93064814814815	2.05348639455782	0.386430461073318	0.342243480725624	-0.338912037037037	10.8114833711262	12.2137166162761	5.32013644809776
