No.	NAME	Uc	Hy	TPSA(Tot)	MLOGP	MLOGP2	LOGP99	ESOL	PDI	SAscore	PBF
2192	2-98	4.08746284125034	1.76258110027466	174	0.128462887662921	0.0165027135066964	0.496600083075464	-2.54339243389748	0.997642879113685	4.55287255013852	0.90320671223702
2193	2-32	3.16992500144231	-0.341977711662935	59	1.52748500737255	2.33321044774791	2.01810006797314	-3.0535034807633	0.928178433471371	4.94880183226562	0.983152971588176
2194	3-5	3.16992500144231	-0.175164081578565	74.65	-2.54750546450619	6.48978409168892	-0.166300025302917	-1.49589145123628	0.959336513404232	5.22982045240784	0.699684389901979
2195	3-26	3.90689059560852	-0.348919585539168	96.83	1.94380174025387	3.77836520541398	4.17020008713007	-4.22799255606815	0.952862391067447	4.68840919324251	0.642811216147499
2196	4-27	3.70043971814109	1.17441653496269	27.64	-0.553205286806407	0.306036089350559	2.01789996027946	-1.98724372017772	1.00003286599223	3.85471900773461	0.454960213720206
2197	3-9	3	0.921300623819741	36.84	-0.175333139516818	0.0307417098128241	2.23032004386187	-2.48992453244325	0.937959598880436	6.21607693733449	0.585137746122243
2198	2-50	2.32192809488736	1.62898294614036	129.92	1.43358124579156	2.05515518828528	-0.593499809503555	-2.22413617226129	0.848312527801766	5.98070181419473	0.843596986813579
2199	2-88	1.58496250072116	-0.812868286215308	53.99	2.96061376940766	8.76523389160622	3.61440005898476	-4.27661513230144	0.932765914088278	5.11147598844197	0.674342391173985
2200	2-16	3	1.73518619499196	57.07	-1.01111329570512	1.02235009675166	1.55032005906105	-1.99147121913512	0.912143374075419	6.32640446687467	0.489103048127923
2201	2-44	2.32192809488736	-0.772128217313609	91.34	1.65704787399894	2.74580765672442	1.07630009204149	-2.37923016281069	0.882274195979463	4.38181753183977	0.862853752333849
2202	2-80	2.58496250072116	0.230692338139381	93.06	2.29402402343086	5.26254622007793	1.67330011725426	-3.09649505121182	0.852899382990656	5.6917219069924	0.980528448722008
2203	4-29	0	1.18857427312708	40.11	-2.0537949544493	4.2180737149214	0.897900022566319	-1.02901830575774	0.912973838158766	4.15249148522579	0.533087119899236
2204	2-66	3.4594316186373	0.811132841785117	95.86	3.61919319383882	13.0985593743292	3.05140011012554	-4.90605103529748	0.912848790041257	6.30937627758795	0.934319719208121
2205	3-37	3.16992500144231	-0.172859378909926	90.44	0.223288440078966	0.0498577274728981	0.227420027833432	-1.9243227589104	0.917012074333569	4.65105294562017	0.865324169124285
2206	3-54	3.16992500144231	1.01510539106368	84.84	-1.56276462140836	2.44223326192562	0.254620045423508	-1.4158548499936	0.964416540685462	6.15707248803145	0.567133746561963
2207	4-20	2.8073549220576	1.18857427312708	40.11	-2.402987533815	5.77434908767029	0.69030000269413	-0.868952551134038	0.938465476405542	4.3187486630247	0.766153878490898
