No.	NAME	MW	AMW	Mv	Mp	Mi	nTA	RBN	RBF	nDB	nTB	nAB	nN	nO	nBR	nHM	nX	C%	O%	nCsp2	totalcharge
1433	2-21	473.65	6.67112676056337	0.585219718309858	0.620604225352112	1.13407042253521	8	5	0.0649350649350649	3	0	0	2	6	0	0	0	36.6197183098592	8.45070422535211	3	1
1434	2-37	313.38	7.46142857142857	0.633852380952381	0.658959523809524	1.12077857142857	5	1	0.0222222222222222	3	0	6	1	4	0	0	0	42.8571428571429	9.52380952380952	11	0
1435	3-2	403.49	8.23448979591836	0.648271428571429	0.673355102040817	1.11891224489796	4	5	0.0961538461538462	3	0	12	1	6	0	1	0	40.8163265306122	12.2448979591837	13	0
1436	2-44	319.41	6.94369565217391	0.6007	0.631056521739131	1.12656086956522	7	3	0.0625	4	0	0	0	5	0	0	0	39.1304347826087	10.8695652173913	4	-1
1437	2-52	283.37	7.08424999999999	0.628725	0.66492	1.114315	5	1	0.0232558139534884	2	0	6	0	3	0	0	0	45	7.5	9	-1
1438	2-74	470	7.70491803278688	0.636034426229507	0.668781967213114	1.11970655737705	7	3	0.0454545454545455	4	0	6	1	5	0	1	1	42.6229508196721	8.19672131147541	12	0
1439	3-37	300.36	8.34333333333333	0.630286111111112	0.651830555555556	1.12494444444444	4	3	0.0789473684210526	2	0	6	0	6	0	1	0	36.1111111111111	16.6666666666667	6	0
1440	3-26	425.6	7.46666666666666	0.626619298245613	0.669563157894736	1.12325438596491	5	6	0.1	3	0	11	3	3	0	1	0	40.3508771929825	5.26315789473684	13	0
1441	4-14	300.25	8.11486486486486	0.588848648648649	0.650040540540541	1.13491891891892	3	3	0.0789473684210526	0	0	6	2	1	1	1	1	35.1351351351351	2.7027027027027	6	1
1442	2-78	312.45	6.64787234042553	0.601429787234043	0.644591489361703	1.12728936170213	5	2	0.0408163265306122	4	1	0	2	2	0	0	0	40.4255319148936	4.25531914893617	6	0
1443	2-5	256.4	6.25365853658536	0.59189268292683	0.645241463414635	1.12359268292683	4	0	0	1	0	6	1	1	0	0	0	41.4634146341463	2.4390243902439	8	1
1444	2-83	473.62	6.86405797101449	0.593921739130433	0.625086956521738	1.13076086956522	6	4	0.0533333333333333	3	0	0	1	7	0	0	0	37.6811594202899	10.1449275362319	3	0
1445	4-45	324.39	7.54395348837209	0.597097674418605	0.608883720930233	1.1566	6	8	0.181818181818182	3	0	5	6	4	0	0	0	30.2325581395349	9.30232558139535	6	0
1446	3-26	425.6	7.46666666666666	0.626619298245613	0.669563157894736	1.12325438596491	5	6	0.1	3	0	11	3	3	0	1	0	40.3508771929825	5.26315789473684	13	0
1447	4-60	320.48	6.28392156862745	0.569325490196079	0.613198039215687	1.13769411764706	4	4	0.0740740740740741	0	0	6	2	3	0	0	0	35.2941176470588	5.88235294117647	6	2
1448	4-41	218.26	7.04064516129032	0.566012903225807	0.58028064516129	1.1503	3	4	0.125	1	0	0	1	5	0	0	0	29.0322580645161	16.1290322580645	1	1
1449	4-28	251.39	6.13146341463414	0.561068292682927	0.607685365853659	1.14085365853658	3	4	0.0952380952380952	0	0	6	2	2	0	0	0	34.1463414634146	4.8780487804878	6	1
1450	4-29	227.42	5.28883720930232	0.51959534883721	0.581009302325582	1.14874418604651	2	3	0.0681818181818182	0	0	0	2	1	0	0	0	30.2325581395349	2.32558139534884	0	1
1451	2-42	283.37	7.08424999999999	0.628725	0.66492	1.114315	5	1	0.0232558139534884	2	0	6	0	3	0	0	0	45	7.5	8	-1
1452	2-23	316.46	6.45836734693877	0.586751020408164	0.630340816326531	1.12890816326531	4	4	0.0769230769230769	1	0	6	1	3	0	0	0	38.7755102040816	6.12244897959184	7	1
1453	2-82	415.48	7.55418181818181	0.624483636363636	0.642254545454545	1.1263	6	3	0.0491803278688525	4	0	0	1	7	0	0	0	40	12.7272727272727	4	0
1454	2-65	447.53	7.33655737704917	0.608442622950819	0.627890163934426	1.13092295081967	9	5	0.0769230769230769	5	0	0	1	8	0	0	0	37.7049180327869	13.1147540983607	7	0
1455	3-30	357.45	7.29489795918367	0.616151020408164	0.641818367346939	1.13233673469388	6	2	0.0377358490566038	5	0	0	3	4	0	0	0	38.7755102040816	8.16326530612245	5	0
1456	4-43	354.42	7.54085106382978	0.593974468085107	0.604210638297873	1.15656170212766	7	9	0.1875	3	0	5	6	5	0	0	0	29.7872340425532	10.6382978723404	6	0
1457	2-63	471.61	7.03895522388059	0.600820895522387	0.629329850746268	1.13401940298507	8	8	0.114285714285714	5	0	5	3	6	0	0	0	37.3134328358209	8.95522388059701	8	0
1458	2-58	512.63	7.22014084507042	0.611718309859154	0.636687323943661	1.12710281690141	10	6	0.08	4	0	6	1	8	0	0	0	39.4366197183099	11.2676056338028	12	-1
1459	2-36	356.43	7.42562499999999	0.627641666666667	0.65151875	1.12301875	5	4	0.0784313725490196	4	0	6	1	5	0	0	0	41.6666666666667	10.4166666666667	12	1
1460	4-47	313.47	6.14647058823529	0.549290196078432	0.590358823529412	1.14587058823529	7	8	0.156862745098039	3	0	0	2	4	0	0	0	31.3725490196078	7.84313725490196	4	1
1461	3-44	277.35	7.11153846153845	0.60568717948718	0.632725641025641	1.13006923076923	2	4	0.0975609756097561	1	0	6	1	4	0	0	0	38.4615384615385	10.2564102564103	7	0
1462	3-50	256.4	6.25365853658536	0.59189268292683	0.645241463414635	1.12359268292683	4	0	0	1	0	6	1	1	0	0	0	41.4634146341463	2.4390243902439	7	1
1463	2-61	345.4	7.50869565217391	0.626526086956522	0.646123913043479	1.12208695652174	7	1	0.02	4	0	0	0	6	0	0	0	41.304347826087	13.0434782608696	6	-1
1464	2-76	279.41	6.65261904761904	0.619147619047619	0.668433333333334	1.11570714285714	4	1	0.0222222222222222	1	1	6	1	1	0	0	0	45.2380952380952	2.38095238095238	8	0
1465	3-26	425.6	7.46666666666666	0.626619298245613	0.669563157894736	1.12325438596491	5	6	0.1	3	0	11	3	3	0	1	0	40.3508771929825	5.26315789473684	13	0
1466	3-46	292.49	5.73509803921568	0.550776470588236	0.606960784313726	1.13602941176471	4	2	0.037037037037037	1	0	0	1	2	0	0	0	35.2941176470588	3.92156862745098	1	1
1467	2-37	313.38	7.46142857142857	0.633852380952381	0.658959523809524	1.12077857142857	5	1	0.0222222222222222	3	0	6	1	4	0	0	0	42.8571428571429	9.52380952380952	11	0
1468	3-15	272.42	6.19136363636363	0.585254545454546	0.637404545454546	1.12275454545455	4	1	0.0212765957446809	0	0	6	0	2	0	0	0	40.9090909090909	4.54545454545455	6	0
1469	3-17	270.43	6.14613636363636	0.586236363636364	0.641279545454546	1.12460227272727	4	1	0.0212765957446809	1	0	6	1	1	0	0	0	40.9090909090909	2.27272727272727	8	1
1470	2-42	283.37	7.08424999999999	0.628725	0.66492	1.114315	5	1	0.0232558139534884	2	0	6	0	3	0	0	0	45	7.5	8	-1
1471	2-76	279.41	6.65261904761904	0.619147619047619	0.668433333333334	1.11570714285714	4	1	0.0222222222222222	1	1	6	1	1	0	0	0	45.2380952380952	2.38095238095238	8	0
1472	3-26	425.6	7.46666666666666	0.626619298245613	0.669563157894736	1.12325438596491	5	6	0.1	3	0	11	3	3	0	1	0	40.3508771929825	5.26315789473684	13	0
1473	3-40	314.42	7.66878048780487	0.604563414634147	0.638029268292683	1.13194390243902	4	4	0.0930232558139535	2	0	6	1	5	0	1	0	34.1463414634146	12.1951219512195	6	1
1474	2-43	344.39	7.65311111111111	0.634595555555556	0.652022222222223	1.12018666666667	8	2	0.0416666666666667	5	0	0	0	6	0	0	0	42.2222222222222	13.3333333333333	8	-2
1475	2-60	390.5	6.97321428571428	0.596821428571429	0.625207142857143	1.13142678571429	8	6	0.103448275862069	5	0	0	1	6	0	0	0	37.5	10.7142857142857	5	-1
1476	2-79	493.6	7.36716417910447	0.625776119402984	0.650868656716417	1.12227014925373	6	4	0.0547945205479452	4	0	6	1	7	0	0	0	41.7910447761194	10.4477611940299	12	0
1477	2-57	301.49	5.91156862745097	0.569964705882353	0.626456862745099	1.12625882352941	6	2	0.0377358490566038	3	0	0	0	2	0	0	0	39.2156862745098	3.92156862745098	5	-1
1478	2-20	379.28	9.98105263157894	0.639092105263158	0.677634210526316	1.12726578947368	4	4	0.1	2	0	6	1	5	1	2	1	34.2105263157895	13.1578947368421	6	1
1479	3-37	300.36	8.34333333333333	0.630286111111112	0.651830555555556	1.12494444444444	4	3	0.0789473684210526	2	0	6	0	6	0	1	0	36.1111111111111	16.6666666666667	6	0
1480	2-73	312.45	6.64787234042553	0.601429787234043	0.644591489361703	1.12728936170213	5	2	0.0408163265306122	4	1	0	2	2	0	0	0	40.4255319148936	4.25531914893617	6	0
1481	4-14	300.25	8.11486486486486	0.588848648648649	0.650040540540541	1.13491891891892	3	3	0.0789473684210526	0	0	6	2	1	1	1	1	35.1351351351351	2.7027027027027	6	1
1482	3-44	277.35	7.11153846153845	0.60568717948718	0.632725641025641	1.13006923076923	2	4	0.0975609756097561	1	0	6	1	4	0	0	0	38.4615384615385	10.2564102564103	7	0
1483	2-42	283.37	7.08424999999999	0.628725	0.66492	1.114315	5	1	0.0232558139534884	2	0	6	0	3	0	0	0	45	7.5	8	-1
1484	2-64	384.47	7.39365384615384	0.6233	0.647294230769231	1.12713076923077	7	2	0.0357142857142857	4	1	0	2	5	0	0	0	40.3846153846154	9.61538461538462	6	0
1485	4-6	286.43	6.3651111111111	0.589093333333334	0.637128888888889	1.12648666666667	4	2	0.0416666666666667	1	0	6	1	2	0	0	0	40	4.44444444444444	7	1
1486	3-31	360.44	7.20879999999999	0.612208	0.637276	1.124776	7	2	0.037037037037037	4	0	0	0	6	0	0	0	40	12	6	0
1487	Chloramphenicol	323.15	10.0984375	0.66976875	0.674003125	1.1382125	7	5	0.15625	3	0	6	2	5	0	2	2	34.375	15.625	7	0
1488	2-61	345.4	7.50869565217391	0.626526086956522	0.646123913043479	1.12208695652174	7	1	0.02	4	0	0	0	6	0	0	0	41.304347826087	13.0434782608696	6	-1
1489	2-65	447.53	7.33655737704917	0.608442622950819	0.627890163934426	1.13092295081967	9	5	0.0769230769230769	5	0	0	1	8	0	0	0	37.7049180327869	13.1147540983607	7	0
1490	3-2	403.49	8.23448979591836	0.648271428571429	0.673355102040817	1.11891224489796	4	5	0.0961538461538462	3	0	12	1	6	0	1	0	40.8163265306122	12.2448979591837	13	0
1491	2-92	390.47	7.23092592592592	0.60837037037037	0.631105555555556	1.1271	7	4	0.0689655172413793	4	0	0	0	7	0	0	0	38.8888888888889	12.962962962963	6	0
1492	4-17	182.26	7.01	0.650723076923077	0.699746153846154	1.10699615384615	1	0	0	0	0	12	1	0	0	0	0	50	0	12	1
1493	2-33	313.38	7.46142857142857	0.633852380952381	0.658959523809524	1.12077857142857	5	1	0.0222222222222222	6	0	0	1	4	0	0	0	42.8571428571429	9.52380952380952	10	0
