No.	NAME	G(N..N)	G(N..S)	G(O..I)	G(F..F)
58	2-11	6.4656229019165	0	0	0
59	2-4	5.78826189041138	0	0	0
60	4-11	0	0	0	0
61	4-54	2.94396138191223	0	0	0
62	2-15	0	0	0	0
63	4-48	62.1905326843262	0	0	0
64	4-35	0	0	0	0
65	2-26	6.27573013305664	0	0	0
66	4-60	5.30381345748901	0	0	0
67	4-11	0	0	0	0
68	4-28a	31.6566200256348	0	0	0
69	3-33	0	0	0	0
70	2-99	0	0	0	0
71	4-53	25.7830028533936	0	0	0
72	4-37	0	0	0	0
73	2-8	10.7995500564575	13.3279314041138	0	0
74	3-33	0	0	0	0
75	2-17	0	0	0	0
76	3-33	0	0	0	0
77	4-11	0	0	0	0
78	4-15	0	0	0	0
79	4-36	38.1354103088379	0	0	126.903923034668
80	4-2	6.59884071350098	0	0	0
81	2-99	0	0	0	0
82	2-8	8.25021362304688	12.8824939727783	0	0
83	4-11	0	0	0	0
84	4-30	0	0	0	0
85	4-11	0	0	0	0
86	Ciprofloxacin	15.2529191970825	0	0	0
87	4-3	0	0	0	0
88	2-2	0	6.73372650146484	0	0
89	2-8	10.9418449401855	13.0046081542969	0	0
90	4-54	2.93725252151489	0	0	0
91	4-53	26.2775497436523	0	0	0
92	3-33	0	0	0	0
93	2-41	16.0187187194824	0	0	0
94	4-4	0	0	0	0
95	2-8	12.0804347991943	12.5643711090088	0	0
96	4-43	73.5693359375	0	0	0
97	4-36	39.7331199645996	0	0	125.644599914551
98	2-53	0	0	0	0
99	2-3	0	0	0	0
100	2-26	6.68290233612061	0	0	0
101	4-43	69.6835327148438	0	0	0
102	4-11	0	0	0	0
103	3-39	0	7.39599514007568	0	0
104	4-36	42.1732025146484	0	0	146.139450073242
105	2-15	0	0	0	0
106	3-33	0	0	0	0
107	4-4	0	0	0	0
108	4-53	27.0874862670898	0	0	0
109	2-8	12.1596641540527	12.827431678772	0	0
110	4-15	0	0	0	0
111	4-54	3.75076746940613	0	0	0
112	2-11	6.50364542007446	0	0	0
113	4-28a	30.8805274963379	0	0	0
114	4-54	2.86798477172852	0	0	0
115	4-15	0	0	0	0
116	3-38	0	7.21200180053711	0	0
117	4-28a	29.6427516937256	0	0	0
118	3-9	0	0	0	0
119	4-48	62.6795845031738	0	0	0
120	2-34	5.79466581344604	0	0	0
121	2-3	0	0	0	0
122	2-20	0	7.33059883117676	0	0
123	2-9	0	0	0	0
124	4-18	0	0	0	0
125	2-11	6.51616477966309	0	0	0
126	2-11	6.56743478775024	0	0	0
127	2-5	0	0	0	0
128	4-9	0	0	0	0
129	4-43	71.6974334716797	0	0	0
130	2-15	0	0	0	0
131	4-4	0	0	0	0
132	3-33	0	0	0	0
133	4-53	25.967960357666	0	0	0
134	3-33	0	0	0	0
135	4-15	0	0	0	0
136	4-11	0	0	0	0
137	2-6	5.90687799453735	0	0	0
138	2-9	0	0	0	0
139	3-33	0	0	0	0
140	4-28a	31.5229454040527	0	0	0
141	2-7	19.8025417327881	15.7395648956299	0	0
142	2-11	6.55638742446899	0	0	0
143	2-18	19.2209548950195	15.5690135955811	0	0
144	3-38	0	7.31860303878784	0	0
145	4-15	0	0	0	0
146	2-1	0	6.56395292282104	0	0
147	4-2	6.58023071289063	0	0	0
148	4-55	0	0	0	0
149	4-53	25.856969833374	0	0	0
150	2-3	0	0	0	0
151	2-15	0	0	0	0
