No.	NAME	WiA_G	J_G	VE1sign_G	VE3sign_G	SpPosA_RG	VE1_RG	VE2_RG	VE3_RG	VE1sign_RG	VE2sign_RG	VE3sign_RG	Chi_G/D	J_G/D	SpMaxA_G/D	VE1sign_G/D	VE3sign_G/D	AVS_Coulomb	H_Coulomb	Chi_Coulomb	ChiA_Coulomb	SpMAD_Coulomb	VE1_Coulomb	VE2_Coulomb	VE1sign_Coulomb	VE3sign_Coulomb
1113	2-4	4.59929133910838	2.56190244295838	0.173415367386357	-3.65237961450834	0.457714496777503	2.47340512135935	0.051529273361653	1.88781722731461	0.162723412901198	0.0033900711021083	-3.7850397868444	1.05569346157241	10.7680733080385	0.973980636357027	0.060023501688125	-5.86405762575504	152.123542464505	3146.0858840707	0.328040112967681	0.00643215907779766	22.2791889832332	3.94326469089356	0.0821513477269491	0.655153372363681	-0.88155369183296
1114	2-21	6.07887393997231	1.84309476893772	0.206884404843409	-4.85833294418341	0.444530861059274	2.88064897188292	0.0405725207307453	3.26238141080477	0.107322167335905	0.00151157982163247	-6.88210501488797	1.07960370169251	10.3911856287904	0.972024829296039	0.0542649816498793	-8.98491041054881	234.471377370012	7256.12462271067	0.353749166028485	0.00459414501335694	27.7889642336708	4.95704163435902	0.0698174878078736	1.64681778880754	1.53818340193709
1115	2-33	4.46967249854687	2.35903003525747	0.293158330342152	-2.23817059392551	0.434554465689983	2.74540555571714	0.0653667989456463	1.84214733445399	0.0534853194809965	0.00127345998764277	-5.3414147039571	1.089157331311	9.80241598179903	0.958782312435828	0.00922100702256651	-8.5479309183492	209.665544932882	2210.34118186326	0.237217362084901	0.00527149693522002	30.2582433183816	5.60454210913838	0.133441478789009	0.247848028453262	-2.5444210319217
1116	3-37	5.02206303448339	2.15611256124952	0.324766952061037	-1.7583414138942	0.423822207762558	2.25672440902035	0.0626867891394543	1.27252269472763	0.289680717495893	0.00804668659710814	-1.93708948502561	1.06596306341692	10.1266491024608	0.968783882281343	0.154482379384611	-2.92003578014903	231.457121306002	2284.06350387917	0.208818295145802	0.00549521829331057	45.9057517045836	3.59605335987824	0.0998903711077289	0.974728536504129	-0.0400187490745367
1117	2-67	4.60477618213694	2.45719092759815	0.0539637278303829	-5.83233106115003	0.435817125808399	3.46133409844402	0.0752463934444352	2.48052019538227	0.0595367960495263	0.0012942781749897	-5.63598688609768	1.03935761824065	10.1857046587584	0.990566043213266	0.0826967906399101	-4.97955218493793	177.449167122471	2698.37207897097	0.28503250399671	0.00581698987748388	26.4067528594799	5.62149449559673	0.12220640207819	0.591695237308518	-1.04834886164886
1118	2-71	5.10841869127416	2.22921306334573	0.139884569587592	-4.6982660400523	0.450015443044493	3.32603371261957	0.0604733402294468	2.87059655798898	0.178043509105873	0.00323715471101587	-4.12210620075184	1.06423699358256	10.4649971035618	0.975902989954741	0.156501166014629	-4.43015332312835	224.173397053529	3914.53788732278	0.282471758780902	0.00478765692848986	29.7400803750985	4.14705085687056	0.0754009246703739	0.160602190504706	-4.36836694544485
1119	2-21	6.14562771379665	1.82493713816803	0.234029394867216	-4.47818009140186	0.445177344779644	2.8952023817448	0.0407774983344338	3.27792038435277	0.115295419920457	0.00162387915380925	-6.6611344066182	1.07299759664339	10.3276018676927	0.978019136050187	0.0868963420244106	-7.53308938665703	233.87657974935	7327.1835162068	0.354144438585432	0.00459927842318742	27.7993398155305	4.95177813592868	0.0697433540271645	1.67249983199787	1.58589918798725
1120	4-30	4.46903439695947	2.23550015729983	0.00713648487416615	-10.088623556697	0.45351023385153	2.3147805668392	0.0492506503582808	1.71319619017217	0.198732383726124	0.00422834858991752	-3.29813738361861	1.07367917228816	9.12627296444933	0.979067797081484	0.0400488496266163	-6.56782678467506	197.875960605439	2775.82262658094	0.268022719243015	0.00525534743613756	28.1015937378453	3.28086209535403	0.0698055764968943	0.906046404233695	-0.201392926595872
1121	2-85	5.24134547270266	2.22357420732382	0.422391345633807	-2.09599593634119	0.443865401377879	2.57344939717248	0.0459544535209371	2.29888754453938	0.207232017437287	0.00370057173995155	-3.82784161231122	1.07713408644624	10.7713408644624	0.965577256757769	0.155559122949932	-4.5253852789127	230.24475027958	4054.17000806888	0.284718452537069	0.00474530754228448	29.946915771308	3.51869840427312	0.0628339000763057	0.684428286251768	-0.922163480621944
1122	2-21	6.12324939267017	1.83269525326301	0.216578326482161	-4.71713354570413	0.444461024105901	3.04942296787743	0.0429496192658793	3.43794543589135	0.105728778142042	0.00148913772031045	-6.92822818558423	1.07522983999941	10.3490872099944	0.975692848340074	0.00993342054549753	-14.2205983614144	234.114428648032	7303.13658627803	0.354746656649374	0.00460709943700486	27.7869697613365	5.05743363871048	0.0712314597001476	1.62109215249612	1.48963469431981
