No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-33	MDEC-34	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
1422	3-6	1.5	2.55766184907147	3.8429244989991	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.5	1.62865056995694	1	0	0	0	0	0	0
1423	3-12	0.409913824879798	5.04476841513284	5.56031000922826	1.44903706451064	8.60305539267674	19.3695597342448	8.0069056672272	5.55724857085938	0.5	0.125	0	0	0	0	0	0	0	0
1424	2-19	0.0833333333333333	3.71894404440677	2.57616680022177	0	12.5285232205602	22.4821858817173	6.88903153874512	0	0	0	0.166666666666667	0	0	0	0	0.1	0	0
1425	2-83	0	1.59900364464442	2.96021887816492	1.37317809593808	12.5532300436627	22.5000178411409	14.0903740723012	15.1669883595736	2.14426131671523	1.54940988842204	1.97838846515961	0.333333333333333	0	0	0	0	0	0
1426	2-49	0.142857142857143	2.44759467598226	4.91150083001104	1.94416129723967	3.70107172487153	15.1375531189574	13.50387595166	10.8766256916757	0.96548938460563	1.82886754778313	1.12580003210051	0	0	0	0	0	0	0
1427	4-9	0.440911138308369	5.10130669929304	5.46782795582305	1.66881793499701	8.60305539267674	19.4780398862142	7.72895779868829	6.01090566830418	0.5	0	0.5	0	0	0	0	0	0	0
1428	2-58	0.633660770955286	5.80823271390073	8.3134587878218	2.16926644528467	7.74137519147092	25.927144793149	16.9488918770321	11.1198207157523	0.96548938460563	2.79301312770149	1.1652149760159	0.25	0	0	0	0	0	0
1429	4-18	0	0	0	0	14.6771812489999	12.7990193553713	1.31037069710445	0	0	0	0	0	0	0	0	0	0	0
1430	3-44	0	0.93849401282112	1.55976946957855	0	8.60681529996079	11.6881611976676	5.43134754625618	0	0	0	0.536342121057941	1	0	0	0	0	0	0
1431	3-40	0.5	1.8663350505888	2.53247842056059	0	6.27936039071812	9.14706853037803	4.32963838586645	0	0	0.5	1.62865056995694	1	0	0	0	0	0	0
1432	2-73	0.166666666666667	4.34711119353191	4.42866985009164	0.894427190999916	9.56327759223555	20.5095751555452	8.14406058396986	3.44160117363098	0	0.142857142857143	0	0	0	0.1	0	0	0	0
1433	2-21	1.34164078649987	4.60393687537879	6.10021967210825	4.72954851385505	5.63064303625454	17.3265623026302	14.6813081123072	15.7439429724323	2.75072989663584	0.972080648619833	1.77172788170425	0.333333333333333	0	0	0	0.142857142857143	0	0
1434	2-37	0.111111111111111	3.20268185643239	2.567088781241	0.977846044869802	8.86484521170205	17.6492446555955	5.95723766213689	5.14491648684813	0.5	0.598408480588576	0.543690186501446	0	0	0	0	0	0	0
1435	3-2	0	1.03055099418103	1.54928489231522	0	13.502368714452	18.1658844315024	6.91825418040149	0	0	0.550321208149105	2.12552966082634	1	0	0	0	0	0	0
1436	2-44	0.166666666666667	3.68475883625054	4.16021101671079	1.78885438199983	6.00548489614577	16.9383582772194	7.12720672611749	6.27570026730508	0.25	1.64113437701399	0	0	0	0	0	0	0	0
1437	2-52	0.142857142857143	3.41352328042096	4.20247194188347	1.15470053837925	6.86904149793305	17.4922971516498	9.56307385775422	6.01090566830418	0.5	0.721124785153704	0	0	0	0	0	0	0	0
1438	2-74	0.142857142857143	3.37848715201892	5.15974396670688	1.94416129723967	9.8231401345218	25.6892378222577	15.4070467868844	11.0452795449223	0.96548938460563	0.972080648619833	0.970983543414647	0	0	0	0	0	0	0
1439	3-37	0	1.59069104351073	1.15010148027255	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.650697636830499	2.47174315580058	1	0	0	0	0	0	0
1440	3-26	0.299204240294288	4.68000419916169	4.94995383159115	0	9.89909768066141	26.753345202498	12.5303274224459	0	0	0.1	0.196116135138184	0	0	0	0	0.1	0.333333333333333	0
1441	4-14	0	2.03253099261846	1.63299316185545	0	7.8177807980326	11.0860935838289	2.70159996940481	0	0	0	0	0	0	0	0.333333333333333	0	0	0
1442	2-78	0.166666666666667	4.34711119353191	4.42866985009164	0.894427190999916	9.56327759223555	20.4753038303256	7.98832448736715	3.44160117363098	0	0.142857142857143	0	0	0	0.1	0	0	0	0
1443	2-5	0.142857142857143	3.41352328042096	3.78332221342812	1.15470053837925	6.86904149793305	15.8617274019146	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1444	2-83	0	1.59900364464442	2.96021887816492	1.37317809593808	12.5532300436627	22.5000178411409	14.0903740723012	15.1669883595736	2.14426131671523	1.54940988842204	1.97838846515961	0.333333333333333	0	0	0	0	0	0
1445	4-45	0.5	1.14297617187952	2.72269219270058	0	2.40685194967073	6.44023618584149	4.92165285270719	0	0	0.0909090909090909	0.829777303051304	0.333333333333333	0.0833333333333333	1.11716171337508	0.353553390593274	1.14471424255333	1.19055078897615	0
1446	3-26	0.299204240294288	4.68000419916169	4.94995383159115	0	9.89909768066141	26.753345202498	12.5303274224459	0	0	0.1	0.196116135138184	0	0	0	0	0.1	0.333333333333333	0
1447	4-60	0.111111111111111	3.37259334168693	3.29121709284053	0.447213595499958	7.71668196352881	19.9085901638632	9.38020245364637	4.44554494612844	0	0	0.288675134594813	0.333333333333333	0	0	0.166666666666667	0	0	0
1448	4-41	0	0.572357121276666	0.985603299839201	0	0.766309432393553	6.33248632199283	4.32963838586645	0	0	0	1.04338972004886	1.5874010519682	0	0	0	0	0	0
1449	4-28	0.125	3.36833755931359	2.40240383850052	0	7.8177807980326	11.0860935838289	2.70159996940481	0	0	0	0	0.1	0	0	0.333333333333333	0	0	0
1450	4-29	0	2.18195318288379	1.65096362444731	0	10.2685752228589	9.36860287643777	2.3811015779523	0	0	0	0	0	0	0	0.333333333333333	0	0	0
1451	2-42	0.142857142857143	3.58678224809964	3.99947217775362	1.37317809593808	6.86904149793305	17.4922971516498	9.56307385775422	6.01090566830418	0.5	0.721124785153704	0	0	0	0	0	0	0	0
1452	2-23	0	2.19912957914906	2.18224727194344	0.408248290463863	11.8243366769017	19.959163454774	7.13593705309337	5.32172711454192	0.5	0.454280148208035	0	0	0	0	0	0	0	0
1453	2-82	0	1.18083747676479	3.00620437761321	1.37317809593808	5.63064303625454	17.3265623026302	14.6813081123072	15.4509375013744	2.14426131671523	1.54940988842204	1.97838846515961	0.333333333333333	0	0	0	0	0	0
