No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
1689	4-27	-1.966	-1.819	-1.603	-1.423	-1.352	-1.14	-0.921	-0.855	-0.325	0.386	0.424	-0.426	-0.225	-0.156	-0.117	-0.09	-0.063	0.06	0.227	0.252	-0.493	-0.16	-0.144	-0.113	-0.107	-0.095	0.562	0.698
1690	Chloramphenicol	-2.065	-1.752	-1.361	-1.141	-0.978	-0.815	-0.452	0.471	0.585	0.847	1.324	-0.283	-0.249	-0.161	-0.11	-0.076	0.034	0.085	0.114	0.197	-0.421	-0.245	-0.207	-0.12	-0.099	-0.083	0.236	0.362
1691	3-40	-2.864	-2.346	-1.47	-1.274	-0.896	-0.319	0.564	0.72	0.779	1.102	2.257	-0.321	-0.281	-0.176	-0.138	0.129	0.168	0.206	0.24	0.363	-0.573	-0.358	-0.138	-0.111	-0.089	-0.039	0.369	0.483
1692	2-85	-2.977	-1.646	-1.517	-1.368	-1.155	-0.788	-0.392	0.37	0.658	0.884	1.141	-0.213	-0.155	-0.086	-0.076	-0.026	0.114	0.122	0.141	0.182	-0.397	-0.207	-0.102	-0.082	-0.051	-0.029	0.343	0.478
1693	2-68	-1.893	-1.38	-1.155	-0.959	-0.703	-0.604	-0.153	0.456	0.763	1.07	1.334	-0.137	-0.119	-0.096	-0.086	0.001	0.085	0.106	0.13	0.155	-0.252	-0.174	-0.14	-0.103	-0.083	-0.056	0.219	0.554
1694	3-48	-2.318	-1.769	-1.34	-1.009	-0.864	-0.776	-0.575	0.355	0.464	0.863	1.399	-0.196	-0.172	-0.118	-0.089	-0.049	0.08	0.115	0.13	0.21	-0.474	-0.186	-0.154	-0.14	-0.103	-0.041	0.284	0.489
1695	2-84	-1.873	-1.604	-1.207	-1.001	-0.952	-0.708	-0.513	0.413	0.825	0.94	1.118	-0.272	-0.17	-0.103	-0.063	-0.026	0.084	0.116	0.143	0.233	-0.246	-0.168	-0.128	-0.102	-0.08	-0.039	0.272	0.46
1696	2-82	-2.538	-1.6	-1.198	-1.085	-0.828	-0.402	0.446	0.561	0.739	0.868	1.773	-0.249	-0.105	-0.09	-0.06	0.049	0.086	0.125	0.158	0.213	-0.329	-0.169	-0.092	-0.061	-0.043	-0.035	0.268	0.683
1697	2-86	-3.372	-1.416	-1.336	-1.018	-0.719	0.013	0.58	0.703	1.056	1.233	1.873	-0.277	-0.157	-0.074	-0.04	0.049	0.068	0.109	0.12	0.185	-0.376	-0.132	-0.114	-0.065	-0.051	0.004	0.168	0.316
1698	2-75	-1.776	-1.581	-1.295	-1.139	-0.891	-0.676	-0.549	0.283	0.67	0.867	1.222	-0.177	-0.134	-0.091	-0.088	-0.033	0.093	0.122	0.149	0.194	-0.26	-0.213	-0.105	-0.098	-0.075	-0.046	0.184	0.707
1699	2-73	-2.294	-1.794	-1.439	-1.163	-1.019	-0.748	-0.656	0.332	0.603	1.078	1.956	-0.365	-0.263	-0.116	-0.097	-0.045	0.073	0.137	0.203	0.368	-0.451	-0.277	-0.165	-0.133	-0.085	-0.051	0.256	0.711
1700	3-36	-5.055	-2.386	-1.493	-1.232	-1.136	-0.707	0.481	0.555	0.757	0.921	1.415	-0.257	-0.178	-0.087	-0.078	0.055	0.074	0.105	0.18	0.227	-0.609	-0.123	-0.09	-0.071	-0.054	-0.029	0.32	0.391
1701	2-33	-2.473	-1.754	-1.427	-1.17	-0.937	-0.644	0.456	0.608	0.818	1.102	1.787	-0.231	-0.161	-0.132	-0.088	0.14	0.162	0.19	0.209	0.258	-0.275	-0.141	-0.099	-0.078	-0.067	-0.049	0.356	0.462
