No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
282	2-2	-3.629	-2.226	-1.372	-1.255	-1.155	-0.598	0.442	0.608	0.669	1.34	1.902	-0.378	-0.286	-0.117	-0.063	0.111	0.138	0.163	0.241	0.3	-0.834	-0.273	-0.141	-0.093	-0.034	-0.016	0.425	0.655
283	2-30	-3.312	-1.32	-1.019	-0.885	-0.565	-0.026	0.446	0.643	0.863	1.075	1.449	-0.134	-0.109	-0.07	-0.048	0.084	0.106	0.113	0.195	0.228	-0.254	-0.199	-0.099	-0.077	-0.041	0.03	0.236	0.729
284	2-72	-2.013	-1.664	-1.492	-1.226	-1.026	-0.658	-0.251	0.386	0.692	0.928	1.52	-0.241	-0.168	-0.099	-0.078	-0.02	0.081	0.11	0.119	0.202	-0.385	-0.282	-0.108	-0.079	-0.061	-0.05	0.233	0.634
285	2-59	-1.869	-1.532	-1.381	-0.987	-0.831	-0.703	-0.6	0.269	0.392	0.964	1.757	-0.292	-0.151	-0.068	-0.055	-0.026	0.03	0.082	0.113	0.156	-0.204	-0.191	-0.124	-0.09	-0.063	-0.037	0.154	0.513
286	4-14	-3.946	-2.351	-1.772	-1.196	-0.962	-0.379	0.494	0.661	1.206	1.382	1.925	-0.366	-0.236	-0.161	-0.087	0.116	0.13	0.152	0.172	0.304	-0.495	-0.257	-0.128	-0.091	-0.069	-0.014	0.256	0.64
287	4-44	-3.131	-2.04	-1.586	-1.216	-1.131	-1.025	-0.481	0.267	0.643	0.948	2.241	-0.213	-0.145	-0.085	-0.063	-0.045	0.019	0.057	0.078	0.151	-0.374	-0.18	-0.111	-0.078	-0.048	-0.033	0.18	0.325
288	2-7	-1.513	-1.378	-1.139	-1.003	-0.704	-0.539	0.036	0.61	0.706	0.89	1.92	-0.166	-0.15	-0.075	-0.057	0.009	0.05	0.078	0.106	0.165	-0.37	-0.189	-0.142	-0.086	-0.048	-0.033	0.176	0.352
289	4-18	-1.843	-1.661	-1.373	-1.234	-1.059	-1.01	-1	-0.776	-0.356	0.355	1.179	-0.446	-0.105	-0.096	-0.091	-0.075	-0.067	-0.04	0.019	0.074	-0.545	-0.279	-0.139	-0.101	-0.094	-0.068	0.019	0.116
290	4-57	-2.183	-1.645	-1.287	-1.114	-0.955	-0.794	-0.413	0.487	0.88	1.064	1.394	-0.254	-0.189	-0.11	-0.09	-0.049	0.066	0.101	0.142	0.204	-0.47	-0.2	-0.153	-0.129	-0.07	-0.055	0.181	0.615
291	4-43	-1.996	-1.788	-1.475	-0.967	-0.68	-0.478	0.439	0.655	0.783	0.975	1.245	-0.217	-0.182	-0.091	-0.083	0.062	0.088	0.11	0.158	0.186	-0.418	-0.277	-0.146	-0.08	-0.049	-0.045	0.267	0.349
292	2-30	-3.155	-1.369	-0.948	-0.781	-0.641	-0.012	0.454	0.835	1.077	1.382	1.863	-0.301	-0.129	-0.048	-0.036	0.044	0.05	0.086	0.165	0.366	-0.427	-0.162	-0.134	-0.06	-0.027	0.014	0.143	0.313
293	3-39	-3.397	-2.402	-1.537	-1.185	-0.98	-0.68	0.391	0.614	0.726	0.851	1.528	-0.219	-0.178	-0.113	-0.062	0.045	0.116	0.18	0.226	0.284	-0.453	-0.158	-0.095	-0.072	-0.035	-0.017	0.393	0.797
294	2-1	-2.544	-2.174	-1.662	-1.439	-1.233	-0.85	-0.657	0.339	0.668	0.888	1.079	-0.294	-0.215	-0.1	-0.079	-0.031	0.025	0.134	0.203	0.253	-0.713	-0.243	-0.121	-0.082	-0.056	-0.038	0.256	0.457
295	2-25	-3.273	-1.568	-1.411	-1.245	-1.097	-0.85	-0.603	0.296	0.674	0.767	1.27	-0.206	-0.139	-0.104	-0.078	-0.033	0.118	0.146	0.162	0.267	-0.231	-0.151	-0.106	-0.084	-0.055	-0.039	0.281	0.51
296	4-48	-4.384	-2.96	-2.229	-1.736	-0.798	-0.614	-0.387	0.339	0.389	0.804	3.553	-0.271	-0.117	-0.058	-0.042	-0.026	0.026	0.033	0.042	0.208	-0.172	-0.087	-0.076	-0.062	-0.03	-0.022	0.098	0.168
297	2-16	-4.167	-1.487	-1.265	-1.204	-1.103	-0.879	-0.706	-0.419	0.451	0.579	0.946	-0.338	-0.207	-0.111	-0.097	-0.071	-0.054	0.113	0.137	0.268	-0.939	-0.186	-0.161	-0.117	-0.087	-0.075	0.273	0.517
298	4-58	-2.446	-1.8	-1.33	-0.941	-0.82	-0.092	0.363	0.562	0.725	0.993	1.646	-0.107	-0.063	-0.046	-0.032	0.048	0.054	0.074	0.082	0.108	-0.211	-0.085	-0.048	-0.03	-0.02	0.007	0.193	0.362
299	2-12	-3.077	-1.316	-0.995	-0.849	-0.574	-0.002	0.433	0.606	0.822	1.026	1.425	-0.137	-0.106	-0.07	-0.059	0.071	0.104	0.166	0.187	0.302	-0.247	-0.205	-0.109	-0.075	-0.041	0.024	0.357	0.651
300	3-38	-3.291	-2.258	-1.719	-1.245	-1.144	-0.91	0.192	0.552	0.671	0.786	1.256	-0.261	-0.24	-0.147	-0.095	0.084	0.153	0.21	0.236	0.328	-0.622	-0.208	-0.155	-0.087	-0.06	-0.028	0.513	0.791
301	3-17	-2.659	-1.573	-1.284	-1.087	-0.95	-0.87	-0.822	-0.623	0.29	0.483	1.736	-0.257	-0.199	-0.124	-0.104	-0.07	-0.057	0.071	0.16	0.337	-0.304	-0.221	-0.201	-0.122	-0.106	-0.087	0.266	1.061
302	4-35	-3.385	-1.933	-1.549	-1.419	-1.202	-0.923	-0.601	-0.445	0.496	0.592	0.783	-0.272	-0.216	-0.151	-0.121	-0.061	-0.04	0.069	0.127	0.2	-0.455	-0.357	-0.118	-0.11	-0.086	-0.048	0.17	0.385
303	2-15	-2.587	-1.963	-1.561	-0.881	-0.725	-0.335	0.472	0.548	0.631	1.181	2.965	-0.348	-0.111	-0.09	-0.059	0.048	0.062	0.072	0.086	0.101	-0.461	-0.237	-0.107	-0.049	-0.038	-0.019	0.135	0.261
304	4-28a	-4.317	-1.858	-1.636	-1.138	-0.577	-0.337	0.339	0.451	0.709	1.04	1.33	-0.233	-0.216	-0.109	-0.092	0.056	0.085	0.098	0.12	0.18	-0.37	-0.176	-0.131	-0.107	-0.065	-0.021	0.324	0.541
305	2-1	-2.756	-2.112	-1.692	-1.327	-1.184	-1.055	-0.753	0.308	0.517	0.713	1.759	-0.226	-0.2	-0.112	-0.09	-0.049	0.037	0.107	0.16	0.224	-0.642	-0.168	-0.107	-0.098	-0.069	-0.045	0.307	0.341
306	Ciprofloxacin	-4.519	-1.349	-1.002	-0.696	-0.599	0.297	0.418	0.52	1.013	1.835	4.431	-0.322	-0.238	-0.056	-0.046	0.067	0.071	0.098	0.224	0.309	-0.235	-0.16	-0.096	-0.068	-0.053	0.058	0.18	0.352
307	4-33	-1.944	-1.142	-0.91	-0.568	-0.072	0.347	0.486	0.664	0.868	1.319	2.772	-0.174	-0.094	-0.052	0	0.077	0.09	0.108	0.169	0.223	-0.148	-0.108	-0.09	-0.056	-0.004	0.047	0.271	0.599
308	4-54	-2.547	-2.033	-1.601	-1.331	-1.177	-1.019	-0.738	-0.556	-0.38	0.554	0.996	-0.347	-0.158	-0.135	-0.121	-0.089	-0.059	-0.051	0.114	0.204	-0.414	-0.268	-0.19	-0.116	-0.102	-0.08	0.19	0.249
309	2-1	-2.776	-2.093	-1.534	-1.255	-1.018	-0.898	-0.793	0.274	0.569	0.734	1.348	-0.169	-0.142	-0.114	-0.085	-0.046	0.062	0.102	0.174	0.191	-0.449	-0.141	-0.124	-0.107	-0.06	-0.043	0.303	0.44
310	4-15	-3.053	-1.952	-1.693	-1.099	-1.048	-1.003	-0.854	-0.718	-0.466	0.369	0.95	-0.553	-0.449	-0.231	-0.134	-0.132	-0.125	-0.08	0.056	0.137	-0.789	-0.286	-0.156	-0.151	-0.142	-0.132	0.057	0.3
311	4-48	-3.151	-2.837	-2.052	-1.242	-0.872	-0.601	-0.422	0.343	0.429	0.782	2.962	-0.177	-0.079	-0.052	-0.046	-0.028	0.033	0.04	0.042	0.135	-0.124	-0.085	-0.063	-0.055	-0.031	-0.023	0.1	0.154
312	3-34	-3.182	-2.226	-1.515	-1.188	-1.082	-0.839	-0.081	0.602	0.648	0.81	1.201	-0.448	-0.253	-0.09	-0.066	-0.002	0.12	0.209	0.289	0.342	-1.017	-0.183	-0.121	-0.086	-0.047	-0.026	0.379	0.669
313	4-15	-3.028	-1.912	-1.668	-1.074	-1.066	-1.04	-0.868	-0.721	-0.466	0.387	0.965	-0.585	-0.44	-0.243	-0.141	-0.138	-0.124	-0.078	0.055	0.131	-0.831	-0.28	-0.156	-0.15	-0.145	-0.135	0.056	0.276
314	4-44	-3.714	-2.446	-1.787	-1.168	-0.958	-0.803	-0.504	0.278	0.607	0.794	2.414	-0.239	-0.13	-0.075	-0.064	-0.036	0.031	0.073	0.111	0.145	-0.375	-0.166	-0.102	-0.079	-0.052	-0.02	0.193	0.52
315	4-18	-1.801	-1.638	-1.383	-1.355	-1.131	-0.915	-0.827	-0.782	-0.358	0.372	1.224	-0.448	-0.107	-0.099	-0.09	-0.075	-0.063	-0.045	0.017	0.073	-0.541	-0.288	-0.155	-0.128	-0.096	-0.066	0.017	0.111
316	2-18	-1.729	-1.191	-1.109	-0.796	-0.526	-0.461	0.277	0.574	0.743	1.184	1.891	-0.137	-0.114	-0.072	-0.067	0.033	0.061	0.068	0.077	0.164	-0.238	-0.152	-0.115	-0.1	-0.08	-0.046	0.154	0.314
317	3-39	-2.83	-2.312	-2.146	-1.707	-0.917	-0.581	0.514	0.593	0.675	0.916	1.247	-0.339	-0.236	-0.169	-0.141	0.068	0.138	0.165	0.209	0.304	-0.74	-0.167	-0.146	-0.094	-0.077	-0.055	0.37	0.459
318	2-59	-1.78	-1.442	-1.161	-1.126	-0.934	-0.799	-0.583	0.305	0.542	0.923	1.571	-0.233	-0.152	-0.087	-0.074	-0.046	0.032	0.071	0.105	0.147	-0.198	-0.171	-0.138	-0.089	-0.082	-0.052	0.139	0.429
319	2-39	-1.604	-1.44	-1.178	-0.739	-0.585	0.395	0.526	0.741	0.948	1.201	2.192	-0.342	-0.173	-0.062	-0.047	0.055	0.09	0.114	0.131	0.255	-0.624	-0.179	-0.101	-0.057	-0.039	0.034	0.31	0.388
320	2-17	-2.842	-2.367	-1.771	-1.345	-1.149	-0.966	-0.866	-0.419	0.397	0.563	0.864	-0.293	-0.177	-0.102	-0.065	-0.038	-0.027	0.102	0.12	0.167	-0.499	-0.189	-0.107	-0.079	-0.054	-0.032	0.266	0.615
321	2-9	-1.785	-1.644	-1.564	-1.191	-1.072	-0.796	-0.446	0.429	0.603	0.719	1.193	-0.337	-0.215	-0.111	-0.094	-0.022	0.118	0.173	0.212	0.288	-0.72	-0.298	-0.134	-0.082	-0.057	-0.052	0.333	0.833
322	2-99	-1.673	-1.35	-1.253	-1.057	-0.965	-0.834	-0.592	0.407	0.521	0.62	0.918	-0.211	-0.156	-0.134	-0.1	-0.028	0.079	0.141	0.168	0.234	-0.337	-0.207	-0.153	-0.112	-0.103	-0.067	0.316	0.581
323	2-15	-2.495	-2.003	-1.397	-0.898	-0.709	-0.348	0.458	0.604	0.938	1.215	2.823	-0.341	-0.104	-0.081	-0.051	0.056	0.062	0.077	0.096	0.417	-0.497	-0.208	-0.091	-0.059	-0.03	-0.021	0.144	0.234
324	Ciprofloxacin	-3.526	-1.73	-1.048	-0.816	-0.648	0.308	0.406	0.636	0.87	1.618	2.823	-0.309	-0.179	-0.066	-0.045	0.057	0.085	0.123	0.203	0.31	-0.213	-0.15	-0.085	-0.058	-0.039	0.046	0.258	0.686
325	2-3	-2.135	-1.731	-1.278	-1.037	-0.916	-0.871	-0.77	-0.618	-0.479	0.505	1.095	-0.425	-0.237	-0.132	-0.099	-0.074	-0.066	-0.048	0.129	0.262	-0.88	-0.284	-0.16	-0.135	-0.127	-0.095	0.169	0.311
326	2-7	-1.815	-1.243	-1.124	-0.945	-0.665	-0.474	0.031	0.533	0.713	0.994	1.882	-0.168	-0.113	-0.077	-0.065	0.008	0.057	0.075	0.09	0.158	-0.36	-0.153	-0.13	-0.091	-0.066	-0.038	0.137	0.368
327	4-43	-2.523	-1.834	-1.337	-1.035	-0.753	-0.484	0.451	0.676	0.755	0.97	1.232	-0.212	-0.195	-0.092	-0.078	0.072	0.095	0.122	0.173	0.199	-0.331	-0.26	-0.132	-0.089	-0.051	-0.047	0.275	0.336
328	2-34	-2.219	-1.62	-1.429	-0.879	-0.072	0.454	0.589	0.756	1.613	1.966	2.566	-0.234	-0.162	-0.093	0.014	0.119	0.163	0.176	0.211	0.308	-0.29	-0.114	-0.099	-0.076	0.013	0.06	0.409	0.873
329	Tetracycline	-2.065	-1.522	-1.35	-1.101	-0.921	-0.615	0.055	0.548	0.7	0.915	2.401	-0.255	-0.153	-0.088	-0.076	0.014	0.079	0.111	0.156	0.223	-0.389	-0.175	-0.137	-0.091	-0.052	-0.045	0.181	0.563
330	2-63	-2.118	-1.629	-1.082	-0.951	-0.558	0.328	0.512	0.671	1.001	1.311	2.527	-0.169	-0.099	-0.061	-0.04	0.046	0.064	0.074	0.09	0.228	-0.379	-0.145	-0.075	-0.043	-0.031	0.018	0.208	0.379
331	Tetracycline	-1.858	-1.72	-1.441	-1.132	-0.86	-0.565	0.087	0.536	0.645	0.869	2.315	-0.248	-0.153	-0.092	-0.075	0.009	0.081	0.108	0.135	0.197	-0.304	-0.152	-0.125	-0.092	-0.059	-0.05	0.192	0.531
332	4-11	-3.414	-1.877	-1.39	-1.064	-0.769	0.283	0.458	0.657	0.752	1.027	2.51	-0.399	-0.124	-0.08	-0.07	0.065	0.099	0.142	0.167	0.2	-0.236	-0.111	-0.078	-0.057	-0.045	0.041	0.349	0.641
333	2-11	-1.615	-1.397	-1.123	-0.804	0.083	0.495	0.595	0.751	1.265	1.525	2.211	-0.246	-0.185	-0.095	0.022	0.138	0.149	0.176	0.201	0.25	-0.315	-0.141	-0.122	-0.066	0.006	0.053	0.401	0.483
334	3-34	-2.95	-2.229	-1.47	-1.339	-1.24	-0.967	-0.066	0.554	0.643	0.765	1.614	-0.365	-0.295	-0.128	-0.069	0.034	0.143	0.176	0.251	0.312	-0.955	-0.283	-0.144	-0.101	-0.043	-0.022	0.442	0.669
335	2-8	-2.345	-1.415	-1.292	-1.111	-0.944	-0.515	0.417	0.582	0.684	0.994	1.732	-0.401	-0.25	-0.09	-0.049	0.078	0.128	0.142	0.179	0.312	-0.965	-0.276	-0.122	-0.068	-0.055	-0.024	0.295	0.665
336	3-42	-3.036	-2.24	-1.278	-1.05	-1.006	-0.917	-0.06	0.526	0.684	1.296	1.466	-0.376	-0.291	-0.154	-0.126	0.017	0.098	0.207	0.316	0.475	-0.332	-0.217	-0.172	-0.136	-0.094	-0.056	0.656	0.83
337	2-20	-4.712	-2.133	-1.723	-1.362	-0.883	-0.347	0.574	0.644	0.878	1.035	2.531	-0.248	-0.167	-0.152	-0.1	0.098	0.147	0.179	0.205	0.246	-0.642	-0.164	-0.12	-0.084	-0.043	-0.011	0.319	0.356
338	2-26	-3.068	-1.918	-1.228	-1.015	-0.678	-0.477	0.339	0.506	0.714	0.924	1.925	-0.163	-0.108	-0.063	-0.04	0.037	0.045	0.055	0.077	0.159	-0.279	-0.166	-0.091	-0.069	-0.034	-0.017	0.146	0.26
339	4-54	-2.831	-2.462	-1.938	-1.478	-1.097	-0.97	-0.748	-0.561	-0.38	0.486	0.666	-0.229	-0.164	-0.124	-0.099	-0.059	-0.046	-0.038	0.101	0.175	-0.347	-0.181	-0.144	-0.106	-0.083	-0.06	0.177	0.428
340	4-54	-2.82	-2.022	-1.752	-1.461	-1.124	-1.037	-0.708	-0.553	-0.355	0.487	0.823	-0.289	-0.186	-0.133	-0.118	-0.074	-0.052	-0.039	0.14	0.192	-0.713	-0.261	-0.177	-0.123	-0.109	-0.075	0.214	0.376
341	4-47	-3.497	-2.885	-2.172	-1.052	-0.883	-0.613	0.326	0.537	0.664	1.143	1.794	-0.359	-0.332	-0.144	-0.133	0.057	0.082	0.099	0.207	0.253	-0.513	-0.193	-0.148	-0.108	-0.089	-0.052	0.273	0.646
342	4-43	-2.529	-1.982	-1.538	-1.225	-0.729	-0.484	0.446	0.7	0.778	0.975	1.299	-0.407	-0.189	-0.09	-0.08	0.056	0.09	0.12	0.158	0.215	-0.388	-0.288	-0.17	-0.064	-0.043	-0.027	0.265	0.389
343	4-48	-4.266	-2.812	-2.368	-1.445	-0.79	-0.641	-0.432	0.352	0.41	0.782	3.512	-0.279	-0.107	-0.051	-0.044	-0.024	0.033	0.038	0.049	0.209	-0.257	-0.093	-0.072	-0.044	-0.03	-0.02	0.124	0.168
344	3-42	-3.078	-2.402	-1.963	-1.196	-1.043	-0.794	0.09	0.763	0.83	0.993	1.265	-0.568	-0.264	-0.147	-0.135	0.059	0.14	0.195	0.284	0.442	-0.957	-0.21	-0.155	-0.114	-0.053	-0.045	0.336	0.812
345	3-34	-2.858	-1.884	-1.427	-1.251	-1.014	-0.858	-0.061	0.548	0.646	0.81	1.864	-0.459	-0.373	-0.131	-0.084	0.038	0.19	0.254	0.32	0.419	-1.119	-0.371	-0.174	-0.098	-0.072	-0.036	0.541	0.626
346	4-28	-4.706	-1.897	-1.386	-1.249	-0.961	-0.008	0.466	0.643	0.857	1.074	2.065	-0.275	-0.127	-0.091	-0.083	0.087	0.13	0.184	0.274	0.319	-0.448	-0.081	-0.063	-0.058	-0.054	0.035	0.313	0.405
347	2-20	-6.429	-2.659	-1.483	-1.456	-0.956	-0.495	0.405	0.564	0.748	1.19	3.133	-0.298	-0.221	-0.163	-0.096	0.08	0.162	0.184	0.197	0.326	-0.437	-0.181	-0.149	-0.089	-0.063	-0.013	0.362	1.212
348	4-3	-2.59	-1.845	-1.518	-1.314	-1.084	-0.832	-0.779	-0.615	-0.408	0.464	1.14	-0.225	-0.205	-0.127	-0.102	-0.074	-0.071	-0.041	0.078	0.237	-0.65	-0.238	-0.156	-0.14	-0.096	-0.087	0.097	0.255
349	4-44	-3.151	-2.636	-1.928	-1.831	-1.12	-0.847	-0.611	0.287	0.7	1.135	2.165	-0.326	-0.112	-0.084	-0.067	-0.034	0.025	0.065	0.103	0.199	-0.254	-0.162	-0.084	-0.057	-0.041	-0.025	0.176	0.485
350	2-41	-2.523	-1.958	-1.659	-1.249	-0.976	-0.642	0.382	0.483	0.699	0.929	2.407	-0.313	-0.066	-0.05	-0.038	0.033	0.047	0.063	0.079	0.267	-0.537	-0.058	-0.042	-0.036	-0.023	-0.016	0.164	0.285
351	4-48	-3.014	-2.786	-1.892	-1.183	-0.894	-0.605	-0.441	0.346	0.471	0.788	2.95	-0.147	-0.108	-0.053	-0.038	-0.027	0.036	0.046	0.055	0.145	-0.172	-0.078	-0.065	-0.049	-0.031	-0.022	0.113	0.194
352	2-74	-2.05	-1.667	-1.56	-1.262	-0.995	-0.913	-0.597	-0.117	0.448	0.764	1.358	-0.198	-0.161	-0.08	-0.074	-0.048	0.006	0.099	0.153	0.189	-0.317	-0.138	-0.111	-0.089	-0.073	-0.046	0.238	0.508
353	4-15	-2.989	-1.905	-1.599	-1.123	-1.093	-1.059	-0.881	-0.732	-0.471	0.42	0.934	-0.599	-0.478	-0.227	-0.159	-0.139	-0.137	-0.105	0.051	0.115	-0.839	-0.387	-0.173	-0.16	-0.144	-0.135	0.053	0.224
354	4-28a	-3.479	-2.152	-1.624	-1.079	-0.673	-0.444	0.402	0.547	0.82	0.998	1.996	-0.196	-0.152	-0.095	-0.068	0.06	0.075	0.091	0.138	0.188	-0.352	-0.166	-0.109	-0.054	-0.04	-0.027	0.366	0.522
355	Ampcillin	-3.843	-2.599	-1.747	-1.45	-1.245	-1.158	-0.654	0.443	0.63	0.795	0.957	-0.342	-0.303	-0.218	-0.18	-0.142	0.104	0.144	0.181	0.235	-0.853	-0.283	-0.196	-0.163	-0.14	-0.092	0.321	0.403
356	2-18	-1.702	-1.224	-1.082	-0.858	-0.53	-0.459	0.284	0.604	0.743	1.192	1.703	-0.151	-0.094	-0.067	-0.055	0.029	0.058	0.066	0.08	0.168	-0.261	-0.145	-0.116	-0.089	-0.051	-0.03	0.118	0.346
357	2-18	-2.076	-1.364	-1.093	-0.998	-0.759	-0.585	0.411	0.727	0.813	1.159	1.674	-0.177	-0.143	-0.086	-0.067	0.055	0.085	0.105	0.123	0.143	-0.433	-0.166	-0.118	-0.101	-0.059	-0.036	0.171	0.288
358	4-60	-1.838	-1.254	-1.131	-0.79	0.13	0.318	0.497	0.821	1.034	1.437	2.297	-0.264	-0.11	-0.07	0.022	0.084	0.112	0.125	0.154	0.201	-0.24	-0.114	-0.09	-0.07	0.007	0.03	0.325	0.761
359	2-24	-2.886	-1.476	-1.206	-1.111	-0.665	0.334	0.509	0.72	0.809	1.385	2.306	-0.22	-0.123	-0.086	-0.056	0.048	0.087	0.134	0.159	0.215	-0.34	-0.133	-0.085	-0.057	-0.044	0.014	0.291	0.469
360	2-70	-3.023	-1.564	-1.072	-0.951	-0.719	0.042	0.431	0.62	0.904	1.174	2.612	-0.389	-0.221	-0.076	-0.057	0.074	0.09	0.104	0.152	0.214	-0.557	-0.152	-0.128	-0.087	-0.056	0.012	0.226	0.413
361	4-18	-1.884	-1.673	-1.36	-1.199	-1.046	-1.042	-1.011	-0.79	-0.368	0.37	1.094	-0.489	-0.134	-0.096	-0.093	-0.088	-0.072	-0.049	0.015	0.06	-0.587	-0.307	-0.175	-0.1	-0.094	-0.082	0.018	0.09
362	2-72	-1.948	-1.785	-1.46	-1.418	-1.099	-0.568	-0.219	0.499	0.67	0.91	1.13	-0.229	-0.161	-0.1	-0.072	-0.015	0.079	0.094	0.132	0.239	-0.38	-0.202	-0.115	-0.075	-0.062	-0.038	0.232	0.776
363	2-19	-1.574	-1.264	-1.04	-0.928	-0.709	0.014	0.538	0.67	0.817	0.958	1.563	-0.191	-0.137	-0.08	-0.063	0.089	0.104	0.115	0.138	0.187	-0.372	-0.207	-0.113	-0.076	-0.041	0.018	0.211	0.35
364	Tetracycline	-1.963	-1.54	-1.359	-1.167	-0.888	-0.582	0.086	0.538	0.641	0.893	2.361	-0.241	-0.148	-0.092	-0.079	0.009	0.086	0.106	0.132	0.217	-0.334	-0.156	-0.122	-0.101	-0.062	-0.042	0.183	0.488
365	2-72	-1.95	-1.762	-1.528	-1.291	-1.157	-0.589	-0.239	0.446	0.688	0.907	1.084	-0.225	-0.153	-0.088	-0.071	-0.013	0.072	0.093	0.118	0.229	-0.411	-0.192	-0.104	-0.072	-0.058	-0.034	0.212	0.744
366	2-7	-1.652	-1.421	-1.186	-1.006	-0.796	-0.457	0.004	0.47	0.716	0.877	1.695	-0.245	-0.148	-0.058	-0.042	0	0.038	0.05	0.057	0.199	-0.256	-0.167	-0.094	-0.081	-0.051	-0.025	0.133	0.241
367	2-18	-1.541	-1.29	-1.133	-1.039	-0.718	-0.52	0.39	0.643	0.764	1.042	1.861	-0.167	-0.148	-0.079	-0.061	0.05	0.064	0.09	0.112	0.16	-0.392	-0.165	-0.137	-0.098	-0.053	-0.032	0.16	0.308
368	4-54	-2.794	-2.15	-1.565	-1.492	-1.117	-0.952	-0.648	-0.529	-0.34	0.489	0.88	-0.235	-0.171	-0.141	-0.117	-0.072	-0.051	-0.034	0.142	0.175	-0.673	-0.274	-0.168	-0.122	-0.099	-0.08	0.212	0.372
369	Ciprofloxacin	-4.542	-1.299	-1.011	-0.706	-0.567	0.309	0.388	0.497	1.027	2.718	3.669	-0.227	-0.18	-0.059	-0.04	0.065	0.076	0.093	0.263	0.316	-0.213	-0.122	-0.077	-0.063	-0.044	0.056	0.166	0.312
370	2-74	-2.621	-1.823	-1.547	-1.179	-1.001	-0.8	-0.669	-0.137	0.465	0.727	1.615	-0.283	-0.164	-0.077	-0.067	-0.041	0.005	0.097	0.133	0.193	-0.37	-0.172	-0.106	-0.087	-0.072	-0.048	0.259	0.524
371	4-28	-2.961	-1.244	-1.19	-1.149	-0.957	-0.049	0.582	0.681	1.367	1.629	1.733	-0.433	-0.235	-0.108	-0.082	0.096	0.15	0.157	0.209	0.32	-0.464	-0.19	-0.096	-0.087	-0.065	0.02	0.203	0.361
372	2-15	-2.69	-1.95	-1.664	-0.879	-0.765	-0.322	0.467	0.52	0.635	1.138	2.855	-0.353	-0.105	-0.084	-0.06	0.047	0.066	0.07	0.089	0.128	-0.438	-0.232	-0.1	-0.054	-0.031	-0.018	0.175	0.321
373	2-1	-2.848	-2.225	-1.689	-1.335	-0.964	-0.743	-0.486	0.233	0.526	0.745	1.715	-0.268	-0.143	-0.101	-0.08	-0.059	0.03	0.083	0.161	0.218	-0.245	-0.149	-0.129	-0.103	-0.069	-0.055	0.215	0.542
374	4-16	-1.773	-1.666	-1.407	-1.163	-0.952	-0.857	-0.442	0.436	0.715	0.928	1.45	-0.278	-0.178	-0.127	-0.119	-0.069	0.092	0.105	0.138	0.157	-0.317	-0.223	-0.148	-0.114	-0.102	-0.07	0.221	0.537
375	2-7	-2.111	-1.317	-1.112	-1.006	-0.783	-0.593	0.055	0.668	0.755	1.009	1.9	-0.233	-0.153	-0.076	-0.066	0.01	0.073	0.095	0.116	0.135	-0.404	-0.213	-0.141	-0.116	-0.056	-0.037	0.174	0.307
376	Chloramphenicol	-1.77	-1.583	-1.523	-0.983	-0.698	-0.523	-0.398	0.398	0.638	0.986	1.309	-0.244	-0.186	-0.106	-0.081	-0.052	0.05	0.084	0.131	0.223	-0.484	-0.28	-0.19	-0.142	-0.081	-0.044	0.222	0.621
377	4-44	-3.093	-2.454	-1.779	-1.351	-1.125	-0.923	-0.572	0.263	0.707	1.317	2.655	-0.283	-0.156	-0.11	-0.099	-0.068	0.04	0.087	0.1	0.162	-0.295	-0.194	-0.113	-0.092	-0.077	-0.054	0.171	0.331
378	4-28	-1.849	-1.669	-1.268	-1.114	-0.926	-0.031	0.491	0.564	1.451	1.864	1.945	-0.332	-0.25	-0.074	-0.067	0.054	0.074	0.092	0.117	0.275	-0.357	-0.268	-0.111	-0.051	-0.041	-0.006	0.165	0.219
379	2-71	-1.873	-1.561	-1.169	-0.886	-0.735	-0.602	-0.437	0.336	0.574	0.772	1.114	-0.137	-0.116	-0.086	-0.075	-0.033	0.045	0.089	0.123	0.134	-0.219	-0.16	-0.139	-0.133	-0.08	-0.057	0.278	0.592
380	2-30	-3.405	-1.324	-0.982	-0.902	-0.569	-0.02	0.438	0.706	0.856	1.087	1.488	-0.153	-0.099	-0.066	-0.032	0.067	0.091	0.113	0.165	0.26	-0.254	-0.213	-0.088	-0.054	-0.029	0.004	0.243	0.833
381	4-30	-1.821	-1.61	-1.5	-1.14	-0.911	-0.739	-0.679	0.353	0.533	0.756	0.83	-0.243	-0.141	-0.11	-0.105	-0.061	0.081	0.177	0.205	0.258	-0.294	-0.208	-0.12	-0.09	-0.075	-0.068	0.345	0.691
382	2-3	-2.388	-1.511	-1.254	-1.012	-0.916	-0.846	-0.759	-0.612	-0.486	0.502	1.081	-0.435	-0.203	-0.135	-0.112	-0.076	-0.066	-0.053	0.126	0.237	-0.871	-0.259	-0.191	-0.147	-0.132	-0.116	0.172	0.299
