No.	NAME	CATS2D_03_DD	CATS2D_04_DD	CATS2D_05_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_08_DD	CATS2D_09_DD	CATS2D_01_DA	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_03_DP	CATS2D_04_DP	CATS2D_05_DP	CATS2D_06_DP	CATS2D_07_DP	CATS2D_08_DP	CATS2D_09_DP	CATS2D_03_DN	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_08_DN	CATS2D_03_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_01_AA	CATS2D_02_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_09_AA	CATS2D_00_AP	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_00_AN	CATS2D_01_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_03_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_03_PP	CATS2D_05_PP	CATS2D_06_PP	CATS2D_08_PP	CATS2D_03_PN	CATS2D_04_PN	CATS2D_05_PN	CATS2D_06_PN	CATS2D_09_PN	CATS2D_02_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_05_NN	CATS2D_06_NN	CATS2D_02_NL	CATS2D_04_NL	CATS2D_06_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_09_LL	SHED_DD	SHED_DA	SHED_DP	SHED_DL	SHED_AA	SHED_AP	SHED_AL	SHED_PP	SHED_PN	SHED_PL	SHED_NN	SHED_NL	SHED_LL
1478	2-20	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	4	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	7	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2.87174588749259	0	2.87174588749259	2.97100409661001	2.87174588749259	4.64930416134081	0	0	2.87174588749259	0	0	2.87174588749259
1479	3-37	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	7	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87174588749259	0	3.77976314968462	3.75447893899131	0	7.8009476487548	0	0	0	0	0	2.95999806011041
1480	2-73	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	6	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	3	0	6.91580933611296	3	0	7.45623902651711	0	0	0	0	0	6.0137223407848
1481	4-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	3	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	7.17197765411391	0	0	3.58598882705695	0	0	5.27182688086753
1482	3-44	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	4	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2.82842712474619	0	4.71065067421325	2.7494592739972	0	9.60515685614191	0	0	0	0	0	5.65017906072328
1483	2-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	8	12	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	0	0	7	3	0	0	0	0	0	1.88988157484231	0	5.35465130207327	0	0	0	0	4.36691506603759	5.91951307486139
1484	2-64	0	0	0	2	0	1	0	0	1	2	1	0	6	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	7	3	1	0	0	1	1	1	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	15	11	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1.88988157484231	4.88800726190538	0	6.08317901180071	5.74868280267519	0	7.24186920708324	0	0	0	0	0	5.45659190542063
1485	4-6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	2	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	4	4	5	3	0	1	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	6.67872291803412	1	2	6.80028980488649	0	0	4.26419042511093	0	0	5.39169827808414
1486	3-31	0	0	0	0	0	1	0	0	0	0	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	5	4	1	0	0	2	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	14	15	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	1	2.70479734326014	0	6.28062028991409	4.17987065346641	0	6.05795763798636	0	0	0	0	0	5.80193158794743
1487	Chloramphenicol	2	1	0	0	0	0	0	0	1	2	1	2	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	6	0	0	0	2	1	1	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1.88988157484231	7.32539012895881	0	4.4912725759976	8.31989177611433	0	6.88367562135494	0	0	0	0	0	5.6809967075282
