No.	NAME	RDF010u	RDF025u	RDF050u	RDF055u	RDF110u	RDF115u	RDF145u	RDF150u	RDF155u	RDF015m	RDF020m	RDF035m	RDF040m	RDF050m	RDF055m	RDF065m	RDF070m	RDF075m	RDF085m	RDF090m	RDF095m	RDF100m	RDF105m	RDF110m	RDF115m	RDF120m	RDF125m	RDF130m	RDF140m	RDF145m	RDF150m	RDF155m	RDF030v	RDF070v	RDF080v	RDF135v	RDF020e	RDF065e	RDF075e	RDF095e	RDF125e	RDF130e	RDF140e	RDF020p	RDF035p	RDF040p	RDF085p	RDF090p	RDF100p	RDF105p	RDF120p	RDF030i	RDF045i	RDF060i	RDF010s	RDF025s	RDF030s	RDF035s	RDF040s	RDF045s	RDF050s	RDF060s	RDF065s	RDF070s	RDF075s	RDF080s	RDF085s	RDF090s	RDF095s	RDF100s	RDF105s	RDF110s	RDF115s	RDF120s	RDF125s	RDF135s	RDF145s	RDF150s	RDF155s
894	2-26	17.7181772485663	64.2634222919111	56.2715755065649	50.9650134420882	20.3230926953274	13.3131207866689	0.764407560542292	1.97405801513671	3.03848946726351E-7	28.039983307583	1.63089930400543	16.3138199404814	17.9375791843489	19.5072936856538	18.1295136347837	15.9339399758985	11.7626184964428	12.9587548494982	12.3728308404304	5.63664033579141	7.58940259163798	5.42114101993599	9.37640686016849	7.65437114826165	3.44075635605157	7.72063094462651	3.11374466518423	3.85762150716495	0.273488465866885	0.0054224051262664	0.013962137270039	2.1490658688956E-9	21.2364565984843	15.1474597617396	15.747882825825	1.20844777537818	13.5888647477799	47.6628324210685	37.8971876239125	25.1267223410465	11.2749412704285	11.8389696516723	4.48926941941124	4.83475306099293	18.4490814923351	21.6723616289016	16.6942581004746	7.51779285242258	7.56369140546018	9.62484088992471	7.94494885765593	73.2321200410237	66.6906439450183	65.4404907222297	33.3384817061396	162.294314358365	167.092971529349	151.220924845535	153.898104690787	130.229505178303	140.116281060455	132.471590940936	147.678930751182	97.4825627324186	110.609061949157	99.6175390173031	112.77829349055	59.6098072660974	66.5708095641437	46.6650621383528	77.2682493828535	50.1529272844269	35.1235140074822	46.107176962687	27.346983208855	12.0193078100919	0.764613785328148	1.97405801513671	3.03848946726351E-7
895	4-30	13.0210284517498	40.346133826664	33.415586196361	28.0673009643002	0	0	0	0	0	19.1036066768181	0.74624792400403	15.7932817439692	8.81535454674887	8.58953171094542	4.1578608184693	5.08913753851815	8.45770200412386	2.04040342363083	1.86599992707038	0.182695466327661	0.140603083803687	0.0351198567457608	2.32192192916538E-8	0	0	0	0	0	0	0	0	0	15.1004427399921	8.01527229877356	3.01604170543682	0	8.49660011639293	19.5216108379732	11.5399392780127	1.44740030461022	0	0	0	2.80828722544886	18.8728007925706	15.8361568303885	1.17889140885611	0.375044967959403	0.0542455701000794	3.58590642576437E-8	0	46.5042779232779	53.6355432993778	35.4033735822089	33.0228134225822	117.361415886956	120.894862507301	125.114998468612	91.3446302003847	99.0666722260264	90.9462229833545	59.5482896897445	61.4856098654066	76.0406534252527	33.0061284809733	39.9751793138949	22.36554315185	5.13392920066216	7.7785762700177	2.19427749270884	1.45070874192151E-6	0	0	0	0	0	0	0	0
896	3-25	15.0105165319845	52.1239510450868	53.4313333313975	44.9304367456699	1.68260626375518	0.121239061262272	0	0	0	19.8288045070316	1.12407876394428	7.05366949315293	16.6485371651442	21.3202116972504	12.6253921145219	21.5950331064687	16.9936641922273	18.1551603925934	9.27068620619946	6.25048180291714	1.15704215299572	2.1722049412379	0.126592076843565	0.163186863841567	0.000857500844886407	0.00012200902625161	0	0	0	0	0	0	8.64275753787257	17.472036438828	11.8142796683399	0	12.1774489723749	55.2859754641583	42.4533991799892	14.5202896327773	0	0	0	3.28283223582125	15.1177861789882	20.5322391625699	15.0156740453186	8.06295691996878	1.81425408637908	0.691109471167416	0.00250014802845279	32.6699431325654	56.7442058997095	67.7813675502584	28.159698431031	126.152407727178	47.6349259798116	73.3464359479344	77.4304025299999	81.8945840039323	117.996171399513	116.220083706936	143.24966738857	114.06699410629	124.667802288299	89.0595625540405	79.2121465027936	84.2494776162002	37.289901029171	20.5262911874537	4.68250745246597	4.56745163393181	0.121239061262272	0.0172504317593163	0	0	0	0	0
897	2-41	13.17563103701	48.3585119734644	44.1312882102577	40.142457423113	7.08905416836885	4.57076888011255	0.750896264609411	0.000877675947688012	0	18.3648758005221	0.965641017734673	5.61553154860716	10.0665947451448	21.6586487011504	17.1992884960401	14.2749394606994	7.23468004939072	11.2973682336966	6.44705671031341	5.30527854327645	2.70982092226608	1.17126744642407	1.73131027673753	3.9445964674842	1.0593983268435	0.296325571438517	0.891720901832108	0.477102346710341	0.0040188761487982	0.00532519205434182	6.20763521956725E-6	0	7.70558651052882	9.41835484939427	5.54586959898348	0.204975442308919	10.835836340926	41.8151582879602	29.5281849217977	14.5213399061866	2.0339140065114	4.33486222538114	0.370622337885962	3.46068349854364	12.9737510937498	14.7446266561291	8.30460590117502	7.5145141423627	3.04912751522496	2.66650876519107	1.20360302591738	27.4512498117794	45.0110542854164	56.5784175233817	27.6460022441956	143.357623899969	52.8594406232145	58.6413968207676	65.8391160834089	102.465291257385	123.050392956594	96.8691060905127	110.51083354623	75.7960936163085	80.5243089951696	36.0198861760504	61.9998993019065	49.7091799080156	31.3074315578512	15.4622552132614	15.1750894042275	20.3184921042695	9.42385742605662	7.1076827879119	5.78123465097425	2.01114410255525	0.751081205083674	0.000877675947688012	0
898	3-42	9.84302526711343	25.936949858788	15.2749577702499	11.7063716130375	1.37040220178345	1.11322175304398	0	0	0	13.7746660610632	0.953479151493198	5.15137018194338	1.96942712467691	4.5315673259305	2.04339530312516	5.25451808678077	2.21792329112269	1.66915852038138	4.73447132174302	0.850951043273772	0.329793540387651	0.105208842595756	0.466842489917499	0.111105308201824	0.0159251084456266	0.00909908965334971	4.03747186266343E-8	0	0	0	0	0	4.60691010472945	2.48022394028311	2.06376116471702	0	10.6563525721434	14.7067361220817	7.15454024936056	5.4416865354426	5.06331433198615E-6	0	0	2.45529399501145	4.97638603487371	3.79885655113135	5.26601750589808	2.0342347327339	0.670592366440722	0.415446237358808	0.186441230175618	25.4684833330253	21.7928111294649	11.4022173362279	20.0655075396598	70.5073625333938	37.7591634523351	32.68885784113	27.3805616670353	35.9744479772872	33.7551416386987	17.0915370802162	35.7372148988305	15.9947458433606	12.4746042013469	20.5608541668958	29.9154819099047	9.76423039861714	9.15913353992413	4.09539991289365	3.49672662417189	2.69276772900689	1.29011921334807	1.28641030482518	5.70844100529129E-6	0	0	0	0
899	2-91	6.32757208839617	19.26225268708	14.48751948325	14.5347202676293	0.0000101696655194189	0	0	0	0	22.0706020258871	1.01648581899667	10.2029738132661	7.38320031762918	9.39426883055409	4.31943797697386	4.62404934477393	1.91812560110558	1.50015931975429	3.19408368207146	0.865321394255425	2.22078277042447	0.00266015120384775	0.0742574565046524	8.10062694367176E-8	0	0	0	0	0	0	0	0	5.4755507939676	0.931381976412172	1.04459959320335	0	7.31477510202584	10.5168935786341	4.39585979425591	5.81394639606994	0	0	0	1.39882887103831	5.71295832005763	4.87026949074567	1.20227981825517	0.265050189644943	0.00796500588498624	0.124773173506537	0	26.6486651266765	18.0952491972954	10.9994268861447	10.5288563791329	209.72087170651	83.7371961367467	41.7010768505564	27.0968090382142	48.881244611888	46.7000640411483	53.3169524064063	43.1013886910191	32.7877319641469	19.590223410732	49.3521950652582	19.9096824712964	23.8951353626846	38.078773390626	0.0152717116935878	4.68154628781491	0.0000106885893107008	0	0	0	0	0	0	0
900	3-53	10.9643337986468	37.0912245589486	33.1415612570785	25.4869578252998	0	0	0	0	0	16.3191594713513	0.373752032097469	11.5144301476331	6.23983847285064	7.06013832459631	4.29259489312115	6.15429956370858	4.49745171454584	1.26763516402714	0.0794605946645199	0.303409004293734	0.0167275302727232	0.00514009590994885	2.63627523869244E-9	0	0	0	0	0	0	0	0	0	8.24468575118567	6.38828773263508	5.15053958923238	0	4.23072344481881	20.7573209914373	15.0611235010257	1.8825807376699	0	0	0	1.64349696410359	16.3604609963026	9.28712443670157	0.642592880558622	1.36888466520095	0.105328278162103	5.40212355017369E-8	0	40.057562794154	38.0392741970192	33.0473191911429	20.1552812921763	102.815871469727	69.0317291317539	88.1996789955362	71.2103831071674	74.3678170187527	69.3257883096682	62.7490869359695	73.2210285383107	32.5003759049799	37.6544787534671	51.8640715220166	4.01338896020872	14.1005349882203	2.15604330528565	0.726740278609047	3.72733784548495E-7	0	0	0	0	0	0	0	0
901	3-24	14.7424657635267	49.2640525580931	39.1485787346939	42.1785845362059	2.69639319756927	0.421437756634785	0	0	0	18.589979829438	1.37744341334873	9.38341732239132	14.5435614217724	16.6926376371564	15.201215245109	16.1115278475787	13.2538291164283	15.0902817677724	8.02906990258779	6.83314187910574	1.41666418928073	0.740533280119148	0.27001811883757	0.212502534170926	0.00298075188443302	0.00496349862275891	0	0	0	0	0	0	11.0931184230429	15.38030704329	11.4608795557606	0	15.0672541469605	38.8162744080283	35.8906471866206	10.2936230713215	0	0	0	4.43291831010931	17.0444413717111	18.4835586563323	13.7124916255804	7.63240515589448	2.6663199803071	1.35937691948949	0.101709534754648	41.0045670847458	72.5296216732046	49.1334601112155	27.2707444323649	116.98472821141	63.0892416307347	73.8943996422452	77.4627623009169	124.564609768121	96.3703028214404	78.1558168262068	117.694992424349	86.006783650254	100.687383139885	82.947812218706	73.7125049018407	61.64980329052	21.8971561800377	21.4676808211641	7.89866359968624	6.15631493554987	0.42143779268245	0.701771802545087	0	0	0	0	0
902	2-9	14.0857302564329	42.2772297930537	39.4749335101061	32.941130366511	3.50576312644362E-6	0	0	0	0	19.8456456235924	0.840753604995164	10.3648116833186	10.2160861492052	12.0719318410594	7.89567499440115	6.98048094808219	2.87122504179671	4.27802335620941	1.48272635864024	1.43247769965114	0.205338853352649	0.0795846577105885	0.000851505873075382	2.47955964983417E-8	0	0	0	0	0	0	0	0	16.2301658600193	4.7510472905588	3.02493546797196	0	9.66711186034463	20.6801368368435	17.1774686784594	2.95351566025235	0	0	0	3.31133610964695	16.4398562154226	14.4235655430635	2.92837969348373	1.19311751007631	0.426875510878663	0.017448633065845	0	48.4613247585413	65.9976465386221	28.6111760878072	35.0855888358566	115.857174924899	115.176913241242	89.0739773903525	100.459466681363	162.574513480674	119.547304122682	51.1357198095907	77.8784823224404	47.6406622022299	47.2153269835039	40.3644476682738	28.1426596374443	26.306988384315	11.3780341611013	5.61424238837941	0.120391453054074	3.50576312644362E-6	0	0	0	0	0	0	0
903	Ciprofloxacin	9.48780026145571	41.9331369469895	25.8430817096127	11.4580275236434	1.50412732850822	0.619979212279209	0	0	0	16.8616901500366	0.813837562604144	5.92310534319625	7.65374769131784	16.9959252313528	4.05863979412467	10.6745575339228	2.62332773327449	12.6283071340792	4.03515898754382	1.94855986962601	4.84238728359234	2.48339159579414	0.316402264855197	0.220313830742857	0.0697503116168527	0.053007683433833	0	0	0	0	0	0	8.99212765763995	4.18770289007929	2.63721661886109	0	9.22446944847318	18.9251773829951	21.1546035923843	11.2808263155652	0	0	0	2.81960114051294	6.7640839012386	7.3757637378433	3.47552249726568	1.58095287638686	1.66821615637356	0.2615608007554	0.081863472777739	19.8895190424741	31.9554927922753	26.1128784938212	16.0491556553985	132.466494619512	84.667471373386	57.0366967330279	62.7560227063976	59.8863025070621	116.845017378088	62.9619761497711	71.9288076149729	53.0273600813468	124.270664544466	18.3015595896745	85.8146557652505	29.0691755894679	48.0681027189495	23.068464633775	1.90185915531716	9.28735067222455	4.34125417736198	3.31185595779746	0	0	0	0	0
904	2-23	13.6019442542907	42.3077438863488	37.3628291594345	29.5838988157411	0	0	0	0	0	18.5117999643712	1.07420457043677	9.54332623946661	4.38187610197027	8.06634365535984	7.24291029715925	4.10614226973782	6.24091357345772	2.09982789609201	1.70686089835763	0.680701882617275	0.121622869222595	0.00886638672273715	1.11490597612938E-9	0	0	0	0	0	0	0	0	0	11.5107942781765	7.33588037941717	4.98556531687473	0	13.3153227006019	23.0588190580719	13.496582844525	3.03208092638632	0	0	0	3.8092652643743	13.8930086115154	10.0736467568563	2.71795799552728	2.18672014587942	0.181685568399156	2.2846096422258E-8	0	52.2368547667736	43.9743812200106	41.3117310670329	30.1950905387046	109.659011367223	90.7202837505496	64.4777478786586	64.2242487243286	101.215246151712	82.313871824465	82.32271339359	52.148084886698	56.1594845155388	28.5222837817848	64.4549436081158	33.9280569525661	36.3015915996889	7.81906174767391	1.25358757307734	1.57632677271039E-7	0	0	0	0	0	0	0	0
905	2-68	13.840518108062	57.6233471221516	53.2794934319652	38.43416680379	4.11116300268476E-10	0	0	0	0	24.1954917960817	1.07866046417284	16.5002609769822	14.2634383969116	25.4156648295607	13.2160091051855	14.7807354802892	10.4369815235085	14.2250030050445	10.0827709993946	0.846730891947637	0.562818957536915	0.00775450749632091	0.0143360108119472	2.90774747970188E-12	0	0	0	0	0	0	0	0	14.6201317083617	14.4709667042579	6.03236461715349	0	12.3378248142449	46.7144992303753	27.0150396083777	10.1556498190114	0	0	0	3.30402525391021	20.8423594624231	17.9720672919259	8.85816490270792	2.80875744529692	0.0519654165262533	0.293766373427594	0	49.3669227348251	60.0506986734512	56.7342034998663	30.0501273311232	164.564164817258	119.402944382803	144.657680381803	133.659489604724	112.986854551281	258.741147830634	115.318204540512	155.420440541925	100.669838053138	104.74532606293	68.6624873274216	116.164333880105	32.7679481912702	19.9871033305024	0.268808301295814	2.0269186945425	4.11116300268476E-10	0	0	0	0	0	0	0
906	2-4	15.9608276148648	43.9429575227399	37.4568656809087	29.2435253230175	0	0	0	0	0	16.9697254201134	0.791512242125515	7.7150955821631	3.3057477699668	6.5728990723112	2.79201123467696	2.35419287694272	4.37562411804072	1.28916268542685	0.306532063600381	0.153831273977413	0.0237670361826549	0.00395089145507757	4.70597071517046E-8	0	0	0	0	0	0	0	0	0	9.52758180317347	5.77424917917324	4.29258029208864	0	9.69441418059302	20.5796342168808	10.5962204147144	2.72108472242652	0	0	0	3.36084234630715	14.8842660653754	9.07685840349822	1.63650263667692	1.05121163201518	0.0809596944218938	9.64324014948423E-7	0	44.3830733246412	46.3788526802785	34.5074561599355	34.7226204630859	90.5772961876833	53.881738594672	58.0262755621195	40.8570688130133	66.9774885861752	56.8690796861362	61.0378226992935	38.0980804417565	33.9574162875014	16.8550303947509	30.0131468455539	11.3342376976582	6.61502705641447	3.09313024497978	0.558602797908832	6.65360827615963E-6	0	0	0	0	0	0	0	0
907	2-78	11.5477092238258	41.708784168324	35.5383487904912	31.5640042024375	0.127088531785877	3.05060253815471E-6	0	0	0	15.5935003770101	0.770944563947571	10.0805622528439	17.4959791480004	7.05984831621744	8.16287611472706	4.98307720193826	4.93005585551899	2.07749201903588	2.24827261954573	1.20325475087863	2.07417265847027	0.364551119264538	0.0962955576754981	0.0142387474659968	3.41783468181828E-7	0	0	0	0	0	0	0	13.1827262786996	4.64900335694428	3.74109108588364	0	8.67627695634406	21.9629992709406	7.81593780545136	4.4929583488255	0	0	0	3.28201034651252	15.1365291083717	19.1642480480217	3.15646293007874	2.5963037327131	0.456251385712187	0.173964895019055	0	35.5788109209277	56.9846646286119	21.7581507562093	21.0304900787577	109.556076520743	72.1906167396823	111.757925787522	130.076611779942	134.931328561433	74.722567772269	46.999662079772	63.8278290234937	47.6004626461083	22.9902035416021	37.2281588061085	26.3607525365743	15.5043765686327	26.2180664943731	6.02466982459267	6.12151473843777	0.889619722501142	0.000021354217767083	0	0	0	0	0	0
908	2-18	14.3000923279594	44.3762462199799	46.1666831392918	34.3832953072449	2.6339519378103	0.595414984800096	0	0	0	17.7925573698464	1.37369676829833	6.552288207662	12.128478701592	18.0582239895106	11.5811279640071	10.7373518242392	9.20530618309563	10.0831788062371	4.14549650951014	4.49354892933544	2.26811243849493	2.22703980700281	0.334298692202571	0.167749665644369	0.00421125706322951	2.01613922538517E-6	0	0	0	0	0	0	8.31275782654593	11.9246865169334	9.83335031047705	0	15.0961244399209	27.9628225838254	27.9662186920336	15.9775413076459	0	0	0	4.58419008838139	12.8798115559548	16.5527927402256	5.98138934975924	6.56022442728739	4.11958096995841	1.54313195129189	0.0000413137180444184	37.1591518335061	56.696519769359	42.5705947739591	26.7135333011161	107.55999417553	48.3542708157023	56.8558940047078	69.9768269335555	82.7412161798379	106.335201794114	81.3316045911614	63.5501503808921	63.0946401975498	69.0604743348873	75.9598319255232	36.704172856847	51.0968521010524	28.5300219223556	29.0754934638156	10.2553445317319	4.64022209059058	0.595414984859628	0.000285054911044573	0	0	0	0	0
