No.	NAME	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	QED
1479	3-37	0	1	1	1	1	1	1	1	1	0.5	1	0.775217816245207
1480	2-73	0	1	1	1	1	1	1	1	1	0.5	1	0.862511601497231
1481	4-14	0	1	1	1	0.9	1	1	1	0.985714285714286	0.833333333333333	1	0.841891412973628
1482	3-44	0	1	1	1	1	1	1	1	1	0.666666666666667	1	0.890871409655288
1483	2-42	0	1	1	1	0.8	0.5	1	1	0.9	0.833333333333333	1	0.847691886931334
1484	2-64	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.333223140291697
1485	4-6	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.910788747135197
1486	3-31	0	1	1	1	1	0.5	1	1	0.928571428571429	0.5	0.875	0.554361948871515
1487	Chloramphenicol	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.519168136716881
1488	2-61	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.496198301103732
1489	2-65	0	1	0.833333333333333	1	1	1	0.833333333333333	0.5	0.880952380952381	0.166666666666667	0.875	0.279417790506209
1490	3-2	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.740982145577988
1491	2-92	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.557741145177837
1492	4-17	0	1	0.666666666666667	0.833333333333333	0.4	0.5	1	1	0.771428571428571	1	1	0.659533956012745
1493	2-33	0	1	1	1	0.8	0.5	1	1	0.9	0.5	1	0.848700112511914
1494	2-92	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.557741145177837
1495	Chloramphenicol	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.519168136716881
1496	2-70	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.678600593828992
1497	2-49	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.496198301103732
1498	2-45	0	1	1	1	0.9	1	1	1	0.985714285714286	0.5	1	0.297559628059251
1499	2-52	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.85390540475651
1500	3-42	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.833333333333333	1	0.74157007750467
1501	4-60	0	1	0.833333333333333	0.833333333333333	0.9	1	1	1	0.938095238095238	0.166666666666667	0.875	0.726870113931982
1502	2-36	0	1	0.833333333333333	1	0.9	0.5	1	1	0.890476190476191	0.333333333333333	1	0.864300372030281
1503	2-71	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.363317306604378
1504	2-56	0	1	0.833333333333333	1	1	1	0.833333333333333	1	0.952380952380952	0.333333333333333	1	0.438478795820307
1505	4-4	0	1	1	1	1	1	1	1	1	0.833333333333333	1	0.895845352964901
1506	2-90	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.477795249281769
1507	2-50	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.405109081487706
1508	4-46	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.166666666666667	1	0.847569818413297
1509	2-53	0	0.75	0.5	0.833333333333333	0.9	1	0.666666666666667	0.5	0.735714285714286	0.166666666666667	0.75	0.340961218623315
1510	2-25	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.833333333333333	1	0.895711398449172
1511	2-79	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.397561662034197
1512	4-46	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.166666666666667	1	0.847569818413297
1513	2-30	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.5	1	0.844769436547891
1514	2-95	0	1	1	1	0.9	1	1	1	0.985714285714286	0.5	1	0.520307912789436
1515	2-94	0	1	0.833333333333333	1	0.6	0.5	1	1	0.847619047619048	0.333333333333333	0.875	0.520591572608756
1516	2-24	0	1	0.5	1	0.9	1	1	1	0.914285714285714	0.166666666666667	0.875	0.342665962911125
1517	4-37a	0	1	0.666666666666667	0.833333333333333	0.9	1	1	1	0.914285714285714	0.666666666666667	0.875	0.490250706603622
1518	2-98	0	1	0.666666666666667	1	0.8	0.5	0.833333333333333	0.5	0.757142857142857	0.166666666666667	0.875	0.359277292632715
1519	2-43	0	1	1	1	1	1	1	1	1	0.5	1	0.555572286804086
1520	3-40	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.720623244992516
1521	2-49	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.496198301103732
1522	2-75	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.417737641994672
1523	2-75	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.417737641994672
1524	3-37	0	1	1	1	1	1	1	1	1	0.5	1	0.775217816245207
1525	3-50	0	1	0.833333333333333	1	0.7	0.5	1	1	0.861904761904762	1	1	0.806300203702287
1526	4-62	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.620590302856804
1527	4-60	0	1	0.833333333333333	0.833333333333333	0.9	1	1	1	0.938095238095238	0.166666666666667	0.875	0.726870113931982
1528	3-5	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.71338831408153
1529	2-49	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.496198301103732
1530	3-10	0	1	1	1	1	0.5	1	1	0.928571428571429	1	1	0.780659920451543
1531	3-9	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.809307832286361
1532	2-40	0	1	1	1	1	1	1	1	1	0.5	1	0.662142464762603
1533	4-41	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.5	0.875	0.498340905327447
1534	4-3a	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.825075056614033
1535	3-26	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.70534827734157
1536	2-90	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.477795249281769
1537	2-66	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.429250967081439
1538	3-11	0	1	1	1	1	1	1	1	1	0.833333333333333	1	0.629718754421112
1539	2-16	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.666666666666667	1	0.742341715687075
1540	2-83	0	1	0.666666666666667	1	1	1	1	1	0.952380952380952	0.333333333333333	0.75	0.364677049520679
1541	2-38	0	1	1	1	1	1	1	1	1	0.5	1	0.605166307617009
1542	4-3a	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.825075056614033
1543	2-63	0	1	0.666666666666667	1	1	1	1	1	0.952380952380952	0.333333333333333	0.875	0.534961930474644
1544	4-31	0	1	0.833333333333333	1	0.5	0	1	1	0.761904761904762	0.333333333333333	1	0.77989015446555
1545	4-52	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.713805028734366
1546	2-81	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.374329426209962
1547	2-55	0	1	0.833333333333333	1	0.9	1	0.833333333333333	1	0.938095238095238	0.333333333333333	1	0.430805600195448
1548	2-86	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.646668172760832
1549	2-94	0	1	0.833333333333333	1	0.6	0.5	1	1	0.847619047619048	0.333333333333333	0.875	0.520591572608756
1550	2-52	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.85390540475651
1551	4-60	0	1	0.833333333333333	0.833333333333333	0.9	1	1	1	0.938095238095238	0.166666666666667	0.875	0.726870113931982
1552	4-17	0	1	0.666666666666667	0.833333333333333	0.4	0.5	1	1	0.771428571428571	1	1	0.659533956012745
1553	2-97	0	1	0.666666666666667	1	0.8	0.5	0.833333333333333	0.5	0.757142857142857	0.166666666666667	0.875	0.359277292632715
1554	4-14	0	1	1	1	0.9	1	1	1	0.985714285714286	0.833333333333333	1	0.841891412973628
1555	2-63	0	1	0.666666666666667	1	1	1	1	1	0.952380952380952	0.333333333333333	0.875	0.534961930474644
1556	3-10	0	1	1	1	1	0.5	1	1	0.928571428571429	1	1	0.780659920451543
1557	2-79	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.397561662034197
1558	2-56	0	1	0.833333333333333	1	1	1	0.833333333333333	1	0.952380952380952	0.333333333333333	1	0.438478795820307
1559	3-53	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.921828940576584
1560	4-12	0	1	0.666666666666667	0.833333333333333	0.4	1	1	1	0.842857142857143	1	1	0.556707952989193
1561	3-46	0	1	1	1	0.7	1	1	1	0.957142857142857	1	1	0.824134112842269
1562	2-25	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.833333333333333	1	0.895711398449172
1563	4-50	0	1	0.833333333333333	0.833333333333333	0.9	1	0.833333333333333	0.5	0.842857142857143	0.333333333333333	0.875	0.505040680441142
1564	2-98	0	1	0.666666666666667	1	0.8	0.5	0.833333333333333	0.5	0.757142857142857	0.166666666666667	0.875	0.359277292632715
1565	2-92	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.557741145177837
1566	3-30	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.237222594387011
1567	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1568	2-64	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.333223140291697
1569	2-41	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.5	0.875	0.709323605487143
1570	2-84	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.387613653210711
