No.	NAME	nCIR	Rperim	MCD	RCI	NRS	nSpiro	nBridgeHead	nR05	nR06	nR07	nR08	nR09	nR10	nR12	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr11
2101	2-47	15	15	0.607142857142857	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	113.546456647927	94.8972280170809	0
2102	2-49	15	15	0.68	1.58823529411765	1	1	4	3	2	2	0	2	2	0	0	99.1076732907615	77.8107952505011	0
2103	3-10	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.6542339196751	74.3685521994345	0
2104	2-48	11	19	0.625	1.35	2	1	2	3	2	1	0	2	1	0	0	173.632482433026	124.101433439282	0
2105	2-66	16	21	0.676470588235294	1.43478260869565	2	1	4	3	3	2	0	2	2	0	0	156.998126709144	217.599964256776	0
2106	3-19	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.2197847087553	73.8192785972198	0
2107	3-2	5	20	0.714285714285714	1.1	3	0	0	2	2	0	1	0	0	0	0	136.86565142374	192.922614309495	0
2108	4-3a	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
2109	4-20	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	107.525407925408	0
2110	2-84	15	15	0.53125	1.58823529411765	1	1	4	3	2	2	0	2	2	0	0	148.17263554598	115.20822449189	0
2111	3-49	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	61.7003877658289	80.238132619015	0
2112	3-35	4	14	0.636363636363636	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	99.235742035742	71.9354114839409	0
2113	2-64	15	15	0.607142857142857	1.58823529411765	1	1	4	3	2	2	0	2	2	0	0	118.047630345231	92.0653420882523	0
2114	2-50	11	17	0.620689655172414	1.38888888888889	2	1	2	2	2	1	0	2	1	0	0	84.88669893488	108.147734197347	0
2115	4-63	3	18	0.9	1	3	0	0	0	3	0	0	0	0	0	0	0	194.941991341991	0
2116	2-83	25	22	0.705882352941177	1.5	2	2	4	3	3	3	1	2	3	0	0	145.719409205196	204.274223909233	107.584844335418
2117	2-68	16	21	0.766666666666667	1.43478260869565	2	1	4	3	3	2	0	2	2	0	0	125.21345527967	168.010712748425	0
2118	3-43	4	14	0.736842105263158	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	80.4977688977689	59.6877924363219	0
2119	3-44	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	86.3255466755467	63.5353288867995	0
2120	4-28	2	12	0.666666666666667	1	2	0	0	0	2	0	0	0	0	0	0	0	125.60352980353	0
