No.	NAME	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_L	Eta_F_A	Eta_FL	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_y	Eta_sh_x	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_3	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiC	Eta_D_epsiD	Eta_psi1	Eta_D_beta	Eta_D_beta_A
42	Cyclacillin	0.598550724637681	0.652173913043478	0.847826086956522	1.22367956898832	7.86025914535191	0.602845214157788	2.81189724376763	0.122256401902941	0.999843610880458	0.0434714613426286	0.312883435582822	0.0920245398773006	0.0275362320244312	0.897101449275362	0.44375	0.808641975308642	0	-0.154800724637681	0.0884594739667203	0.526655896607432	-10.5	-0.456521739130435
43	Cefuroxime	0.745454545454545	0.689655172413793	1.13793103448276	0.889348922163866	6.88829495344288	1.0238139933724	6.95714805705619	0.239901657139869	0.826556989500927	0.0285019651552044	0.412213740458015	0	0.0482758618891239	0.975862068965517	0.441463414634146	0.9125	0.0534545454545458	-0.250536585365853	0.0633620689655172	0.462897526501767	-7	-0.241379310344828
44	Cefuroxime	0.745454545454545	0.689655172413793	1.13793103448276	0.889348922163866	6.88829495344288	1.0238139933724	6.95714805705619	0.239901657139869	0.826556989500927	0.0285019651552044	0.412213740458015	0	0.0482758618891239	0.975862068965517	0.441463414634146	0.9125	0.0534545454545458	-0.250536585365853	0.0633620689655172	0.462897526501767	-7	-0.241379310344828
45	Cefuroxime	0.745454545454545	0.689655172413793	1.13793103448276	0.889348922163866	6.88829495344288	1.0238139933724	6.95714805705619	0.239901657139869	0.826556989500927	0.0285019651552044	0.412213740458015	0	0.0482758618891239	0.975862068965517	0.441463414634146	0.9125	0.0534545454545458	-0.250536585365853	0.0633620689655172	0.462897526501767	-7	-0.241379310344828
46	Imipenem	0.638738738738739	0.65	0.95	0.972551953091335	5.93791367143937	0.667042671324798	3.54735599375357	0.177367799687678	0.600730334807067	0.0300365167403534	0.416370106761566	0	0.0316666662693024	0.926666666666666	0.442857142857143	0.822222222222222	0.0173712173712173	-0.178510378510378	0.104444444444444	0.505395683453238	-7	-0.35
47	Cefmetazole	0.722463768115942	0.658333333333333	1.10833333333333	1.06685673728903	8.46303625610041	0.885883025779893	5.8883720263079	0.196279067543597	0.820591717591696	0.0273530572530565	0.297235023041475	0.0345622119815668	0.0177777782082558	0.947777777777778	0.441176470588235	0.926881720430107	0.017602657004831	-0.263684640522876	0.0208960573476702	0.508792497069168	-6.25	-0.208333333333333
48	Ceftazidime	0.698275862068964	0.675675675675676	1.17567567567568	1.04843738909747	9.072148047416	1.09768486778858	8.41876013812969	0.227534057787289	1.26709181445431	0.0342457247149814	0.362068965517241	0.028735632183908	0.0297297295182943	0.924324324324324	0.445098039215685	0.8775	0.0482758620689657	-0.204901960784313	0.0468243243243244	0.508771929824562	-6.5	-0.175675675675676
49	Cefoperazone	0.698095238095237	0.681818181818182	1.17045454545455	1.08824224121845	10.9560547064745	1.19291533874216	10.054092101971	0.228502093226615	1.33385319155448	0.0303148452626018	0.420880913539967	0	0.0356060601770878	0.933333333333333	0.443089430894307	0.89290780141844	0.0408302808302811	-0.214175526370649	0.0404255319148936	0.497564935064935	-8.5	-0.193181818181818
50	Imipenem	0.638738738738739	0.65	0.95	0.972551953091335	5.93791367143937	0.667042671324798	3.54735599375357	0.177367799687678	0.600730334807067	0.0300365167403534	0.416370106761566	0	0.0316666662693024	0.926666666666666	0.442857142857143	0.822222222222222	0.0173712173712173	-0.178510378510378	0.104444444444444	0.505395683453238	-7	-0.35
51	Ofloxacin	0.643064182194617	0.701923076923077	1.16346153846154	0.933886951332899	6.3368235280539	0.97270993796309	6.04309432505582	0.232426704809839	0.878082146890281	0.0337723902650108	0.482272360999194	0	0.0454212464392185	0.906959706959707	0.446478873239437	0.884479717813051	0.0508243232880913	-0.145760985667089	0.0224799891466558	0.501211631663974	-6.25	-0.240384615384615
52	Nocardicin B	0.688135593220338	0.645833333333333	1.21527777777778	0.845853072491822	7.72935173369317	1.18699233399941	9.386948224635	0.260748561795417	1.05570004167183	0.0293250011575509	0.397515527950311	0	0.0527777783572674	0.936111111111111	0.441176470588234	0.845238095238095	0.0656003819527337	-0.18135874067937	0.0908730158730159	0.477744807121662	-2.75	-0.0763888888888889
