No.	NAME	J_G	VE2_G	VE2sign_G	VE3sign_G	H_RG	J_RG	SpPosA_RG	SM5_RG	VE1_RG	VE2_RG	VE3_RG	VE1sign_RG	VE2sign_RG	VE3sign_RG	J_G/D	SpPosA_G/D	SpMaxA_G/D	SM3_G/D	VE1_G/D	VE2_G/D	VE1sign_G/D	VE2sign_G/D	VE3sign_G/D	Chi_Coulomb	J_Coulomb	HyWi_Coulomb	SpAbs_Coulomb	SpMaxA_Coulomb	VE1_Coulomb	VE2_Coulomb	VE3_Coulomb	VE1sign_Coulomb	VE2sign_Coulomb	VE3sign_Coulomb	VR2_Coulomb
146	Aztreonam	2.90338629667196	0.132996630022186	0.00213570528948159	-4.45905795094191	33268.72970944	175.616665037281	0.399334650945081	6.74920611632228	2.13312918715286	0.0496076555151828	1.41477377986021	0.164129299953252	0.00381696046402912	-3.37469969629045	15.8378224166164	1.06805312597033	0.926716840311317	11.0543832037048	5.47119338620776	0.127237055493204	0.0557513964465653	0.00129654410340849	-5.39110027520492	0.178813602490621	2.62259950319577	12.4296707325423	2129.64695010768	13.5400457971923	3.33266204620994	0.0775037685165101	2.24800248501297	0.765667509060256	0.0178062211409362	-0.498627061353301	1.01723645365143
147	Cefaclor	2.20252262744343	0.153121098137614	0.00376312362682172	-3.16812422247267	20032.32526166	106.65862567424	0.413434677873437	6.51798124397366	2.16115013349632	0.0584094630674681	1.23833427077269	0.148094073964535	0.00400254253958204	-3.06901058242613	10.537552975458	1.06661508952734	0.957852947243081	10.7026160493239	5.0534785953852	0.136580502577978	0.0682140279450209	0.00184362237689246	-4.31466732930188	0.176160994060178	1.71756969208674	12.4092144776472	1862.53021090339	15.807417374068	3.95422445665629	0.106870931260981	2.20912687610421	0.253639874265415	0.00685513173690312	-2.20439514186332	1.04540479991135
148	Aztreonam	2.8608827583319	0.140501056579802	0.000195220740195167	-8.92682403406773	34389.8367062	176.468448260983	0.398812164217977	6.70526448913051	2.03179983967055	0.0472511590621058	1.32388796338762	0.196979051950422	0.00458090818489353	-3.03399381560723	15.7157024618733	1.07446328341805	0.934215226140316	11.0783735285675	5.4181268777073	0.126002950644356	0.0805893723572124	0.00187417145016773	-4.70300557424602	0.179762146439831	2.63651148111753	12.4319742033267	2129.7012723796	13.5554371966839	3.37113258582116	0.0783984322283992	2.26943608427688	0.742941584346826	0.0172777112638797	-0.554894929296103	1.01720351166497
149	LY097964	2.14396452666574	0.13754564383315	0.00408460320479299	-3.14716053964899	29656.35186606	124.742812592085	0.406221699895192	6.47492175517741	2.06905810471926	0.0517264526179815	1.26309074797878	0.166374362015865	0.00415935905039663	-3.11565438749105	11.3912518090889	1.08514719351768	0.954938962206336	10.927836062588	5.23055218789912	0.130763804697478	0.24003043367473	0.00600076084186824	-2.47893476083599	0.184163549889126	1.93371727383582	12.3428286396317	1945.03192645315	13.7713078675613	3.19731057992731	0.0799327644981828	2.01913929904018	1.46475794756719	0.0366189486891798	0.66306345242284	1.04380901156893
150	LY097964	2.04731157686453	0.145631158701626	0.00250535977244511	-3.99627963528271	32445.87049106	127.516347559049	0.405972636431456	6.40716300848675	2.01004738186879	0.0502511845467197	1.21282517981453	0.196314249976027	0.00490785624940066	-2.82819269948404	11.0697690048117	1.07757838125196	0.975596176238759	10.9910576555856	5.46360857206088	0.136590214301522	0.059840365377211	0.00149600913443028	-4.89202305356755	0.187844625895501	1.97236857190277	12.3397495781643	1944.93644086857	13.5291274829129	3.32023642521754	0.0830059106304384	2.08467603904693	1.45749703950822	0.0364374259877054	0.654430725143622	1.04373980831224
151	Ceftazidime	1.95490030190169	0.116389860168933	0.000624055110138862	-8.35982456326706	103973.65805638	190.746344732187	0.412238148159346	7.08197827652771	2.03844137802269	0.0351455410003913	1.79392971326356	0.176355907576123	0.00304061909614005	-4.37093792890163	13.5795756440957	1.08466529478536	0.930181998758375	11.9640565902932	6.0118622150088	0.103652796810497	0.210103108665344	0.00362246739078179	-3.92989162624986	0.236508555022898	2.88540437127936	12.4811963962326	2450.50488128799	10.5263076670259	3.77950214397512	0.0651638300685365	3.3491206570154	0.619392853313669	0.0106791871260977	-1.20659609760746	1.04615774216242
152	Nocardicin B	2.54434155879474	0.119090477177226	0.00387217570335384	-3.78303830341988	88414.9799099802	225.984900598957	0.435735535010017	7.3351810196512	2.16522252252239	0.0366986868224135	1.97946496210024	0.230093080789227	0.00389988272524113	-3.76476900165602	18.3113135908633	1.05372576741126	0.851137773835061	11.7521331965226	6.45088840490077	0.109337091608488	0.279064741998129	0.00472991088132422	-3.27034067881684	0.256591465582549	3.91301985013387	11.4473258138349	1756.31489677253	6.66437994879265	3.61527905788664	0.0612759162353668	3.2930367701803	1.06334756033748	0.0180228400057201	0.157383910083118	1.02978336587591
153	Cefacetrile	2.44183836766777	0.148278288563465	0.00155228302846464	-4.42736366239651	24087.04483852	126.031852917115	0.406880313768175	6.29934987086591	2.32775164939608	0.0665071899827453	1.28427825068353	0.254284115462178	0.00726526044177651	-2.08138268920436	11.820016227709	1.05826037570353	1.01609019705954	10.7120381715666	4.65435267830558	0.132981505094445	0.0883142506070373	0.00252326430305821	-3.68889224175664	0.177236586623657	2.12683903948389	11.8525971451406	1484.23234518402	13.9237616075975	3.07987297432966	0.0879963706951332	1.70986481720006	0.87107310795708	0.024887803084488	-0.209808878053282	1.02175361130416
154	Aztreonam	2.92226940013328	0.134470511356035	0.00310643665995491	-3.75935687895633	33276.75448616	172.636312260173	0.39975575153924	6.82160724121085	2.41604542327003	0.0561871028667449	1.6473519087262	0.122262799919804	0.00284332092836754	-3.92463434972831	15.9625944552119	1.07076209003821	0.922303970161251	11.0404840748263	5.63832541171903	0.131123846784163	0.227918911379031	0.00530043979951235	-2.76154444386002	0.177165598822138	2.5984287827247	12.4333273645845	2129.75411269958	13.6990454450811	3.44908975006123	0.0802113895363076	2.31212933045406	0.670088843509953	0.0155834614769756	-0.747630734566832	1.01725255016322
155	BL-S217	2.18068092681204	0.128546357606301	0.0022201107597062	-4.66744378079237	58043.56246592	167.749113956864	0.412933846047912	6.77377074414679	2.40630911617598	0.0501314399203328	1.83048679855076	0.263616314719703	0.00549200655666048	-2.77933303475841	13.7824413240974	1.06635597931898	0.932069106217201	11.4026820635985	5.96579603235123	0.124287417340651	0.209057772485999	0.00435537026012497	-3.26272167038571	0.230196133425252	2.87745166781565	12.3661462185372	2066.32313582969	11.5117351744932	3.58628258468895	0.0747142205143531	2.66229363474426	0.925219733846177	0.0192754111217953	-0.162024541503962	1.03520602305311
