No.	NAME	SsCH3	SssCH2	SdsCH	SsssCH	SdssC	SaasC	SssssC	SsssN	SaaN	SaaS	NssCH2	NdsCH	NaaCH	NdssC	NaasC	NssssC	NsNH2	NssNH	NsssN	NdsN	NsNH3+	NaasN	NsOH	minssCH2	minsssCH	mindssC	minaasC	minsssN	mindO	MaxsCH3	MaxssCH2	MaxaaCH	MaxsssCH	MaxdssC	MaxaasC	MaxssNH	MaxsssN	MaxaaN	MaxsOH	MaxssO	gmax
176	Moxalactam	2.66540878566913	-0.215401376008131	0	-3.286573581767	-5.87512814920615	0.20091596056062	-2.19981253149408	0.765880168412636	10.9462490983145	0	2	0	4	6	3	1	0	1	1	0	0	1	1	-0.26498285264519	-1.86927414656082	-1.77265728558405	-0.15644707091181	0.765880168412636	11.7354540626385	1.59367787997403	0.0495814766370593	1.20275906291783	-1.41729943520618	0.194754944730595	0.387325683647556	2.22752464585212	0.765880168412636	3.78583678936156	9.42793380407273	5.65839945333046	13.1471190231526
177	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
178	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
179	Cyclacillin	3.56868703461642	4.51662591849055	0	-1.94929497879399	-1.77354066555839	0	-1.29452215608466	1.33489969135802	0	0	5	0	0	3	0	2	0	1	1	0	1	0	0	0.730586905286806	-0.956903397161334	-1.24626340743291	0	1.33489969135802	11.3641732947388	1.78434351730821	1.11175074241001	0	-0.336536517384732	-0.189346182917611	0	2.81822467876039	1.33489969135802	0	0	0	12.5516506046863
180	Ofloxacin	3.94801138691412	3.39232987709674	1.2842271877887	-0.181532554379777	-2.77459381270619	0.557715367011003	0	3.62453735197783	0	0	5	1	1	3	5	0	0	0	2	0	0	0	0	0.27073829994961	-0.181532554379777	-1.56257458847737	-0.568746220710507	1.68547760770975	11.3131659813104	2.09269376912626	0.878717205597166	1.1309693877551	-0.181532554379777	-0.465233982354292	0.445763888888889	0	1.93905974426808	0	0	5.84393872826908	14.9748308767952
181	Ceftizoxime	1.27099078507538	0.394610794348348	1.40506561092961	-1.39144717918031	-2.94041377862491	0.47330429869887	0	1.09961600844041	3.96662756303674	1.12818132191148	1	1	1	5	2	0	1	1	1	1	0	0	0	0.394610794348348	-0.876306689342404	-1.42776906268068	0.219533913874192	1.09961600844041	11.0748950279144	1.27099078507538	0.394610794348348	1.53567891582457	-0.515140489837911	-0.126688660031913	0.253770384824678	2.53895502645503	1.09961600844041	3.96662756303674	0	4.65930521241759	12.4601601473923
182	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
183	Penicillin N	3.43837258003987	0.57917787211686	0	-3.09467202018293	-3.39419108045998	0	-0.700172059507151	1.24309314694912	0	0	3	0	0	4	0	1	0	1	1	0	1	0	0	0.0632680618543711	-1.02486795413247	-1.30843125151813	0	1.24309314694912	10.5426398549047	1.71918629001994	0.309105423805325	0	-0.427629755605947	-0.380690665154951	0	2.59000425170068	1.24309314694912	0	0	0	12.1634653197699
184	Ceftazidime	2.36484595907694	0.538486553528559	0	-1.77378029992861	-4.73322087425793	0.127326342240335	-1.8643296574301	1.09785100997087	3.97964542485081	1.0135615002702	2	0	6	7	2	1	1	1	1	1	0	1	0	0.248305047424434	-1.0758225728563	-1.56640289419973	0.00608030951593674	1.09785100997087	11.2540834350262	1.18242297953847	0.290181506104125	1.82394241934334	-0.697957727072311	0.494155506210674	0.121246032724398	2.52053615871662	1.09785100997087	3.97964542485081	0	5.01634544348005	13.0987030900551
185	Cefazolin	1.83452766684843	0.625187529032954	0	-1.30176738416773	-1.885056140623	1.54200371125151	0	1.18721387629126	18.3858120437366	1.41460958662098	3	0	1	5	2	0	0	1	1	0	0	1	0	-0.138387712013878	-0.807087127805924	-1.41096228358449	0.724535480781249	1.18721387629126	11.7365097686738	1.83452766684843	0.404675138573948	1.28192998128517	-0.494680256361804	0.579555059155078	0.817468230470263	2.61343498806522	1.18721387629126	4.00320213805929	0	0	12.5702996488107
186	Ofloxacin	3.94801138691412	3.39232987709674	1.2842271877887	-0.181532554379777	-2.77459381270619	0.557715367011003	0	3.62453735197783	0	0	5	1	1	3	5	0	0	0	2	0	0	0	0	0.27073829994961	-0.181532554379777	-1.56257458847737	-0.568746220710507	1.68547760770975	11.3131659813104	2.09269376912626	0.878717205597166	1.1309693877551	-0.181532554379777	-0.465233982354292	0.445763888888889	0	1.93905974426808	0	0	5.84393872826908	14.9748308767952
