No.	NAME	TDB03u	TDB05u	TDB06u	TDB07u	TDB08u	TDB09u	TDB03m	TDB05m	TDB06m	TDB07m	TDB08m	TDB09m	TDB10m	TDB02v	TDB03v	TDB05v	TDB06v	TDB09v	TDB10v	TDB03e	TDB04e	TDB05e	TDB06e	TDB07e	TDB08e	TDB09e	TDB10e	TDB01p	TDB02p	TDB03p	TDB04p	TDB05p	TDB06p	TDB07p	TDB09p	TDB01i	TDB02i	TDB03i	TDB04i	TDB05i	TDB06i	TDB07i	TDB08i	TDB09i	TDB01s	TDB02s	TDB03s	TDB04s	TDB05s	TDB06s	TDB07s	TDB08s	TDB09s	TDB10s	TDB01r	TDB04r	TDB07r	TDB08r
263	Cefacetrile	3.17419038545429	4.91801713884907	5.73833685535111	6.49368144104675	7.395283213752	8.44728576265802	2.34397452268513	3.53707042728226	3.83753801648869	4.01247410787334	3.90754640007038	3.95690748175255	4.66886779350592	1.31863296322791	1.74160545988987	2.27103734315632	2.70062979844659	3.21672582709762	3.4556174433128	3.51632517128393	4.41074920598211	5.50851112911786	6.42041510427782	7.22220170166057	8.18911303648961	9.64601363963777	10.2870185631909	0.932436653780852	1.33393277805949	1.76361727631884	2.03971696487378	2.22942549444907	2.70654563008213	2.91594728087301	3.03920557838634	1.51080472371378	2.78861370500697	3.94513106950162	4.9819940995693	6.26368520518337	7.32915116348421	8.38324908928454	9.44889671285508	11.2598629381363	5.44355141795964	11.2201791398974	14.3477557431308	19.2009673657404	29.6894802061302	31.1062885234113	41.1654461312895	51.7804751969901	54.5447483644293	67.6367662779327	1.09194680483845	2.61994862462066	3.89964051076286	4.10018736023665
264	Cefuroxime	3.17848351061696	4.80022698986602	5.67332263822084	6.37383765375427	7.28236341327107	8.12038093157863	2.47657182046163	3.75084314462678	3.84543975063778	4.16761580387038	4.49363001974045	4.29506254013075	5.25549865687647	1.33506522398836	1.7834427460559	2.40362978672787	2.66817973663031	3.5262904194388	4.16718739444572	3.52679561116154	4.51525973601043	5.51893723773189	6.49113299882616	7.01383212099459	7.92799819219629	9.15351423931568	10.027647573483	0.874506259777857	1.30711410518755	1.76354608124117	2.05405363126391	2.23324392046117	2.56970882155216	2.89878803163542	3.50568616756363	1.53363297203069	2.79628142158219	3.93714777930391	5.00739014146835	6.09723978751119	7.37880869338254	8.12747615992237	9.34302670257698	10.5931220355417	5.58934747912098	11.519320211599	13.9118579127959	19.7563004637661	29.2411368919655	28.9237935493379	34.2505154007419	39.7622651683127	39.8362703170779	46.9561922615843	1.06992242149323	2.71981353712961	3.81352159467768	4.23127333308569
265	Penicillin N	3.09883682802057	4.70098085846513	5.60555620930289	6.2738026293783	7.1873554770525	7.71663786872304	1.61193147496953	2.0250189719115	2.2194188345018	3.02074145359659	3.2017979586074	3.2979876030128	3.74648901644599	1.19995017044543	1.36908232386401	1.67305888720268	1.96105485724841	2.76525320710883	2.84461972455676	3.25853588029191	4.04898833368175	5.06719926844746	5.9919666416508	6.73097098807226	7.6557354892447	8.00890404506369	9.00344233127493	0.875051535891469	1.28238784087831	1.51378181775591	1.51214090014652	1.74182022979949	2.08339023424305	2.69673422335363	3.06326422570355	1.50691378196541	2.73473479555348	3.87153852046285	4.97057903219996	6.16286092138552	7.51572063707426	8.09242759367881	9.14820121426415	9.98844797454113	4.4874028544662	9.14863545368476	11.0951639601766	14.9098825253523	23.2936627210042	22.2834397861512	29.9320840002508	33.6375744015064	26.9063251933725	38.9984098098343	1.00415687363511	1.97827010489839	3.41765810598845	3.84107597040551
266	Penicillin N	3.09404804423338	4.79301032108864	5.62566335662882	6.11502356024534	6.73391330547357	7.13861114139662	1.6216531423059	2.03273255965079	2.18931837841581	2.8450262778448	2.83247240736929	2.69155327710701	2.91688244010719	1.19796358227649	1.37168971294936	1.68669005629455	1.93667371621972	2.35120600968691	2.25366119951591	3.2535857649617	4.05563962213609	5.15932127420485	6.01864898879955	6.56502459146899	7.1578060344008	7.33425413462274	7.61639157812629	0.874282783964081	1.28080060944313	1.51527258945894	1.52521146433849	1.76168163173593	2.06114229990715	2.5675023838137	2.66185418940876	1.50575778982451	2.7321375764842	3.86522820605783	4.96638110019039	6.28829525365731	7.56254292889519	7.90883255290034	8.57630102508512	9.31978035879053	4.48472146738165	9.12871513559568	11.0745985570486	14.9797148371771	23.436743138086	22.5228662203862	29.9007882503549	31.918841525982	23.6326640722273	31.0220852549582	1.00319349253231	1.99507085595975	3.27394255262225	3.51227182384598
267	Cefuroxime	3.197364475245	4.86788660525673	5.73671383947918	6.50542831578543	7.38625861077136	8.21865418145594	2.48608336070888	3.78058507536958	3.88818844356453	4.2299981176937	4.51414081763013	4.32300126808966	5.30093940045733	1.34224598696686	1.79170194289249	2.42343717792005	2.69864585091035	3.54211418836623	4.18804042459435	3.54540905881131	4.55469200172449	5.58617351161692	6.55489448121285	7.17279348184471	8.06917572884568	9.28718169712992	10.1100830656597	0.878104748451167	1.314207670191	1.77310307581662	2.0657429807661	2.25158790217745	2.590744678216	2.9172209022608	3.50856509649616	1.53740969560491	2.80630057476596	3.9609009523828	5.06806912660793	6.19235037459224	7.46221814036359	8.3258618510501	9.50317401916891	10.7490421681053	5.60049703848004	11.5496151114292	13.9338570730338	19.8696760694062	29.5363006873148	29.148990909432	35.3898225527455	40.7055792516846	40.3193554077967	47.448231167944	1.07357504864105	2.73719126943787	3.87276139521612	4.2720681216794
268	Cephaloridine	3.19133848931202	4.79305371393882	5.56742041299673	6.39210662457572	7.31058424266908	8.2828023760353	2.00145409864789	3.25369089144793	3.38125166441468	4.43874502185238	4.21086702032222	3.92488957813985	5.02394544082696	1.43231565239911	1.65482015419839	2.26507754622981	2.71860313974488	3.64756571318525	4.0772204118194	3.32280835975598	4.17687694498846	5.17207024866033	5.91511206728075	6.75703161240294	7.67100524436856	8.75987965386582	9.41330635208529	1.03626830232334	1.55442250653613	1.83036539590318	2.02374442392889	2.3650810723114	2.98971703467856	3.57238972956397	4.09878731037833	1.48880280265352	2.73776810834089	3.86347339254881	4.96791899039531	6.0281137347391	6.95360776706815	7.81736388342882	9.11149417627396	10.3848097729912	4.54336149357005	8.82757928615303	10.5445494593228	14.0145206243573	23.5243849823197	21.6969955481655	25.3941198412214	32.2888964542329	30.6667139887289	30.9605634967711	1.12469109485678	2.43850090996115	4.10793663690965	4.2976946640837
269	Cefoxitin	3.21490778080061	4.81453524971466	5.73586551990442	6.41085836645301	7.26500592067802	8.12498089446031	2.54928398697758	3.3189542353048	3.97234705923771	4.51965011042329	4.19620378616689	3.65353918215393	4.72391993223256	1.38839501242573	1.81572082895955	2.20421007600098	2.72352241410537	3.14486344661183	3.6036489985542	3.53886405880396	4.3909469338056	5.40107462858671	6.3953881517946	6.93186554756067	7.90812249396057	8.68219345795761	9.43881352090359	0.972595402125599	1.44474217849699	1.88369419617353	2.0409476211235	2.18151171594363	2.80246301992564	3.16315779142343	3.55708425474153	1.51711701296325	2.77467805282743	3.89262651769974	4.98332308347373	6.15538583870788	7.26371778847962	8.10039529680379	9.10679279996351	10.4247440292302	5.15483165607163	10.9556229460962	13.3292122844511	17.2924030099687	26.2665962246583	28.4322923567167	31.1504260353062	37.9469602086702	33.1516838802151	33.2144508879093	1.11209325700394	2.61361673504568	3.86953003249153	4.25977116052673
270	Cefoxitin	3.21063489898113	4.82106351241391	5.72561702193283	6.40164408967239	7.35681742236699	8.08813757834452	2.54141030395646	3.34291781622088	4.01382783975962	4.54238951368494	4.17086357569587	3.62459689731739	4.64336649088856	1.38588280439035	1.8168695047074	2.21823674170599	2.73240569465292	3.13583145724463	3.65327519071198	3.53217381768606	4.39368615443334	5.43117347670492	6.38984851278947	6.92722652181272	8.030005741743	8.65523205922718	9.52422123078954	0.97208748812494	1.44274653693857	1.88485219950302	2.04711453035217	2.19438789745459	2.81232053140341	3.18002628804482	3.5240311437448	1.51590129668522	2.77114980264931	3.88430175734302	4.97520345857537	6.1654399153669	7.24559114199921	8.06920892524016	9.25810565640139	10.3922027923215	5.14888324372648	10.9364459922715	13.2868221982649	17.4420488446958	26.6978450881459	28.4865107992714	31.3561376292681	38.6611304021159	33.196148721539	33.8339253693001	1.11115094110679	2.62218156843201	3.88811584978464	4.27351705385906
271	LY097964	3.23358480308583	4.98342717201009	5.8210347266112	6.65355752545425	7.41740572362797	8.13512350214015	2.70475195376271	4.01686709281158	3.75602259932986	4.36416370911208	5.85187982640836	4.4952092171479	5.02754499229531	1.40117330692794	1.89828543598319	2.41185459531379	2.68897306501925	3.40610774763537	3.8662160334265	3.54862654769312	4.48605689312873	5.68111961376471	6.4596387932453	7.25210175512786	8.00928812061547	8.77144627195031	9.34583669155869	0.98945074592094	1.44970782653297	1.9496327296987	2.16752816343408	2.31623630752617	2.77579730044732	3.30453694516802	3.68237068573472	1.55215939059089	2.80750224452927	3.99073706630853	5.07861149190622	6.36855800482417	7.60718920378828	8.50216810591039	9.3844020471861	10.6146072280939	5.35185573572419	10.3185215218037	14.1747375890875	19.1481869306944	29.5473165402289	27.9005910299377	27.6953959897729	36.9899201066512	35.0183633390472	41.4138723363959	1.13447541232904	2.75880982516904	4.08002774034139	4.74304554618839
272	Nocardicin B	3.09295634911149	4.76451713075358	5.66270053940638	6.50344572528491	7.26916930314724	8.19340604973077	1.7264397359893	2.54787931097241	2.92303253295282	3.45234807392012	3.61254959293214	4.31127669066007	5.35924082014065	1.2889753018742	1.49827338659755	2.11734008925255	2.54284808756869	3.59619028690959	4.27292991276949	3.30418205775081	4.21678867792021	5.2248975968247	6.08061361140039	6.97968749541474	7.84740594379335	8.99153132342818	9.75967168946007	0.8343529111711	1.2587032660713	1.4867867369586	1.72245949369903	2.04301304104411	2.52505771614871	2.81829464346437	3.43263662887344	1.49390711816484	2.73027780824421	3.86360281229256	4.9470983905008	6.12229744612929	7.17775337918401	8.25646634022846	9.40773971155634	10.6258156371442	5.31301279593837	10.172724921209	12.9007624827057	17.636190417391	25.5974190583122	24.5964434638078	33.3126882048045	37.5714812108792	39.12477136958	49.9362183683576	0.999062583680299	2.26160052918013	3.68254344927585	3.99200021162165
273	Ceftizoxime	3.22249889883569	4.99980774782082	5.72719190316245	6.46041841623496	7.1707406980445	7.82640790647889	2.65806204681405	4.39900747483024	4.02635117293665	4.48473573081943	5.87362881139166	4.40792592087741	4.78217155209997	1.43808620837882	1.85473235166871	2.49562329073637	2.78507669058096	3.21267999522903	3.55038383179535	3.56552463685524	4.61048569961965	5.74343958991861	6.41247793792727	7.10969668874662	7.87319152253056	8.43307586608044	8.82931713045889	1.00474368493644	1.4805607649588	1.87984236062439	2.23275309736337	2.36031119578972	2.8438796689545	3.28398838567809	3.47048564759132	1.56401344485811	2.82692499747013	4.03592155232407	5.10350079973527	6.41782872819667	7.49252239697587	8.16797722487582	9.1117932319804	10.3134746547606	5.55762514855817	10.9951823549241	14.8258544655819	21.0286007281837	30.8911438416183	28.6539426857268	28.8139207471365	38.4634121303368	34.0321776536703	42.254796735846	1.15930197599691	2.90095092551385	4.07786529456965	4.68008843595557
274	Piperacillin	3.13905939102593	4.73518892752005	5.59119867528385	6.34943153682704	7.06923035658838	8.04607806823632	1.8506064025863	2.30668163376184	2.84324587971966	3.74859338632681	4.10657328473253	3.89360543821819	4.11645205898702	1.2898587039411	1.54729434929932	1.88654658280389	2.44737004054824	3.5367723142812	3.65514967807625	3.32457303922352	4.20475188883149	5.16063652188538	6.00389307130823	6.81016935631573	7.62112257313972	8.33139045052978	9.20593793443385	0.882281398750087	1.33345624332437	1.63091170254042	1.7171735882755	1.89081300601687	2.4712506990721	3.14693920854073	3.7762327868468	1.50406531798645	2.78755871821069	3.89208505834888	5.00911175760064	6.20791145223075	7.29370419739854	7.96664819654342	8.90577165494195	10.1293385456049	4.49496453372399	8.5927261915447	11.9838979319148	16.8058206157081	24.7259522721116	22.2217553132841	27.6830729327217	34.456475149753	27.8839878097166	34.9156553710975	1.02555305811884	2.25504884388698	3.93826375023971	4.29679110010968
275	Aztreonam	3.16865909665903	4.80844671800774	5.71570068658071	6.40956986236603	7.1805252822933	7.97901479361282	2.42612228662883	3.77878905629816	4.70822355760973	5.0554668118241	5.14310410467848	5.34083422784233	4.83971700611932	1.31619309541785	1.60607416538558	2.46651502260096	3.17620711377492	3.32862638123998	2.84664777759188	3.59402257535187	4.47731325413989	5.55992944242588	6.46139709585276	7.43732438760259	7.81075465992574	8.81148353369129	9.71914274560655	0.918064916620276	1.26968842009457	1.55192887350205	1.65144629200158	2.31755544993211	3.05101131509581	3.24390887825182	3.51990164068622	1.55723832223902	2.86849344951262	4.04287690969755	5.16091597474355	6.18349190606613	7.15232055283022	8.3738591172226	9.06818481424789	10.3173115324523	5.45132898535738	15.5276690193107	16.6240386221578	26.0611297851267	28.1167545365722	31.0995289400038	46.4712288739685	32.264549627689	47.8462795232662	46.87720666137	1.12466129529789	2.34174020963191	4.25371141849163	4.39783794235818
276	Cefoxitin	3.21333238061468	4.80710874949571	5.72217560643081	6.3843903374608	7.35197797967426	8.14868619536266	2.54329432006481	3.32263939480573	3.94551364686444	4.46474967448722	4.15050740120352	3.62334176884014	4.69765566286168	1.38672178186025	1.81773423739912	2.20658814971781	2.71559567874796	3.12060337780204	3.6017043975956	3.53497949214078	4.39576637515126	5.41564711640983	6.37779217622443	6.9145451862761	8.02062216176894	8.70198620300914	9.4232844913696	0.97229448199973	1.44326818474448	1.88620143717212	2.04382338713956	2.17546464251557	2.79228173320977	3.14048799754026	3.52378429814089	1.51658984874664	2.77274390638999	3.8878617911481	4.97875833014152	6.15387821781158	7.24686687037343	8.05673020719829	9.25788546536259	10.486952325471	5.15148952792497	10.9431583637445	13.2914996202848	17.4589242353951	26.7036509139581	28.3828365545304	31.4319440076191	38.7267668414315	33.0823108156335	33.3462334276559	1.11161290081346	2.6207526481126	3.86055579684218	4.25473398811484
277	Ceftriaxone	3.25567410439817	4.88749872397127	5.56142118744134	6.31601446795079	6.89812831945587	7.49590340046337	3.10480442072538	4.31230746729122	4.04373921075229	4.81901533202246	5.38662824742825	5.07275409976812	5.5011321929297	1.46158123410031	2.0009173964221	2.5505099864693	2.74111033787397	3.39278014686442	3.74193994433478	3.63765276331289	4.53872268867228	5.53170931291826	6.20991068556349	6.98824164524634	7.59996482411343	8.40335713156488	8.97575599078693	1.01770714217418	1.48949190448733	2.0586961840469	2.40397572687737	2.51417696109866	2.77923146887687	3.34408805620243	3.40418004940968	1.58173220340486	2.86975632622913	4.03450192400324	5.0630967037462	6.14197280181709	7.22618098538603	7.9867238656095	8.79294196059421	9.783029272897	5.63075151490302	11.2155640145874	16.5484245371936	19.1411877887045	27.4610764191972	26.242790707579	28.6406843455151	35.8481810935104	41.7753038445449	48.0135758070846	1.181583201865	2.949759605364	4.20839284788554	4.48778451298671
278	Cefacetrile	3.17606270682457	4.98098721691026	5.90441590560455	6.70452577139558	7.56340251457468	8.58898399365041	2.3522350482049	3.59555478886713	3.9858066828648	4.16181202636828	3.94373232981727	3.91271302049486	4.62115197499258	1.31884641635441	1.74736038283238	2.31690869303001	2.78554360201106	3.20701111210437	3.47433728023011	3.51901827958316	4.42753225195431	5.57563413452641	6.6093066698034	7.46839606861953	8.37818173391684	9.76676554888082	10.3578332429803	0.932046001559873	1.3333627241604	1.7679688329909	2.05890854965908	2.27720491636274	2.7930627754554	3.0013124342992	3.0548463495519	1.51144954887382	2.78970785620354	3.94649414514734	4.9951618703189	6.33140614097977	7.5352473471484	8.65508495352607	9.67137196368108	11.4687805524861	5.44527593509889	11.2184930586035	14.3701460934469	19.302411854212	29.8558404525239	32.006304887093	43.4757359538072	52.8530915313769	54.1222888519757	65.2704742473527	1.09194747582159	2.64091733207555	4.0224321946773	4.16847032156408
279	Cephalosporin C	3.09157690348398	4.78004729026006	5.48989210403636	5.974512328224	6.3784801385793	6.83086312113263	1.88408383726618	2.9426079673109	2.8099371073934	3.13825713339545	3.09797281194522	3.21319590598352	3.29048659035617	1.2136451981966	1.47189488483887	2.00140314431956	2.12914539456538	2.5758172254008	2.46073375741072	3.28379577644363	4.18884887383213	5.3006719079827	6.03410602000275	6.71393896402053	6.83301458454594	7.45938220936554	7.5149891643527	0.871632598590962	1.24736620279246	1.54111863799264	1.67341500977776	1.99021983003303	2.14946769065453	2.43629983161898	2.63900780466456	1.51586791689327	2.76365189802222	3.87090446732342	4.95951217630615	6.16621312108891	7.21556311434428	7.8126937925538	8.17467996169787	8.91213764229399	5.08503824191447	10.6010370559301	11.9029436123498	15.7426974924984	25.8569607012005	26.4977912870552	37.6138210767854	33.4433547602689	31.6961397433762	36.5014505344953	1.0325077590152	2.18282617253858	3.33020267436647	3.38896786504958
