No.	NAME	G1u	G2u	G3u	E1u	E2u	E3u	L3m	G1m	G2m	G3m	E1m	E2m	E3m	L2v	P1v	P2v	G1v	G2v	G3v	E1v	E2v	E3v	G1e	G2e	G3e	E2e	E3e	L3p	G1p	G2p	G3p	E1p	E2p	E3p	L1i	G1i	G2i	G3i	L1s	L2s	P1s	P2s	G1s	G2s	G3s	E1s	E2s	E3s	Tu	Ts	Ae	Gu	Gm	Du	Dm	Dv	Dp	Ds
80	Moxalactam	0.165276697243779	0.200247583833123	0.25081594618671	0.454096155818728	0.327003828252146	0.415478330131274	1.79672856626589	0.148040955482933	0.148040955482933	0.165276697243779	0.47733836518712	0.263059747691457	0.291307815442376	4.03544349738522	0.744560797003122	0.177360162703813	0.15709347966205	0.148040955482933	0.173513459530581	0.437316214325507	0.258135181642779	0.327448417906317	0.148040955482933	0.152864446129798	0.148040955482933	0.325702706723756	0.46151066828206	1.68783170906543	0.148040955482933	0.148040955482933	0.165276697243779	0.432150647085619	0.252859527958655	0.291900956667832	17.7732153464607	0.15709347966205	0.161199088323365	0.169372076872468	17.8117024740588	4.86651229401262	0.707317520270767	0.193253250955737	0.148040955482933	0.165276697243779	0.152864446129798	0.495300421898789	0.453705030486883	0.451222208376986	24.0950494292387	25.1820462007506	127.728192075597	0.202478081971029	0.153576628142416	0.398859438067383	0.343901976106984	0.340966604624868	0.325637043904035	0.466742553587553
81	Imipenem	0.175428647161764	0.175428647161764	0.188704122661139	0.566879356085971	0.456820221065748	0.412571203093481	1.3436586433984	0.161044771756444	0.175428647161764	0.188704122661139	0.340922764665253	0.528074639209405	0.376484789167037	2.84825375255807	0.714091290040634	0.201851990591519	0.161044771756444	0.161044771756444	0.161044771756444	0.396650784549819	0.427124974489184	0.338999127756644	0.161044771756444	0.161044771756444	0.175428647161764	0.485096419949441	0.440992897843317	1.1894648489106	0.161044771756444	0.161044771756444	0.175428647161764	0.415628570879698	0.411017735537545	0.323570237895365	12.4362900373724	0.161044771756444	0.188704122661139	0.195493214254987	11.3930795464739	4.28507218165556	0.668845862341989	0.251560852080955	0.161044771756444	0.175428647161764	0.161044771756444	0.507796635121849	0.870883494230539	0.349374513577728	16.2941553208619	17.0339388907642	56.1216964216828	0.179746650254806	0.174693271357698	0.4787569267484	0.415160731013899	0.387591628931883	0.383405514770869	0.576018214310039
82	Cefmetazole	0.164291815289034	0.184508593132169	0.195157664300794	0.50280162076294	0.420178965340137	0.462936515266456	1.01318502889087	0.153290488652678	0.164291815289034	0.164291815289034	0.535154970709234	0.348685428115082	0.202626539918792	2.16247797215637	0.877426958078879	0.0820338191965143	0.153290488652678	0.174311518733476	0.174311518733476	0.506022595455389	0.330679521361493	0.267806567476583	0.153290488652678	0.159149325506182	0.174311518733476	0.447465168391121	0.437908020267892	1.1110249559494	0.153290488652678	0.159149325506182	0.195157664300794	0.501759486585342	0.293427689605165	0.311902932507238	23.5834228308498	0.164291815289034	0.179366692236495	0.195157664300794	24.3578350696926	3.15903898306292	0.851192790932557	0.110393686506393	0.164291815289034	0.153290488652678	0.164291815289034	0.560293720212712	0.827120950615225	0.187832119902913	26.9815294881947	28.6161200249434	93.2937112037452	0.180858689288628	0.160539665977484	0.461972367123178	0.362155646247702	0.368169561431155	0.369030036232581	0.52508226357695
83	Cefotaxime	0.184508593132169	0.164291815289034	0.153290488652678	0.636931328126741	0.341534640810676	0.337745261791023	1.3651682185793	0.153290488652678	0.153290488652678	0.164291815289034	0.5329451082146	0.212649377551017	0.145786657197585	3.94115065189752	0.72352887302992	0.195123691840366	0.174311518733476	0.159149325506182	0.159149325506182	0.55062400286106	0.237407208909943	0.208610154107534	0.153290488652678	0.159149325506182	0.159149325506182	0.341163304943853	0.320207540001927	1.70397830468291	0.179366692236495	0.153290488652678	0.164291815289034	0.60385215534805	0.252749048715926	0.220736073701152	15.9690650129095	0.164291815289034	0.174311518733476	0.164291815289034	13.6162394203638	4.84877311168963	0.670375481031499	0.238722198311249	0.164291815289034	0.153290488652678	0.159149325506182	0.490191304349728	0.365061175837305	0.288376732376672	22.772385393431	20.3113625209154	114.663660743902	0.166871656874649	0.156873209458551	0.43873707690948	0.2971270476544	0.332213788626179	0.359112425921709	0.381209737521235
84	Cefsulodin	0.168313678448001	0.164314525870714	0.164314525870714	0.549714019773981	0.445872549242926	0.439880991108053	1.30878010358622	0.147463051990239	0.164314525870714	0.172355309712695	0.551017089515618	0.341654424004624	0.19680861394125	2.80175060588217	0.834804576484993	0.10902130895353	0.160330449351379	0.147463051990239	0.15218086321462	0.51758770764834	0.342337663084193	0.267809974996407	0.160330449351379	0.156316903017325	0.147463051990239	0.445083223753967	0.465141814995601	1.45174642147474	0.160330449351379	0.15218086321462	0.147463051990239	0.501506729846013	0.333033658246635	0.273849882701459	22.36025988255	0.160330449351379	0.172355309712695	0.180639973963563	24.8981540073626	3.79609119143185	0.813930213100101	0.124095678397518	0.156316903017325	0.180639973963563	0.168313678448001	0.703391985231714	0.553795869004692	0.401388926066316	27.1251912941884	30.5900353699003	119.163400782169	0.165636905854076	0.161037844088016	0.47848918670832	0.363160042487164	0.375911781909647	0.369463423598035	0.552858926767574
85	Ofloxacin	0.164291815289034	0.174311518733476	0.245556144581635	0.520734596148141	0.393946222046069	0.330484473232712	0.347319886909146	0.164291815289034	0.153290488652678	0.184508593132169	0.502607398489947	0.271641055545592	0.0514627483171292	2.92175939340692	0.793558675125155	0.174296285786423	0.164291815289034	0.184508593132169	0.206433646580422	0.458528696647554	0.285061018258674	0.130502167207994	0.184508593132169	0.159149325506182	0.206433646580422	0.405182225977	0.290457025628964	0.643741373799508	0.189764696977103	0.159149325506182	0.206433646580422	0.44606486491072	0.293816801356521	0.189048003438518	14.1945949578054	0.164291815289034	0.164291815289034	0.218487964164647	17.1752949346918	3.96772794015481	0.79239860257712	0.183054910389594	0.174311518733476	0.153290488652678	0.184508593132169	0.768951307994479	0.468346554187106	0.117661584375981	18.2717337221786	21.6750696919866	62.7708985103592	0.191586222123301	0.166871656874649	0.415055097142307	0.275237067450889	0.291363960704741	0.309643223235253	0.451653148852522
86	Cefuroxime	0.17703420673468	0.199217541122102	0.187864317906003	0.585206311802687	0.390720793629148	0.341937081736789	1.02716441241396	0.154812382735768	0.166428834349117	0.154812382735768	0.408353472282345	0.262666334721761	0.168056870600043	3.23218520763678	0.798344180086816	0.149231662100652	0.166428834349117	0.17703420673468	0.17703420673468	0.46935467320637	0.265024249679704	0.209775057071658	0.154812382735768	0.154812382735768	0.166428834349117	0.377473936528235	0.343582737680257	1.15608806451621	0.154812382735768	0.17703420673468	0.166428834349117	0.479994317025443	0.293015774182616	0.211355829662562	19.6743633590113	0.187864317906003	0.154812382735768	0.17703420673468	18.5363000793503	3.7991174855472	0.78106661717472	0.160083934225438	0.154812382735768	0.166428834349117	0.154812382735768	0.53789695269828	0.399917314890684	0.289585552446257	24.6992545152014	23.732034722467	105.915497289083	0.18782051264159	0.1585915293315	0.439288062389541	0.279692225868049	0.314717993319244	0.32812197362354	0.409133273345073
87	Cephaloglycin	0.164291815289034	0.206433646580422	0.184508593132169	0.553232224741137	0.398200358147331	0.283337454134732	0.757932471020601	0.174311518733476	0.164291815289034	0.159149325506182	0.38079584790874	0.427567863805827	0.130262791417488	2.03247776478212	0.888621344679892	0.0790828690337409	0.153290488652678	0.164291815289034	0.179366692236495	0.472227127775669	0.331470726288509	0.148240593989968	0.153290488652678	0.153290488652678	0.184508593132169	0.438137964037299	0.264288955592489	0.933859506445071	0.153290488652678	0.153290488652678	0.184508593132169	0.493105320807681	0.300727587802411	0.19186987041899	24.8232509273225	0.153290488652678	0.164291815289034	0.174311518733476	22.605276873992	3.18012533508786	0.846412424749924	0.119073860978772	0.153290488652678	0.153290488652678	0.159149325506182	0.467012147259118	0.80239252193341	0.179895843062058	28.2114720072023	26.7071656948689	87.2459489446026	0.184276944803534	0.165799139593518	0.411590012341066	0.312875501044018	0.317312816018049	0.328567593009694	0.483100170751529
88	Cefoperazone	0.158727210943729	0.170863634131134	0.194368286138632	0.485998786731138	0.43092576580465	0.431437402394318	2.99439321052221	0.146894437815906	0.146894437815906	0.158727210943729	0.439693007875938	0.249060954851017	0.385860307654355	9.22533546760914	0.61270069933987	0.298559198437492	0.140266559431459	0.158727210943729	0.158727210943729	0.435776533996933	0.322121413617342	0.359789796951248	0.140266559431459	0.146894437815906	0.170863634131134	0.414726219877812	0.442059409682778	2.75169510115648	0.140266559431459	0.152833239942985	0.140266559431459	0.44010920186351	0.335186547070052	0.372574370547212	20.2636373171414	0.140266559431459	0.152833239942985	0.152833239942985	18.6835426239629	9.9623429089666	0.585160666590482	0.312016373700833	0.146894437815906	0.149883625882059	0.140266559431459	0.434253873529622	0.388401736201762	0.509543936295681	33.3724687506082	31.9289106235133	295.481405296302	0.17403722231541	0.150737287535903	0.449453984976702	0.35820475679377	0.372562581521841	0.382623373160258	0.444066515342355
89	Cefaclor	0.202466690935849	0.175428647161764	0.202466690935849	0.662649015344643	0.508175315682333	0.436028946948923	1.80493226340557	0.161044771756444	0.175428647161764	0.175428647161764	0.805053481867365	0.279664586320611	0.405746437585972	2.67138879926823	0.710518047002618	0.180084413175789	0.161044771756444	0.161044771756444	0.195493214254987	0.687981267342445	0.323212038132041	0.359244267347484	0.175428647161764	0.161044771756444	0.175428647161764	0.489062282938472	0.473048385448357	1.63937965042616	0.175428647161764	0.175428647161764	0.161044771756444	0.702759117076411	0.360712162336797	0.353140000976994	10.3055306085097	0.161044771756444	0.161044771756444	0.161044771756444	11.2211043633358	3.02111456574381	0.695658263397611	0.187295585557301	0.161044771756444	0.161044771756444	0.161044771756444	0.819335687604667	0.399756438012889	0.299385714198019	15.5230796638422	16.1301963244592	59.8184680550582	0.193020111150003	0.170496664160919	0.5356177593253	0.496821501924649	0.45681252427399	0.472203760130067	0.506159279938525
90	Cefaclor	0.161044771756444	0.195493214254987	0.188704122661139	0.616246676198601	0.441433637148386	0.448157428696322	1.84199804650655	0.161044771756444	0.16869490542591	0.175428647161764	0.819301761274447	0.27774723745933	0.312638843856752	2.54844753104395	0.700962124073097	0.17759708077289	0.161044771756444	0.161044771756444	0.161044771756444	0.650504290433827	0.300196383619893	0.338761893374368	0.161044771756444	0.161044771756444	0.175428647161764	0.438627185800122	0.450825693488514	1.76913858590837	0.161044771756444	0.161044771756444	0.195493214254987	0.669600296550337	0.306526301932417	0.342376001853166	9.86664061987821	0.161044771756444	0.175428647161764	0.161044771756444	11.0314901697061	3.32171127200516	0.680323344374462	0.204853350440606	0.161044771756444	0.161044771756444	0.161044771756444	0.794517776759581	0.579371411455989	0.223725019348527	14.9673599453324	16.2150692915723	57.463827515476	0.181114505849891	0.16828666497568	0.501945914014436	0.469895947530176	0.429820855809363	0.43950086677864	0.532538069188033
91	Cefuroxime	0.17703420673468	0.17703420673468	0.154812382735768	0.58737803227808	0.357061481583024	0.407464485573298	1.78085324525258	0.166428834349117	0.154812382735768	0.17703420673468	0.421457730646169	0.279698038205304	0.260641072317076	2.32767623919846	0.821106365608887	0.105686810425794	0.154812382735768	0.166428834349117	0.154812382735768	0.48871310408018	0.19819584809666	0.360624799771055	0.154812382735768	0.154812382735768	0.154812382735768	0.325368998498236	0.42733037627419	1.62296324796415	0.166428834349117	0.171731919799903	0.166428834349117	0.507393254267856	0.244871750349243	0.369320697981509	19.9684840147873	0.166428834349117	0.160997524278041	0.171731919799903	18.2834192245157	2.56108801374818	0.797600681520617	0.11172557605969	0.154812382735768	0.154812382735768	0.154812382735768	0.502347989338817	0.20765839009092	0.443296539835982	24.6502734059659	22.9230235732229	98.3395419166043	0.169293398949684	0.165843002528329	0.450634666478134	0.320598947056183	0.349177917315965	0.373861900866203	0.384434306421906
92	Cephaloridine	0.175645012205851	0.175645012205851	0.208801582136147	0.541250008045167	0.488712531282623	0.403783675442529	0.841440343503038	0.154039221954264	0.16534028427935	0.16534028427935	0.358014417814396	0.484520019709891	0.154715086678943	1.71415416691335	0.883014397953845	0.0742877954999723	0.16534028427935	0.16534028427935	0.16534028427935	0.465842819590494	0.353064289287566	0.240633440456586	0.175645012205851	0.16534028427935	0.186149695561878	0.495840467044924	0.415301093127886	1.03009931954235	0.154039221954264	0.154039221954264	0.197140378233957	0.515545184199277	0.366833829655613	0.265340349262744	21.8770387870413	0.175645012205851	0.175645012205851	0.186149695561878	17.2065649207456	2.43480979437805	0.82041714514134	0.116092881389556	0.186149695561878	0.154039221954264	0.175645012205851	0.333434364647501	0.702067331359634	0.418968427466764	25.2587047695309	20.9729465341455	73.2310004658261	0.186066623260836	0.161484022431699	0.47791540492344	0.332416508067743	0.353180183111549	0.382573121039211	0.4848233744913
93	Cefsulodin	0.156316903017325	0.164314525870714	0.180639973963563	0.524449205089956	0.428088820623831	0.46780983469887	1.1485308122742	0.156316903017325	0.168313678448001	0.184911469880167	0.48804191328357	0.373008609808296	0.157792034147913	3.00911320686791	0.826304096131901	0.119732219998212	0.164314525870714	0.147463051990239	0.180639973963563	0.477136289345456	0.360000949223421	0.245176648126655	0.164314525870714	0.168313678448001	0.156316903017325	0.447907241454729	0.430278505406047	1.43835675791694	0.156316903017325	0.156316903017325	0.164314525870714	0.471297988109141	0.335592338176532	0.283944022199178	22.0146869853341	0.156316903017325	0.156316903017325	0.160330449351379	23.5809293354763	4.17703135042104	0.806594306875164	0.142876884068345	0.147463051990239	0.15218086321462	0.172355309712695	0.616527096342423	0.628818118854691	0.243953534506798	26.8919497647471	29.2351794879776	119.378966395702	0.166788173997263	0.169445381057785	0.473449286804219	0.339614185746593	0.360771295565178	0.36361144949495	0.496432916567971
94	Cefuroxime	0.17703420673468	0.187864317906003	0.205152548847613	0.621573512954004	0.367505484505514	0.308261272126969	1.57300482964657	0.154812382735768	0.154812382735768	0.154812382735768	0.436367911328587	0.168912979333642	0.244089433144819	3.22556150874247	0.758745524316472	0.165680054220875	0.154812382735768	0.154812382735768	0.187864317906003	0.510130141378032	0.209342492795649	0.219931303932961	0.154812382735768	0.160997524278041	0.17703420673468	0.330806794292111	0.326079420948443	1.40864092678792	0.154812382735768	0.166428834349117	0.171731919799903	0.529239083322221	0.269515519718079	0.204557246878661	16.4521910772513	0.154812382735768	0.187864317906003	0.187864317906003	14.7536556250501	3.19914387843624	0.730681466218719	0.158439047185806	0.154812382735768	0.154812382735768	0.166428834349117	0.500815720828558	0.182714042826427	0.499919327834379	22.1035779008833	20.1916379532662	98.1466129601558	0.189667448603369	0.154812382735768	0.432446756528829	0.283123441269016	0.313134646035548	0.33443728330632	0.394483030496455
95	Imipenem	0.161044771756444	0.182043663840566	0.161044771756444	0.56955265264258	0.310450567966029	0.367319496726185	1.3105043556736	0.16869490542591	0.195493214254987	0.195493214254987	0.392063514490157	0.526343989863477	0.168711567378355	2.80990498209296	0.657051437427755	0.228178891658545	0.175428647161764	0.202466690935849	0.182043663840566	0.431415032318165	0.35420124263701	0.208249079293421	0.161044771756444	0.188704122661139	0.188704122661139	0.361000814342953	0.340338435457261	1.54951295256911	0.161044771756444	0.175428647161764	0.161044771756444	0.447417412142611	0.294828012425563	0.262845754010933	9.52347064346854	0.161044771756444	0.175428647161764	0.188704122661139	8.92879430044029	4.71916196967	0.589246778015457	0.311436336418233	0.161044771756444	0.16869490542591	0.161044771756444	0.530932541162396	0.933141653201855	0.240284055054459	13.7597647262966	15.1528945656892	47.7783581660545	0.16776046040525	0.186118030079727	0.415774239111598	0.362373023910663	0.331288451416199	0.335030392859703	0.568119416472903
96	BL-S217	0.171797629532887	0.171797629532887	0.202021706155924	0.517461616476009	0.434414147644575	0.35209602903709	1.38494693020958	0.162305632647406	0.151861153330863	0.162305632647406	0.381924896251242	0.237610641201048	0.380251237648891	3.90317002203323	0.773033338187095	0.173701419659597	0.151861153330863	0.151861153330863	0.151861153330863	0.431237968186977	0.302347299194909	0.283340289780275	0.162305632647406	0.171797629532887	0.171797629532887	0.410717868108423	0.391984401561026	1.11177721360421	0.151861153330863	0.157424392613738	0.171797629532887	0.461510630102091	0.34665027866431	0.245160671899812	19.1273197590101	0.151861153330863	0.202021706155924	0.162305632647406	17.2435983872748	4.01070712257102	0.741417319166374	0.172447052871082	0.162305632647406	0.162305632647406	0.162305632647406	0.431074434759741	0.270890038313577	0.706915823278888	24.9273230380382	23.2576147623082	116.430820225837	0.181333254546013	0.158746670692442	0.434657264385891	0.33326225836706	0.33897518572072	0.351107193555404	0.469626765450736
97	Cephalosporin C	0.175645012205851	0.175645012205851	0.191571753500917	0.577204659420703	0.52616541373691	0.438665329543631	1.59308743003426	0.154039221954264	0.154039221954264	0.154039221954264	0.506709537166065	0.571587452181262	0.284183786032217	2.19821149155919	0.832050336745732	0.0965033656159027	0.16534028427935	0.16534028427935	0.16534028427935	0.508612571181878	0.434251616003232	0.326458546892717	0.16534028427935	0.154039221954264	0.154039221954264	0.535712535613095	0.470055807132414	1.573405133556	0.175645012205851	0.16534028427935	0.154039221954264	0.483710099319916	0.41059386192392	0.316373233867337	20.399899523144	0.175645012205851	0.154039221954264	0.175645012205851	22.1062510410416	3.2625921323893	0.808035411742949	0.11925540753835	0.154039221954264	0.160057089508594	0.180850359223894	0.692293715229676	0.972730913214818	0.43958105828965	24.3764335872593	27.3580225814089	92.7254953046722	0.180801087857386	0.154039221954264	0.514011800900415	0.454160258459848	0.423107578025942	0.403559065037057	0.701535228911382
