No.	NAME	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_7	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_m_2	P_VSA_v_3	P_VSA_e_6	P_VSA_i_1	P_VSA_i_2	P_VSA_i_3	P_VSA_i_4	P_VSA_s_3	P_VSA_s_5	P_VSA_ppp_L	P_VSA_ppp_P	P_VSA_ppp_N	P_VSA_ppp_D	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_ppp_ter	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_4	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_8	P_VSA_charge_9	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
18	Cefsulodin	0	107.746030523869	73.5971261871729	193.919352345555	27.6515650046504	11.7711019965903	185.243867119222	239.046015329882	144.892660199852	0	75.1324872918633	96.7191050061334	11.9192341857821	176.507432610617	160.059022839141	0	39.4829350367102	120.576087802431	383.938675529734	55.9313448081859	68.367056499538	18.0107506830303	108.109998329779	34.7962802311605	50.7083833844364	50.9079381550958	92.6988151270163	160.350339665885	0	139.589333372249	228.498231056354	126.76124857195	78.5590949912483	44.3129520701807	1.89909275909503	32.2195411635482	47.3812373671506	3.18557495074004	49.7655395898782	120.467767519428	61.0624998942238	20.2005444944152	9.40929987013462	4.70464993506731	0
19	Cefsulodin	0	107.746030523869	73.5971261871729	193.919352345555	27.6515650046504	11.7711019965903	185.243867119222	239.046015329882	144.892660199852	0	75.1324872918633	96.7191050061334	11.9192341857821	176.507432610617	160.059022839141	0	39.4829350367102	120.576087802431	383.938675529734	55.9313448081859	68.367056499538	18.0107506830303	108.109998329779	34.7962802311605	50.7083833844364	50.9079381550958	92.6988151270163	160.350339665885	0	139.589333372249	228.498231056354	126.76124857195	78.5590949912483	44.3129520701807	1.89909275909503	32.2195411635482	47.3812373671506	3.18557495074004	49.7655395898782	120.467767519428	61.0624998942238	20.2005444944152	9.40929987013462	4.70464993506731	0
20	Nocardicin B	0	116.509951789318	75.809979787441	168.858494783653	78.6676117194581	0	200.108733942035	262.708796196919	220.610812068051	0	43.6151624803703	113.020001276566	0	189.532351229002	122.252622240795	0	0	122.252622240795	450.422420792904	67.2797289882066	46.4426424533541	18.0107506830303	84.7156614281211	32.8971874720655	53.2450787759982	103.499762740623	87.4245577835054	133.278359243631	0	97.3592259545527	272.210986435328	254.056084835124	50.2898540648355	0	0	0	32.199971885976	60.0430597913208	29.2623106831207	171.493517177294	30.4439261605755	2.75674755352504	4.70464993506731	4.70464993506731	0
21	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
22	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
23	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
24	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
25	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
26	Cyclacillin	17.6504085237802	93.32745013309	0	91.5587790020884	0	11.7711019965903	244.099377102174	165.459644829377	193.145801063156	0	51.4581317968055	16.1239979048351	0	100.479317173706	78.6666062881635	0	32.2195411635482	46.4470651246153	325.708258420469	54.0322520490908	61.0161977643833	18.0107506830303	62.5426083833284	32.8971874720655	26.6225393879991	18.0107506830303	0	0	0	52.7211636886106	152.604916481098	105.799718469508	50.2898540648355	0	0	32.2195411635482	2.53453173920001	22.7194720021802	193.406695423845	35.313305989771	6.71469803470048	0	0	9.40929987013462	0
27	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
