Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
O=C([C@H]1[C@@H]2[C@@](C)([C@H](C=CC2=C3[C@@]14CC([C@@](C4)(CC3)O)=C)O)C([O-])=O)[O-],- -,2-43,104.0,Low
O=C(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)[O-],-,2-44,103.0,Low
O=C(CO[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)N=[N+]=[N-])[O-],-,2-45,89.0,Low
O=C([C@H]1c2c([C@@H]3[C@]14CC([C@](C4)(CC3)CO)=O)cccc2C)[O-],-,2-46,84.0,Low
O=C(C)O[C@@H]1[C@]2(C(O[C@@]3(C=C1)[C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C([O-])=O)=O)C,-,2-47,81.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCc5ccco5,-,2-48,72.0,Low
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H](C=C2[C@H]4[C@@]15CC([C@@](C5)(CC4)O)=C)OC3=O)O)C)[O-],-,2-49,70.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NC5CC5,-,2-50,63.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCc5cccs5,-,2-51,61.0,Low
O=C([C@H]1c2c([C@@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)cccc2C)[O-],-,2-52,56.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCCc5ccc6c(OCO6)c5,-,2-53,56.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)[O-],- -,2-54,55.0,Low
O=C([C@@H](CC([O-])=O)[NH2+]C[C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C([O-])=O)=O)[O-],+ - - -,2-55,52.0,Low
O=C([C@H](CC([O-])=O)NC(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)=O)[O-],- -,2-56,45.0,Low
O=C([C@]1([C@H]2[C@@]([C@@H]3C(C=C(CC3)C(C)C)=CC2)(CCC1)C)C)[O-],-,2-57,34.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCc5ccc(OC)cc5OC,-,2-58,17.0,Low
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCCCCO,-,2-59,17.0,Low
O=C(CCNC(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)=O)[O-],-,2-60,17.0,Low
O=C([C@H]1[C@@H]2[C@]3([C@H](C=C[C@]2([C@H]4[C@@]15CC([C@@](C5)(CC4)O)=C)OC3=O)O)C)[O-],-,2-61,15.0,Low
O(CC=C)[C@H]1[C@H]2OC[C@@H](OCC=C)[C@H]2OC1,neutral,2-62,139.0,Low
O=C(OC)[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)Cc1[nH]cnc1,neutral,2-63,118.0,Low
O=C(NCC#N)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-64,97.0,Low
O=C(OC)[C@@H](NC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2)CO,neutral,2-65,96.0,Low
Clc1c(F)ccc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)c1,neutral,2-66,93.0,Low
O=C1[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,neutral,2-67,92.0,Low
O=C(N1CCOCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-68,91.0,Low
O=C1[C@]2(CI)C[C@@]3(C1)[C@@H](C(OC)=O)C([C@@]4(C=C5)[C@]3([H])CC2)[C@](C)(C(O4)=O)[C@H]5O,neutral,2-69,89.0,Low
O=C(OC)CNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,neutral,2-70,85.0,Low
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-71,83.0,Low
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-72,80.0,Low
O=C1NCC[C@]2(C)[C@H]3C(=O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,neutral,2-73,80.0,Low
Clc1cc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)ccc1,neutral,2-74,75.0,Low
O=C(N1CCC(O)CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-75,69.0,Low
O[C@@]12C(=C)C[C@]3([C@@H](CC#N)c4c(C)cccc4[C@H]3CC1)C2,neutral,2-76,65.0,Low
O=C1NCC[C@]2(C)[C@H]3[C@H](O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,neutral,2-77,61.0,Low
O=C1[C@@H]2[C@]3(C)C(=CNC(=O)CC3)CC[C@H]2[C@H](CCC#N)C(C)=C1,neutral,2-78,59.0,Low
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-79,55.0,Low
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-80,53.0,Low
