Canonical SMILES,name
Oc1c(C[NH2+][C@H]2c3c([C@@H]4[C@@]25CC([C@@](C5)(CC4)O)=C)cccc3C)cccc1O,2-17
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[NH2+]C)C=C)=O)ccn2,2-18
O=C(c1ccnc2ccc(OC)cc12)CC[C@H]3[C@H](C[NH2+]CC3)C=C,2-19
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@@H]([C@H]3OC2)[NH2+]C)=O)cc1,2-20
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H]([C@H]4O[C@@]24[C@H]5[C@]16CC([C@](C6)(CC5)C[NH2+]C(C)(C)C)=O)OC3=O)O)C)NC7CC7,2-21
COc1ccc(C([C@@H]2[NH2+]CC[C@@]34[C@@H]2C=C(C(C4)=O)OC)=O)c3c1O,2-22
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH2+]CCO)CO,2-23
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H]([C@H]4O[C@@]24[C@H]5[C@]16CC([C@](C6)(CC5)C[NH2+]C7CC7)=O)OC3=O)O)C)NC8CC8,2-24
O=C1[C@@]2(C[C@@]3(C1)[C@H](c4c([C@H]3CC2)cccc4C)[NH2+]CCO)C,2-25
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H](C=C2[C@H]4[C@]15CC([C@](C5)(CC4)C[NH2+]Cc6ccco6)=O)OC3=O)O)C)NC7CCC7,2-26
O=C([C@@H](CO)[NH2+]C[C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C(OC)=O)=O)OC,2-27
O=C([C@@H](C)[NH2+]C[C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C(OC)=O)=O)OC,2-28
COc1ccc(C2)c3c1O[C@@H]4C(C(OC)=C[C@@H]5[C@H]2[N@H+](CC[C@@]453)C)=O,2-29
